Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.11,0.13,0.01,0.13,Matches,2,0,0.0,0.67,0.00,0.00,,24.5,0,0.02,0.0,0.0,119,146,81.5,2099,603,55,59,93.2,53,60,88.3,10,23,43.5,-0.3,4,4,3,1,7,114,32,0,15,2,5,0,0,0,0,95,23,28,17,97,1,30,0,2,0,4,3,8,2.67,6,0,1,0,0,1,0.33,1,0,0,0,0,0,7,5,4,3,0,5,71.4,2,9,27.3,15,15,3,0,9,12,7,0,188,21,3,75.0,6,0,111,2,3,3,124,110,88.7,2,90,100.0,90,3,0,,0,0.00,1,10,-9,-3.00,,3.1,6.0,-2.9,-0.96,,0,4,0,0,0,16,1,7,12.5,Big-5-European-Leagues,Big5,2021-2022
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.4,0.09,0.01,0.11,0.09,0.11,Matches,6,2,33.3,1.50,0.50,0.00,0.00,16.5,0,0.06,-0.4,-0.4,149,183,81.4,3271,1301,48,54,88.9,78,87,89.7,23,37,62.2,-0.1,1,13,1,0,14,171,12,0,20,13,1,0,0,0,0,121,21,41,106,62,6,5,1,0,2,7,5,2,0.50,2,0,0,0,0,0,0.00,0,0,0,0,0,0,8,8,6,2,0,1,50.0,1,26,45.6,27,26,4,0,4,23,15,0,238,21,10,33.3,2,0,142,0,0,2,157,152,96.8,4,90,100.0,90,4,0,,0,0.75,4,6,-2,-0.50,,4.5,4.7,-0.2,-0.05,,0,6,0,0,0,28,10,7,58.8,Big-5-European-Leagues,Big5,2021-2022
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,3,2,211,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,195,205,95.1,3823,639,69,73,94.5,99,102,97.1,26,28,92.9,-0.1,1,9,0,0,8,202,3,0,22,5,0,0,0,0,0,183,14,8,13,182,4,0,3,0,1,4,1,1,0.43,1,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,1,2,0,1,16.7,5,16,28.6,17,30,9,0,1,7,1,0,218,5,1,0.0,0,0,189,0,0,2,191,187,97.9,7,70,58.6,90,2,1,31,0,2.33,6,0,+6,+2.56,+3.77,6.0,2.5,+3.5,+1.50,+2.37,0,8,0,0,0,17,3,1,75.0,Big-5-European-Leagues,Big5,2021-2022
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,4,4,360,4.0,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,0.3,0.3,1.3,1.5,0.06,0.31,0.38,0.06,0.38,Matches,5,2,40.0,1.25,0.50,0.00,0.00,22.6,0,0.05,-0.3,-0.3,118,154,76.6,2478,771,47,53,88.7,46,59,78.0,25,37,67.6,-0.3,5,12,4,2,14,154,0,2,40,6,4,0,0,0,0,107,26,21,15,136,3,0,0,1,2,5,5,9,2.25,7,0,0,1,1,1,0.25,1,0,0,0,0,0,14,8,7,6,1,7,41.2,10,36,32.4,39,59,13,0,7,24,3,0,213,3,1,57.1,4,1,151,1,4,9,158,137,86.7,9,90,100.0,90,4,0,,0,1.25,5,6,-1,-0.25,,4.4,7.9,-3.4,-0.86,,0,6,0,0,0,39,0,4,0.0,Big-5-European-Leagues,Big5,2021-2022
5,Charles Abi,fr FRA,FW,Saint-Ãtienne,fr Ligue 1,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,,0.0,0,0,0,0,0,6,0,0,3,0,1,0,0,0,0,5,0,1,6,0,0,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,7.1,0,11,3,0,1,0,0,0,12,0,3,,0,0,9,0,4,0,12,8,66.7,2,45,12.5,45,0,0,,0,1.00,0,0,0,0.00,+0.57,0.7,0.9,-0.2,-0.31,+0.23,0,1,0,0,0,2,1,0,100.0,Big-5-European-Leagues,Big5,2021-2022
6,Dickson Abiama,ng NGA,FW,Greuther FÃ¼rth,de Bundesliga,22,1998,3,2,207,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,1.1,1.1,0.6,1.7,0.47,0.27,0.74,0.47,0.74,Matches,7,1,14.3,3.04,0.43,0.00,0.00,13.1,0,0.15,-1.1,-1.1,25,34,73.5,304,86,19,24,79.2,5,7,71.4,0,0,,+0.4,3,0,2,0,2,32,2,1,9,0,2,0,0,0,0,26,5,3,7,23,2,0,0,0,0,2,2,7,3.04,5,0,0,1,0,2,0.87,1,0,0,1,0,0,7,4,1,3,3,1,33.3,2,10,23.3,6,18,19,0,0,7,1,0,75,3,13,20.0,1,0,47,2,12,5,100,48,48.0,18,69,76.7,88,1,1,32,0,0.33,2,6,-4,-1.74,+2.55,3.0,5.2,-2.2,-0.97,+1.20,0,4,0,0,0,12,5,10,33.3,Big-5-European-Leagues,Big5,2021-2022
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,4,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.45,0.00,0.45,0.45,0.45,Matches,1,0,0.0,1.48,0.00,0.00,,4.1,0,0.31,-0.3,-0.3,4,5,80.0,53,12,2,3,66.7,2,2,100.0,0,0,,0.0,0,0,1,0,1,5,0,0,2,0,1,0,0,0,0,5,0,0,1,4,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,16.7,3,11,4,0,1,0,1,0,10,1,2,,0,0,5,0,1,0,23,7,30.4,7,15,16.9,45,0,3,5,0,1.25,0,1,-1,-1.48,-1.48,0.5,1.6,-1.1,-1.69,-1.16,0,0,0,0,0,0,0,2,0.0,Big-5-European-Leagues,Big5,2021-2022
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,2,2,150,1.7,1,2,1,0,0,0,0,0.60,1.20,1.80,0.60,1.80,1.0,1.0,1.1,2.1,0.61,0.65,1.26,0.61,1.26,Matches,7,2,28.6,4.20,1.20,0.14,0.50,13.1,0,0.14,0.0,0.0,22,26,84.6,310,40,15,16,93.8,6,6,100.0,1,1,100.0,+0.9,3,0,2,0,2,25,1,1,6,0,1,0,0,0,0,16,7,3,0,18,3,0,2,0,0,0,2,8,4.80,6,0,0,0,0,4,2.40,3,0,0,1,0,0,2,2,1,1,0,0,,0,5,27.8,0,11,7,0,3,2,1,0,49,1,20,50.0,2,0,21,1,2,1,73,34,46.6,15,75,83.3,75,0,0,,0,3.00,6,1,+5,+3.00,0.00,3.6,1.3,+2.3,+1.38,-0.89,0,1,0,0,0,5,4,2,66.7,Big-5-European-Leagues,Big5,2021-2022
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,4,8,50.0,82,22,2,2,100.0,1,3,33.3,1,3,33.3,0.0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,4,1,3,5,0,1,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,2,0,0,0,,0,0,0.0,1,1,0,0,2,2,6,0,19,5,0,,0,0,2,0,0,0,5,5,100.0,0,45,16.7,45,0,0,,2,1.00,1,0,+1,+2.00,+4.00,0.2,0.8,-0.6,-1.11,+0.04,0,0,0,0,0,3,3,0,100.0,Big-5-European-Leagues,Big5,2021-2022
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,131,145,90.3,2520,821,50,52,96.2,68,72,94.4,12,18,66.7,-0.1,1,10,0,0,8,143,2,1,10,4,0,0,0,0,0,110,20,15,116,21,4,0,0,0,2,1,1,4,2.00,3,0,0,1,0,1,0.50,0,0,0,0,1,0,0,0,0,0,0,0,,0,3,23.1,6,7,0,0,2,2,14,0,166,21,0,,0,0,121,0,2,1,126,123,97.6,0,90,100.0,90,2,0,,0,3.00,9,2,+7,+3.50,,4.4,2.0,+2.4,+1.21,,0,4,1,0,0,20,5,2,71.4,Big-5-European-Leagues,Big5,2021-2022
