,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Gareth Bale,,"£ 600,000","£ 31,200,000",RW,31,Reserve,"Jun 30, 2021",1-yr,"£ 36,023,236",Tottenham,Premier League,2020-2021
1,Tanguy Ndombélé,,"£ 200,000","£ 10,400,000",CM,24,Starter,"Jun 30, 2025",5-yrs,"£ 60,038,727",Tottenham,Premier League,2020-2021
2,Harry Kane,,"£ 200,000","£ 10,400,000",CF,27,Starter,"Jun 30, 2024",4-yrs,"£ 48,030,981",Tottenham,Premier League,2020-2021
3,Heung-min Son,,"£ 140,000","£ 7,280,000",LW,28,Starter,"Jun 30, 2023",3-yrs,"£ 25,216,265",Tottenham,Premier League,2020-2021
4,Hugo Lloris,,"£ 100,000","£ 5,200,000",GK,34,Starter,"Jun 30, 2022",2-yrs,"£ 12,007,745",Tottenham,Premier League,2020-2021
5,Dele Alli,,"£ 100,000","£ 5,200,000",AM,24,Reserve,"Jun 30, 2024",4-yrs,"£ 24,015,491",Tottenham,Premier League,2020-2021
6,Toby Alderweireld,,"£ 80,000","£ 4,160,000",CB,31,Starter,"Jun 30, 2023",3-yrs,"£ 14,409,294",Tottenham,Premier League,2020-2021
7,Erik Lamela,,"£ 80,000","£ 4,160,000",RW,28,Reserve,"Jun 30, 2022",2-yrs,"£ 9,606,196",Tottenham,Premier League,2020-2021
8,Lucas Moura,,"£ 80,000","£ 4,160,000",RW,28,Starter,"Jun 30, 2024",4-yrs,"£ 19,212,393",Tottenham,Premier League,2020-2021
9,Moussa Sissoko,,"£ 80,000","£ 4,160,000",CM,31,Starter,"Jun 30, 2023",3-yrs,"£ 14,409,294",Tottenham,Premier League,2020-2021
10,Steven Bergwijn,,"£ 75,000","£ 3,900,000",LW,23,Reserve,"Jun 30, 2025",5-yrs,"£ 22,514,523",Tottenham,Premier League,2020-2021
11,Serge Aurier,,"£ 70,000","£ 3,640,000",RB,28,Reserve,"Jun 30, 2022",2-yrs,"£ 8,405,422",Tottenham,Premier League,2020-2021
12,Giovani Lo Celso,,"£ 70,000","£ 3,640,000",CM,24,Reserve,"Jun 30, 2025",5-yrs,"£ 21,013,554",Tottenham,Premier League,2020-2021
13,Davinson Sánchez,,"£ 65,000","£ 3,380,000",CB,24,Reserve,"Jun 30, 2024",4-yrs,"£ 15,610,069",Tottenham,Premier League,2020-2021
14,Eric Dier,,"£ 60,000","£ 3,120,000",CB,27,Starter,"Jun 30, 2024",4-yrs,"£ 14,409,294",Tottenham,Premier League,2020-2021
15,Danny Rose,,"£ 60,000","£ 3,120,000",LB,30,Reserve,"Jun 30, 2021",1-yr,"£ 3,602,324",Tottenham,Premier League,2020-2021
16,Ben Davies,,"£ 60,000","£ 3,120,000",LB,27,Reserve,"Jun 30, 2024",4-yrs,"£ 14,409,294",Tottenham,Premier League,2020-2021
17,Sergio Reguilón,,"£ 53,000","£ 2,756,000",LB,24,Starter,"Jun 30, 2025",5-yrs,"£ 15,910,263",Tottenham,Premier League,2020-2021
18,Harry Winks,,"£ 50,000","£ 2,600,000",DM,25,Reserve,"Jun 30, 2024",4-yrs,"£ 12,007,745",Tottenham,Premier League,2020-2021
19,Pierre-Emile Höjbjerg,,"£ 50,000","£ 2,600,000",CM,25,Starter,"Jun 30, 2025",5-yrs,"£ 15,009,682",Tottenham,Premier League,2020-2021
20,Joe Hart,,"£ 45,000","£ 2,340,000",GK,33,Reserve,"Jun 30, 2022",2-yrs,"£ 5,403,485",Tottenham,Premier League,2020-2021
21,Japhet Tanganga,,"£ 41,538","£ 2,160,000",CB,21,Reserve,"Jun 30, 2025",5-yrs,"£ 12,469,582",Tottenham,Premier League,2020-2021
22,Matt Doherty,,"£ 10,000","£ 520,000",RB,29,Starter,"Jun 30, 2024",4-yrs,"£ 2,401,549",Tottenham,Premier League,2020-2021
23,Joe Rodon,,"£ 9,615","£ 500,000",CB,23,Reserve,"Jun 30, 2025",5-yrs,"£ 2,886,477",Tottenham,Premier League,2020-2021
24,Carlos Vinícius,,"£ 7,500","£ 390,000",CF,25,Reserve,"Jun 30, 2021",1-yr,"£ 450,290",Tottenham,Premier League,2020-2021
25,Alfie Whiteman,,"£ 2,500","£ 130,000",GK,22,Reserve,"Jun 30, 2022",2-yrs,"£ 300,194",Tottenham,Premier League,2020-2021
