,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Adam Lallana,,"£ 115,000","£ 5,980,000",AM,32,Reserve,"Jun 30, 2023",3-yrs,"£ 20,713,361",Brighton,Premier League,2020-2021
1,Joël Veltman,,"£ 69,500","£ 3,614,000",CB,29,Starter,"Jun 30, 2023",3-yrs,"£ 12,518,075",Brighton,Premier League,2020-2021
2,Danny Welbeck,,"£ 55,000","£ 2,860,000",CF,30,Reserve,"Jun 30, 2022",2-yrs,"£ 6,604,260",Brighton,Premier League,2020-2021
3,Ben White,,"£ 51,000","£ 2,652,000",CB,23,Starter,"Jun 30, 2024",4-yrs,"£ 12,247,900",Brighton,Premier League,2020-2021
4,Pascal Groß,,"£ 50,000","£ 2,600,000",CM,29,Starter,"Jun 30, 2022",2-yrs,"£ 6,003,873",Brighton,Premier League,2020-2021
5,Alireza Jahanbakhsh,,"£ 50,000","£ 2,600,000",RW,27,Reserve,"Jun 30, 2023",3-yrs,"£ 9,005,809",Brighton,Premier League,2020-2021
6,José Izquierdo,,"£ 45,000","£ 2,340,000",LW,28,Reserve,"Jun 30, 2021",1-yr,"£ 2,701,743",Brighton,Premier League,2020-2021
7,Lewis Dunk,,"£ 45,000","£ 2,340,000",CB,29,Starter,"Jun 30, 2025",5-yrs,"£ 13,508,714",Brighton,Premier League,2020-2021
8,Davy Pröpper,,"£ 45,000","£ 2,340,000",CM,29,Reserve,"Jun 30, 2023",3-yrs,"£ 8,105,228",Brighton,Premier League,2020-2021
9,Leandro Trossard,,"£ 42,500","£ 2,210,000",LW,26,Reserve,"Jun 30, 2023",3-yrs,"£ 7,654,938",Brighton,Premier League,2020-2021
10,Florin Andone,,"£ 40,000","£ 2,080,000",CF,27,Reserve,"Jun 30, 2023",3-yrs,"£ 7,204,647",Brighton,Premier League,2020-2021
11,Adam Webster,,"£ 35,000","£ 1,820,000",CB,26,Starter,"Jun 30, 2023",3-yrs,"£ 6,304,066",Brighton,Premier League,2020-2021
12,Neal Maupay,,"£ 32,500","£ 1,690,000",CF,24,Starter,"Jun 30, 2023",3-yrs,"£ 5,853,776",Brighton,Premier League,2020-2021
13,Solly March,,"£ 30,000","£ 1,560,000",LM,26,Reserve,"Jun 30, 2022",2-yrs,"£ 3,602,324",Brighton,Premier League,2020-2021
14,Andi Zeqiri,,"£ 26,500","£ 1,378,000",CF,21,Reserve,"Jun 30, 2024",4-yrs,"£ 6,364,105",Brighton,Premier League,2020-2021
15,Yves Bissouma,,"£ 25,000","£ 1,300,000",CM,24,Starter,"Jun 30, 2023",3-yrs,"£ 4,502,905",Brighton,Premier League,2020-2021
16,Jason Steele,,"£ 15,962","£ 830,000",GK,30,Reserve,"Jun 30, 2023",3-yrs,"£ 2,874,931",Brighton,Premier League,2020-2021
17,Dan Burn,,"£ 15,962","£ 830,000",CB,28,Starter,"Jun 30, 2023",3-yrs,"£ 2,874,931",Brighton,Premier League,2020-2021
18,Percy Tau,,"£ 15,962","£ 830,000",AM,26,Reserve,"Jun 30, 2022",2-yrs,"£ 1,916,621",Brighton,Premier League,2020-2021
19,Steven Alzate,,"£ 15,000","£ 780,000",CM,22,Reserve,"Jun 30, 2024",4-yrs,"£ 3,602,324",Brighton,Premier League,2020-2021
20,Michal Karbownik,,"£ 11,731","£ 610,000",LB,19,Reserve,"Jun 30, 2024",4-yrs,"£ 2,817,202",Brighton,Premier League,2020-2021
21,Robert Sánchez,,"£ 10,000","£ 520,000",GK,23,Starter,"Jun 30, 2025",5-yrs,"£ 3,001,936",Brighton,Premier League,2020-2021
22,Aaron Connolly,,"£ 10,000","£ 520,000",CF,21,Starter,"Jun 30, 2024",4-yrs,"£ 2,401,549",Brighton,Premier League,2020-2021
23,Alexis Mac Allister,,"£ 10,000","£ 520,000",AM,22,Starter,"Jun 30, 2023",3-yrs,"£ 1,801,162",Brighton,Premier League,2020-2021
24,Jakub Moder,,"£ 9,038","£ 470,000",CM,21,Reserve,"Jun 30, 2025",5-yrs,"£ 2,713,289",Brighton,Premier League,2020-2021
25,Christian Walton,,"£ 8,000","£ 416,000",GK,25,Reserve,"Jun 30, 2021",1-yr,"£ 480,310",Brighton,Premier League,2020-2021
26,Tariq Lamptey,,"£ 5,000","£ 260,000",RB,20,Reserve,"Jun 30, 2025",5-yrs,"£ 1,500,968",Brighton,Premier League,2020-2021
27,Moisés Caicedo,,"£ 3,500","£ 182,000",CM,19,Reserve,"Jun 30, 2025",5-yrs,"£ 1,050,678",Brighton,Premier League,2020-2021
