,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,João Moutinho,"£ 100,000","£ 5,200,000","£ 5,200,000",M,34,Portugal,Wolverhampton,Premier League,2020-2021
1,Rui Patrício,"£ 100,000","£ 5,200,000","£ 5,200,000",K,32,Portugal,Wolverhampton,Premier League,2020-2021
2,Nélson Semedo,"£ 92,500","£ 4,810,000","£ 4,810,000",D,26,Portugal,Wolverhampton,Premier League,2020-2021
3,Leander Dendoncker,"£ 90,000","£ 4,680,000","£ 4,680,000",M,25,Belgium,Wolverhampton,Premier League,2020-2021
4,Fábio Silva,"£ 80,000","£ 4,160,000","£ 4,160,000",F,18,Portugal,Wolverhampton,Premier League,2020-2021
5,Daniel Podence,"£ 60,000","£ 3,120,000","£ 3,120,000",F,25,Portugal,Wolverhampton,Premier League,2020-2021
6,Conor Coady,"£ 55,000","£ 2,860,000","£ 2,860,000",D,27,England,Wolverhampton,Premier League,2020-2021
7,Willy Boly,"£ 50,000","£ 2,600,000","£ 2,600,000",D,29,France,Wolverhampton,Premier League,2020-2021
8,Pedro Neto,"£ 50,000","£ 2,600,000","£ 2,600,000",F,20,Portugal,Wolverhampton,Premier League,2020-2021
9,Rúben Neves,"£ 50,000","£ 2,600,000","£ 2,600,000",M,23,Portugal,Wolverhampton,Premier League,2020-2021
10,Willian José,"£ 49,808","£ 2,590,000","£ 2,590,000",F,29,Brazil,Wolverhampton,Premier League,2020-2021
11,Adama Traoré,"£ 43,077","£ 2,240,000","£ 2,240,000",F,24,Spain,Wolverhampton,Premier League,2020-2021
12,Raúl Jiménez,"£ 41,154","£ 2,140,000","£ 2,140,000",F,29,Mexico,Wolverhampton,Premier League,2020-2021
13,Jonny Otto,"£ 36,673","£ 1,907,000","£ 1,907,000",D,26,Spain,Wolverhampton,Premier League,2020-2021
14,Marçal,"£ 35,000","£ 1,820,000","£ 1,820,000",D,31,Brazil,Wolverhampton,Premier League,2020-2021
15,Romain Saïss,"£ 21,923","£ 1,140,000","£ 1,140,000",D,30,Morocco,Wolverhampton,Premier League,2020-2021
16,Max Kilman,"£ 15,000","£ 780,000","£ 780,000",D,23,England,Wolverhampton,Premier League,2020-2021
17,Roderick Miranda,"£ 12,500","£ 650,000","£ 650,000",D,29,Portugal,Wolverhampton,Premier League,2020-2021
18,Ki-Jana Hoever,"£ 7,500","£ 390,000","£ 390,000",D,18,Netherlands,Wolverhampton,Premier League,2020-2021
19,John Ruddy,"£ 5,769","£ 300,000","£ 300,000",K,33,England,Wolverhampton,Premier League,2020-2021
20,Oskar Buur,"£ 5,000","£ 260,000","£ 260,000",D,22,Denmark,Wolverhampton,Premier League,2020-2021
21,Rayan Aït Nouri,"£ 4,500","£ 234,000","£ 234,000",D,19,France,Wolverhampton,Premier League,2020-2021
22,Vitinha,"£ 1,900","£ 98,800","£ 98,800",F,20,Portugal,Wolverhampton,Premier League,2020-2021
23,Owen Otasowie,"£ 1,500","£ 78,000","£ 78,000",M,20,United States,Wolverhampton,Premier League,2020-2021
24,Morgan Gibbs-White,"£ 1,500","£ 78,000","£ 78,000",M,21,England,Wolverhampton,Premier League,2020-2021
25,Luke Matheson,"£ 1,500","£ 78,000","£ 78,000",D,18,England,Wolverhampton,Premier League,2020-2021
