,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Raphinha,"£ 63,500","£ 3,302,000","£ 3,302,000",F,23,Brazil,Leeds,Premier League,2020-2021
1,Rodrigo,"£ 57,692","£ 3,000,000","£ 3,000,000",F,29,Spain,Leeds,Premier League,2020-2021
2,Robin Koch,"£ 50,000","£ 2,600,000","£ 2,600,000",D,24,Germany,Leeds,Premier League,2020-2021
3,Patrick Bamford,"£ 35,000","£ 1,820,000","£ 1,820,000",F,27,England,Leeds,Premier League,2020-2021
4,Hélder Costa,"£ 32,500","£ 1,690,000","£ 1,690,000",F,26,Portugal,Leeds,Premier League,2020-2021
5,Kiko Casilla,"£ 32,115","£ 1,670,000","£ 1,670,000",K,34,Spain,Leeds,Premier League,2020-2021
6,Diego Llorente,"£ 22,000","£ 1,144,000","£ 1,144,000",D,27,Spain,Leeds,Premier League,2020-2021
7,Illan Meslier,"£ 21,500","£ 1,118,000","£ 1,118,000",K,20,France,Leeds,Premier League,2020-2021
8,Adam Forshaw,"£ 20,000","£ 1,040,000","£ 1,040,000",M,29,England,Leeds,Premier League,2020-2021
9,Pablo Hernández,"£ 19,000","£ 988,000","£ 988,000",F,35,Spain,Leeds,Premier League,2020-2021
10,Ezgjan Alioski,"£ 15,000","£ 780,000","£ 780,000",M,28,North Macedonia,Leeds,Premier League,2020-2021
11,Jack Harrison,"£ 15,000","£ 780,000","£ 780,000",F,23,England,Leeds,Premier League,2020-2021
12,Gaetano Berardi,"£ 12,500","£ 650,000","£ 650,000",D,32,Switzerland,Leeds,Premier League,2020-2021
13,Joe Gelhardt,"£ 9,750","£ 507,000","£ 507,000",F,18,England,Leeds,Premier League,2020-2021
14,Ian Poveda,"£ 8,250","£ 429,000","£ 429,000",F,20,England,Leeds,Premier League,2020-2021
15,Luke Ayling,"£ 8,000","£ 416,000","£ 416,000",D,29,England,Leeds,Premier League,2020-2021
16,Stuart Dallas,"£ 8,000","£ 416,000","£ 416,000",D,29,Northern Ireland,Leeds,Premier League,2020-2021
17,Mateusz Klich,"£ 7,750","£ 403,000","£ 403,000",M,30,Poland,Leeds,Premier League,2020-2021
18,Liam Cooper,"£ 6,500","£ 338,000","£ 338,000",D,29,Scotland,Leeds,Premier League,2020-2021
19,Kalvin Phillips,"£ 4,500","£ 234,000","£ 234,000",M,24,England,Leeds,Premier League,2020-2021
20,Ouasim Bouy,"£ 4,000","£ 208,000","£ 208,000",M,27,Morocco,Leeds,Premier League,2020-2021
21,Tyler Roberts,"£ 3,500","£ 182,000","£ 182,000",F,21,Wales,Leeds,Premier League,2020-2021
22,Pascal Struijk,"£ 2,500","£ 130,000","£ 130,000",D,21,Netherlands,Leeds,Premier League,2020-2021
23,Jamie Shackleton,"£ 1,500","£ 78,000","£ 78,000",M,21,England,Leeds,Premier League,2020-2021
24,Conor Shaughnessy,"£ 1,500","£ 78,000","£ 78,000",M,24,Ireland,Leeds,Premier League,2020-2021
25,Oliver Casey,"£ 1,200","£ 62,400","£ 62,400",D,20,England,Leeds,Premier League,2020-2021
26,Elia Caprile,"£ 1,000","£ 52,000","£ 52,000",K,19,Italy,Leeds,Premier League,2020-2021
27,Leif Davis,£ 596,"£ 31,000","£ 31,000",D,20,England,Leeds,Premier League,2020-2021
