,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,David de Gea,"£ 375,000","£ 19,500,000","£ 19,500,000",K,29,Spain,Manchester United,Premier League,2020-2021
1,Paul Pogba,"£ 290,000","£ 15,080,000","£ 15,080,000",M,27,France,Manchester United,Premier League,2020-2021
2,Anthony Martial,"£ 250,000","£ 13,000,000","£ 13,000,000",F,24,France,Manchester United,Premier League,2020-2021
3,Edinson Cavani,"£ 210,000","£ 10,920,000","£ 10,920,000",F,33,Uruguay,Manchester United,Premier League,2020-2021
4,Marcus Rashford,"£ 200,000","£ 10,400,000","£ 10,400,000",F,22,England,Manchester United,Premier League,2020-2021
5,Harry Maguire,"£ 190,000","£ 9,880,000","£ 9,880,000",D,27,England,Manchester United,Premier League,2020-2021
6,Juan Mata,"£ 160,000","£ 8,320,000","£ 8,320,000",F,32,Spain,Manchester United,Premier League,2020-2021
7,Luke Shaw,"£ 150,000","£ 7,800,000","£ 7,800,000",D,25,England,Manchester United,Premier League,2020-2021
8,Odion Ighalo,"£ 125,000","£ 6,500,000","£ 6,500,000",F,31,Nigeria,Manchester United,Premier League,2020-2021
9,Victor Lindelöf,"£ 120,000","£ 6,240,000","£ 6,240,000",D,26,Sweden,Manchester United,Premier League,2020-2021
10,Fred,"£ 120,000","£ 6,240,000","£ 6,240,000",M,27,Brazil,Manchester United,Premier League,2020-2021
11,Nemanja Matic,"£ 120,000","£ 6,240,000","£ 6,240,000",M,32,Serbia,Manchester United,Premier League,2020-2021
12,Donny van de Beek,"£ 120,000","£ 6,240,000","£ 6,240,000",M,23,Netherlands,Manchester United,Premier League,2020-2021
13,Dean Henderson,"£ 100,000","£ 5,200,000","£ 5,200,000",K,23,England,Manchester United,Premier League,2020-2021
14,Bruno Fernandes,"£ 100,000","£ 5,200,000","£ 5,200,000",F,26,Portugal,Manchester United,Premier League,2020-2021
15,Aaron Wan-Bissaka,"£ 90,000","£ 4,680,000","£ 4,680,000",D,22,England,Manchester United,Premier League,2020-2021
16,Eric Bailly,"£ 80,000","£ 4,160,000","£ 4,160,000",D,26,Cote d'Ivoire,Manchester United,Premier League,2020-2021
17,Marcos Rojo,"£ 80,000","£ 4,160,000","£ 4,160,000",D,30,Argentina,Manchester United,Premier League,2020-2021
18,Mason Greenwood,"£ 75,000","£ 3,900,000","£ 3,900,000",F,19,England,Manchester United,Premier League,2020-2021
19,Jesse Lingard,"£ 75,000","£ 3,900,000","£ 3,900,000",F,27,England,Manchester United,Premier League,2020-2021
20,Phil Jones,"£ 75,000","£ 3,900,000","£ 3,900,000",D,28,England,Manchester United,Premier League,2020-2021
21,Sergio Romero,"£ 70,000","£ 3,640,000","£ 3,640,000",K,33,Argentina,Manchester United,Premier League,2020-2021
22,Alex Telles,"£ 69,231","£ 3,600,000","£ 3,600,000",D,27,Brazil,Manchester United,Premier League,2020-2021
23,Brandon Williams,"£ 65,000","£ 3,380,000","£ 3,380,000",D,20,England,Manchester United,Premier League,2020-2021
24,Scott McTominay,"£ 60,000","£ 3,120,000","£ 3,120,000",M,23,Scotland,Manchester United,Premier League,2020-2021
25,Axel Tuanzebe,"£ 50,000","£ 2,600,000","£ 2,600,000",D,22,England,Manchester United,Premier League,2020-2021
26,Daniel James,"£ 45,000","£ 2,340,000","£ 2,340,000",F,22,Wales,Manchester United,Premier League,2020-2021
27,Lee Grant,"£ 30,000","£ 1,560,000","£ 1,560,000",K,37,England,Manchester United,Premier League,2020-2021
28,Amad Diallo,"£ 28,846","£ 1,500,000","£ 1,500,000",F,18,Cote d'Ivoire,Manchester United,Premier League,2020-2021
29,Nathan Bishop,"£ 18,269","£ 950,000","£ 950,000",K,21,England,Manchester United,Premier League,2020-2021
30,Facundo Pellistri,"£ 17,500","£ 910,000","£ 910,000",F,18,Uruguay,Manchester United,Premier League,2020-2021
31,Timothy Fosu-Mensah,"£ 15,000","£ 780,000","£ 780,000",D,22,Netherlands,Manchester United,Premier League,2020-2021
