,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Joelinton,,"£ 80,000","£ 4,160,000",CF,24,Starter,"Jun 30, 2025",5-yrs,"£ 24,015,491",Newcastle,Premier League,2020-2021
1,Andy Carroll,,"£ 75,000","£ 3,900,000",CF,32,Reserve,"Jun 30, 2021",1-yr,"£ 4,502,905",Newcastle,Premier League,2020-2021
2,Jonjo Shelvey,,"£ 70,000","£ 3,640,000",CM,28,Starter,"Jun 30, 2023",3-yrs,"£ 12,608,133",Newcastle,Premier League,2020-2021
3,Allan Saint-Maximin,,"£ 65,000","£ 3,380,000",LW,23,Starter,"Jun 30, 2026",6-yrs,"£ 23,415,103",Newcastle,Premier League,2020-2021
4,Callum Wilson,,"£ 60,000","£ 3,120,000",CF,28,Starter,"Jun 30, 2024",4-yrs,"£ 14,409,294",Newcastle,Premier League,2020-2021
5,Matt Ritchie,,"£ 45,000","£ 2,340,000",LB,31,Reserve,"Jun 30, 2023",3-yrs,"£ 8,105,228",Newcastle,Premier League,2020-2021
6,Federico Fernández,,"£ 43,077","£ 2,240,000",CB,31,Starter,"Jun 30, 2021",1-yr,"£ 2,586,284",Newcastle,Premier League,2020-2021
7,Miguel Almirón,,"£ 42,308","£ 2,200,000",AM,26,Reserve,"Jun 30, 2024",4-yrs,"£ 10,160,400",Newcastle,Premier League,2020-2021
8,Jamaal Lascelles,,"£ 40,000","£ 2,080,000",CB,27,Starter,"Jun 30, 2024",4-yrs,"£ 9,606,196",Newcastle,Premier League,2020-2021
9,Dwight Gayle,,"£ 40,000","£ 2,080,000",CF,31,Reserve,"Jun 30, 2021",1-yr,"£ 2,401,549",Newcastle,Premier League,2020-2021
10,Fabian Schär,,"£ 40,000","£ 2,080,000",CB,29,Reserve,"Jun 30, 2021",1-yr,"£ 2,401,549",Newcastle,Premier League,2020-2021
11,Jamal Lewis,,"£ 38,462","£ 2,000,000",LB,23,Starter,"Jun 30, 2025",5-yrs,"£ 11,545,909",Newcastle,Premier League,2020-2021
12,Martin Dubravka,,"£ 38,077","£ 1,980,000",GK,32,Reserve,"Jun 30, 2025",5-yrs,"£ 11,430,450",Newcastle,Premier League,2020-2021
13,Javier Manquillo,,"£ 35,000","£ 1,820,000",RB,26,Starter,"Jun 30, 2024",4-yrs,"£ 8,405,422",Newcastle,Premier League,2020-2021
14,Jeff Hendrick,,"£ 35,000","£ 1,820,000",CM,29,Starter,"Jun 30, 2024",4-yrs,"£ 8,405,422",Newcastle,Premier League,2020-2021
15,Ryan Fraser,,"£ 35,000","£ 1,820,000",LW,26,Reserve,"Jun 30, 2025",5-yrs,"£ 10,506,777",Newcastle,Premier League,2020-2021
16,Henri Saivet,,"£ 35,000","£ 1,820,000",AM,30,Reserve,"Jun 30, 2021",1-yr,"£ 2,101,355",Newcastle,Premier League,2020-2021
17,Paul Dummett,,"£ 35,000","£ 1,820,000",LB,29,Reserve,"Jun 30, 2022",2-yrs,"£ 4,202,711",Newcastle,Premier League,2020-2021
18,Ciaran Clark,,"£ 35,000","£ 1,820,000",CB,31,Reserve,"Jun 30, 2023",3-yrs,"£ 6,304,066",Newcastle,Premier League,2020-2021
19,Emil Krafth,,"£ 30,000","£ 1,560,000",RB,26,Reserve,"Jun 30, 2023",3-yrs,"£ 5,403,485",Newcastle,Premier League,2020-2021
20,Christian Atsu,,"£ 30,000","£ 1,560,000",LW,29,Reserve,"Jun 30, 2021",1-yr,"£ 1,801,162",Newcastle,Premier League,2020-2021
21,Karl Darlow,,"£ 25,000","£ 1,300,000",GK,30,Starter,"Jun 30, 2025",5-yrs,"£ 7,504,841",Newcastle,Premier League,2020-2021
22,Jacob Murphy,,"£ 25,000","£ 1,300,000",RW,25,Reserve,"Jun 30, 2021",1-yr,"£ 1,500,968",Newcastle,Premier League,2020-2021
23,Isaac Hayden,,"£ 21,923","£ 1,140,000",DM,25,Starter,"Jun 30, 2026",6-yrs,"£ 7,897,402",Newcastle,Premier League,2020-2021
24,Joe Willock,,"£ 20,000","£ 1,040,000",CM,21,Reserve,"May 31, 2021",1-yr,"£ 1,200,775",Newcastle,Premier League,2020-2021
25,Mark Gillespie,,"£ 15,500","£ 806,000",GK,28,Reserve,"Jun 30, 2023",3-yrs,"£ 2,791,801",Newcastle,Premier League,2020-2021
26,Achraf Lazaar,,"£ 15,000","£ 780,000",LB,29,Reserve,"Jun 30, 2021",1-yr,"£ 900,581",Newcastle,Premier League,2020-2021
27,Matthew Longstaff,,"£ 7,500","£ 390,000",CM,20,Reserve,"Jun 30, 2022",2-yrs,"£ 900,581",Newcastle,Premier League,2020-2021
28,Sean Longstaff,,£ 962,"£ 50,000",CM,23,Reserve,"Jun 30, 2022",2-yrs,"£ 115,459",Newcastle,Premier League,2020-2021
