,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Theo Walcott,,"£ 100,000","£ 5,200,000",RW,31,Reserve,"May 31, 2021",1-yr,"£ 6,003,873",Southampton,Premier League,2020-2021
1,Takumi Minamino,,"£ 75,000","£ 3,900,000",LW,26,Reserve,"Jun 30, 2021",1-yr,"£ 4,502,905",Southampton,Premier League,2020-2021
2,Danny Ings,,"£ 75,000","£ 3,900,000",CF,28,Starter,"Jun 30, 2022",2-yrs,"£ 9,005,809",Southampton,Premier League,2020-2021
3,Ryan Bertrand,,"£ 70,000","£ 3,640,000",LB,31,Starter,"Jun 30, 2021",1-yr,"£ 4,202,711",Southampton,Premier League,2020-2021
4,Fraser Forster,,"£ 70,000","£ 3,640,000",GK,32,Reserve,"Jun 30, 2022",2-yrs,"£ 8,405,422",Southampton,Premier League,2020-2021
5,Oriol Romeu,,"£ 65,000","£ 3,380,000",DM,29,Starter,"Jun 30, 2023",3-yrs,"£ 11,707,552",Southampton,Premier League,2020-2021
6,Jannik Vestergaard,,"£ 60,000","£ 3,120,000",CB,28,Starter,"Jun 30, 2022",2-yrs,"£ 7,204,647",Southampton,Premier League,2020-2021
7,Nathan Redmond,,"£ 60,000","£ 3,120,000",LW,26,Reserve,"Jun 30, 2023",3-yrs,"£ 10,806,971",Southampton,Premier League,2020-2021
8,Moussa Djenepo,,"£ 55,000","£ 2,860,000",LW,22,Starter,"Jun 30, 2023",3-yrs,"£ 9,906,390",Southampton,Premier League,2020-2021
9,Stuart Armstrong,,"£ 50,000","£ 2,600,000",CM,28,Starter,"Jun 30, 2024",4-yrs,"£ 12,007,745",Southampton,Premier League,2020-2021
10,Alex McCarthy,,"£ 50,000","£ 2,600,000",GK,31,Starter,"Jun 30, 2022",2-yrs,"£ 6,003,873",Southampton,Premier League,2020-2021
11,Jack Stephens,,"£ 47,885","£ 2,490,000",CB,27,Reserve,"Jun 30, 2022",2-yrs,"£ 5,749,863",Southampton,Premier League,2020-2021
12,James Ward-Prowse,,"£ 45,000","£ 2,340,000",CM,26,Starter,"Jun 30, 2025",5-yrs,"£ 13,508,714",Southampton,Premier League,2020-2021
13,Che Adams,,"£ 30,000","£ 1,560,000",CF,24,Starter,"Jun 30, 2024",4-yrs,"£ 7,204,647",Southampton,Premier League,2020-2021
14,Kyle Walker-Peters,,"£ 20,000","£ 1,040,000",RB,23,Starter,"Jun 30, 2025",5-yrs,"£ 6,003,873",Southampton,Premier League,2020-2021
15,Jan Bednarek,,"£ 20,000","£ 1,040,000",CB,24,Starter,"Jun 30, 2025",5-yrs,"£ 6,003,873",Southampton,Premier League,2020-2021
16,Sam McQueen,,"£ 18,077","£ 940,000",LB,25,Reserve,"Jun 30, 2021",1-yr,"£ 1,085,315",Southampton,Premier League,2020-2021
17,Mohammed Salisu,,"£ 17,500","£ 910,000",CB,21,Reserve,"Jun 30, 2024",4-yrs,"£ 4,202,711",Southampton,Premier League,2020-2021
18,Michael Obafemi,,"£ 16,923","£ 880,000",CF,20,Reserve,"Jun 30, 2022",2-yrs,"£ 2,032,080",Southampton,Premier League,2020-2021
19,Ibrahima Diallo,,"£ 16,500","£ 858,000",DM,21,Reserve,"Jun 30, 2024",4-yrs,"£ 3,962,556",Southampton,Premier League,2020-2021
20,Harry Lewis,,"£ 4,500","£ 234,000",GK,23,Reserve,"Jun 30, 2021",1-yr,"£ 270,174",Southampton,Premier League,2020-2021
21,Will Smallbone,,"£ 1,500","£ 78,000",CM,20,Reserve,"Jun 30, 2024",4-yrs,"£ 360,232",Southampton,Premier League,2020-2021
22,Dan N'Lundulu,,"£ 1,346","£ 70,000",CF,21,Reserve,"Jun 30, 2022",2-yrs,"£ 161,643",Southampton,Premier League,2020-2021
23,Nathan Tella,,"£ 1,000","£ 52,000",RW,21,Reserve,"Jun 30, 2023",3-yrs,"£ 180,116",Southampton,Premier League,2020-2021
