,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Yerry Mina,"£ 120,000","£ 6,240,000","£ 6,240,000",D,26,Colombia,Everton,Premier League,2020-2021
1,Bernard,"£ 120,000","£ 6,240,000","£ 6,240,000",F,28,Brazil,Everton,Premier League,2020-2021
2,André Gomes,"£ 112,308","£ 5,840,000","£ 5,840,000",M,27,Portugal,Everton,Premier League,2020-2021
3,Gylfi Sigurdsson,"£ 100,000","£ 5,200,000","£ 5,200,000",F,31,Iceland,Everton,Premier League,2020-2021
4,Jordan Pickford,"£ 100,000","£ 5,200,000","£ 5,200,000",K,26,England,Everton,Premier League,2020-2021
5,Richarlison,"£ 90,000","£ 4,680,000","£ 4,680,000",F,23,Brazil,Everton,Premier League,2020-2021
6,James Rodríguez,"£ 90,000","£ 4,680,000","£ 4,680,000",F,29,Colombia,Everton,Premier League,2020-2021
7,Lucas Digne,"£ 90,000","£ 4,680,000","£ 4,680,000",D,27,France,Everton,Premier League,2020-2021
8,Abdoulaye Doucouré,"£ 82,500","£ 4,290,000","£ 4,290,000",M,27,Mali,Everton,Premier League,2020-2021
9,Fabian Delph,"£ 80,000","£ 4,160,000","£ 4,160,000",M,30,England,Everton,Premier League,2020-2021
10,Yannick Bolasie,"£ 75,000","£ 3,900,000","£ 3,900,000",F,31,Democratic Republic of the Congo,Everton,Premier League,2020-2021
11,Jean-Philippe Gbamin,"£ 75,000","£ 3,900,000","£ 3,900,000",M,25,Cote d'Ivoire,Everton,Premier League,2020-2021
12,Allan,"£ 70,000","£ 3,640,000","£ 3,640,000",M,29,Brazil,Everton,Premier League,2020-2021
13,Seamus Coleman,"£ 70,000","£ 3,640,000","£ 3,640,000",D,32,Ireland,Everton,Premier League,2020-2021
14,Michael Keane,"£ 65,000","£ 3,380,000","£ 3,380,000",D,27,England,Everton,Premier League,2020-2021
15,Cenk Tosun,"£ 60,000","£ 3,120,000","£ 3,120,000",F,29,Turkey,Everton,Premier League,2020-2021
16,Alex Iwobi,"£ 50,000","£ 2,600,000","£ 2,600,000",F,24,Nigeria,Everton,Premier League,2020-2021
17,Joshua King,"£ 45,000","£ 2,340,000","£ 2,340,000",F,29,Norway,Everton,Premier League,2020-2021
18,Muhamed Besic,"£ 30,000","£ 1,560,000","£ 1,560,000",M,28,Bosnia-Herzegovina,Everton,Premier League,2020-2021
19,Jonas Lössl,"£ 28,077","£ 1,460,000","£ 1,460,000",K,31,Denmark,Everton,Premier League,2020-2021
20,Mason Holgate,"£ 25,000","£ 1,300,000","£ 1,300,000",D,23,England,Everton,Premier League,2020-2021
21,Tom Davies,"£ 25,000","£ 1,300,000","£ 1,300,000",M,22,England,Everton,Premier League,2020-2021
22,Dominic Calvert-Lewin,"£ 20,000","£ 1,040,000","£ 1,040,000",F,23,England,Everton,Premier League,2020-2021
23,Robin Olsen,"£ 15,250","£ 793,000","£ 793,000",K,30,Sweden,Everton,Premier League,2020-2021
24,Jonjoe Kenny,"£ 15,000","£ 780,000","£ 780,000",D,23,England,Everton,Premier League,2020-2021
25,Matthew Pennington,"£ 12,500","£ 650,000","£ 650,000",D,26,England,Everton,Premier League,2020-2021
26,Anthony Gordon,"£ 10,000","£ 520,000","£ 520,000",F,19,England,Everton,Premier League,2020-2021
27,Beni Baningime,"£ 8,077","£ 420,000","£ 420,000",M,22,Democratic Republic of the Congo,Everton,Premier League,2020-2021
28,João Virgínia,"£ 7,500","£ 390,000","£ 390,000",K,21,Portugal,Everton,Premier League,2020-2021
29,Jarrad Branthwaite,"£ 5,500","£ 286,000","£ 286,000",D,18,England,Everton,Premier League,2020-2021
30,Ben Godfrey,"£ 5,000","£ 260,000","£ 260,000",D,22,England,Everton,Premier League,2020-2021
31,Niels Nkounkou,"£ 4,500","£ 234,000","£ 234,000",D,19,France,Everton,Premier League,2020-2021
