,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Andriy Yarmolenko,,"£ 115,000","£ 5,980,000",RW,31,Reserve,"Jun 30, 2022",2-yrs,"£ 13,808,907",West Ham,Premier League,2020-2021
1,Pablo Fornals,,"£ 80,000","£ 4,160,000",AM,24,Starter,"Jun 30, 2024",4-yrs,"£ 19,212,393",West Ham,Premier League,2020-2021
2,Jesse Lingard,,"£ 75,000","£ 3,900,000",RW,28,Reserve,"Jun 30, 2021",1-yr,"£ 4,502,905",West Ham,Premier League,2020-2021
3,Angelo Ogbonna,,"£ 70,000","£ 3,640,000",CB,32,Starter,"Jun 30, 2022",2-yrs,"£ 8,405,422",West Ham,Premier League,2020-2021
4,Michail Antonio,,"£ 70,000","£ 3,640,000",CF,30,Starter,"Jun 30, 2023",3-yrs,"£ 12,608,133",West Ham,Premier League,2020-2021
5,Manuel Lanzini,,"£ 70,000","£ 3,640,000",AM,27,Reserve,"Jun 30, 2023",3-yrs,"£ 12,608,133",West Ham,Premier League,2020-2021
6,Issa Diop,,"£ 66,923","£ 3,480,000",CB,24,Reserve,"Jun 30, 2023",3-yrs,"£ 12,053,929",West Ham,Premier League,2020-2021
7,Lukasz Fabianski,,"£ 65,000","£ 3,380,000",GK,35,Starter,"Jun 30, 2022",2-yrs,"£ 7,805,034",West Ham,Premier League,2020-2021
8,Jarrod Bowen,,"£ 55,000","£ 2,860,000",RW,24,Starter,"Jun 30, 2025",5-yrs,"£ 16,510,650",West Ham,Premier League,2020-2021
9,Aaron Cresswell,,"£ 50,000","£ 2,600,000",LB,31,Starter,"Jun 30, 2023",3-yrs,"£ 9,005,809",West Ham,Premier League,2020-2021
10,Mark Noble,,"£ 50,000","£ 2,600,000",CM,33,Reserve,"Jun 30, 2022",2-yrs,"£ 6,003,873",West Ham,Premier League,2020-2021
11,Tomas Soucek,,"£ 45,000","£ 2,340,000",DM,25,Starter,"Jun 30, 2024",4-yrs,"£ 10,806,971",West Ham,Premier League,2020-2021
12,Craig Dawson,,"£ 42,500","£ 2,210,000",CB,30,Reserve,"May 31, 2021",1-yr,"£ 2,551,646",West Ham,Premier League,2020-2021
13,Arthur Masuaku,,"£ 40,000","£ 2,080,000",LB,27,Starter,"Jun 30, 2024",4-yrs,"£ 9,606,196",West Ham,Premier League,2020-2021
14,Fabián Balbuena,,"£ 40,000","£ 2,080,000",CB,29,Starter,"Jun 30, 2021",1-yr,"£ 2,401,549",West Ham,Premier League,2020-2021
15,Ryan Fredericks,,"£ 40,000","£ 2,080,000",RB,28,Reserve,"Jun 30, 2022",2-yrs,"£ 4,803,098",West Ham,Premier League,2020-2021
16,Darren Randolph,,"£ 37,500","£ 1,950,000",GK,33,Reserve,"Jun 30, 2023",3-yrs,"£ 6,754,357",West Ham,Premier League,2020-2021
17,Vladimir Coufal,,"£ 35,000","£ 1,820,000",RB,28,Starter,"Jun 30, 2023",3-yrs,"£ 6,304,066",West Ham,Premier League,2020-2021
18,Saïd Benrahma,,"£ 20,000","£ 1,040,000",LW,25,Reserve,"Jun 30, 2026",6-yrs,"£ 7,204,647",West Ham,Premier League,2020-2021
19,Frederik Alves,,"£ 15,385","£ 800,000",CB,21,Reserve,"Jun 30, 2024",4-yrs,"£ 3,694,691",West Ham,Premier League,2020-2021
20,David Martin,,"£ 8,000","£ 416,000",GK,35,Reserve,"Jun 30, 2022",2-yrs,"£ 960,620",West Ham,Premier League,2020-2021
21,Declan Rice,,"£ 3,077","£ 160,000",DM,22,Starter,"Jun 30, 2024",4-yrs,"£ 738,938",West Ham,Premier League,2020-2021
22,Ben Johnson,,"£ 1,800","£ 93,600",RB,21,Reserve,"Jun 30, 2022",2-yrs,"£ 216,139",West Ham,Premier League,2020-2021
