,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Phil Jagielka,,"£ 50,000","£ 2,600,000",CB,38,Reserve,"Jun 30, 2021",1-yr,"£ 3,001,936",Sheffield United,Premier League,2020-2021
1,Sander Berge,,"£ 32,692","£ 1,700,000",DM,22,Starter,"Jun 30, 2024",4-yrs,"£ 7,851,218",Sheffield United,Premier League,2020-2021
2,David McGoldrick,,"£ 27,500","£ 1,430,000",CF,33,Starter,"Jun 30, 2022",2-yrs,"£ 3,302,130",Sheffield United,Premier League,2020-2021
3,Rhian Brewster,,"£ 27,500","£ 1,430,000",CF,20,Reserve,"Jun 30, 2025",5-yrs,"£ 8,255,325",Sheffield United,Premier League,2020-2021
4,Lys Mousset,,"£ 25,000","£ 1,300,000",CF,24,Reserve,"Jun 30, 2022",2-yrs,"£ 3,001,936",Sheffield United,Premier League,2020-2021
5,Oliver McBurnie,,"£ 20,000","£ 1,040,000",CF,24,Starter,"Jun 30, 2023",3-yrs,"£ 3,602,324",Sheffield United,Premier League,2020-2021
6,Jayden Bogle,,"£ 16,500","£ 858,000",RB,20,Reserve,"Jun 30, 2024",4-yrs,"£ 3,962,556",Sheffield United,Premier League,2020-2021
7,Oliver Norwood,,"£ 15,000","£ 780,000",CM,29,Reserve,"Jun 30, 2023",3-yrs,"£ 2,701,743",Sheffield United,Premier League,2020-2021
8,Jack Rodwell,,"£ 13,200","£ 686,400",DM,29,Reserve,"Jun 30, 2021",1-yr,"£ 792,511",Sheffield United,Premier League,2020-2021
9,Billy Sharp,,"£ 12,000","£ 624,000",CF,34,Reserve,"Jun 30, 2022",2-yrs,"£ 1,440,929",Sheffield United,Premier League,2020-2021
10,Jack Robinson,,"£ 11,000","£ 572,000",LB,27,Starter,"Jun 30, 2022",2-yrs,"£ 1,320,852",Sheffield United,Premier League,2020-2021
11,Jack O'Connell,,"£ 10,000","£ 520,000",CB,26,Reserve,"Jun 30, 2023",3-yrs,"£ 1,801,162",Sheffield United,Premier League,2020-2021
12,Chris Basham,,"£ 9,365","£ 487,000",CB,32,Starter,"Jun 30, 2022",2-yrs,"£ 1,124,572",Sheffield United,Premier League,2020-2021
13,Oliver Burke,,"£ 8,800","£ 457,600",RW,23,Reserve,"Jun 30, 2023",3-yrs,"£ 1,585,022",Sheffield United,Premier League,2020-2021
14,John Fleck,,"£ 8,077","£ 420,000",CM,29,Reserve,"Jun 30, 2023",3-yrs,"£ 1,454,785",Sheffield United,Premier League,2020-2021
15,John Egan,,"£ 7,500","£ 390,000",CB,28,Starter,"Jun 30, 2024",4-yrs,"£ 1,801,162",Sheffield United,Premier League,2020-2021
16,Ethan Ampadu,,"£ 7,500","£ 390,000",CB,20,Reserve,"May 31, 2021",1-yr,"£ 450,290",Sheffield United,Premier League,2020-2021
17,Wes Foderingham,,"£ 5,500","£ 286,000",GK,30,Reserve,"Jun 30, 2023",3-yrs,"£ 990,639",Sheffield United,Premier League,2020-2021
18,Simon Moore,,"£ 5,000","£ 260,000",GK,30,Reserve,"Jun 30, 2021",1-yr,"£ 300,194",Sheffield United,Premier League,2020-2021
19,Max Lowe,,"£ 4,400","£ 228,800",LB,23,Reserve,"Jun 30, 2024",4-yrs,"£ 1,056,682",Sheffield United,Premier League,2020-2021
20,George Baldock,,"£ 4,038","£ 210,000",RB,27,Starter,"Jun 30, 2022",2-yrs,"£ 484,928",Sheffield United,Premier League,2020-2021
21,Ben Osborn,,"£ 4,038","£ 210,000",LM,26,Starter,"Jun 30, 2022",2-yrs,"£ 484,928",Sheffield United,Premier League,2020-2021
22,Enda Stevens,,"£ 4,038","£ 210,000",LB,30,Starter,"Jun 30, 2023",3-yrs,"£ 727,392",Sheffield United,Premier League,2020-2021
23,John Lundstram,,"£ 4,038","£ 210,000",CM,26,Starter,"Jun 30, 2021",1-yr,"£ 242,464",Sheffield United,Premier League,2020-2021
24,Kean Bryan,,"£ 3,077","£ 160,000",CB,24,Reserve,"Jun 30, 2021",1-yr,"£ 184,735",Sheffield United,Premier League,2020-2021
25,Aaron Ramsdale,,"£ 3,077","£ 160,000",GK,22,Starter,"Jun 30, 2024",4-yrs,"£ 738,938",Sheffield United,Premier League,2020-2021
