,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Wilfried Zaha,,"£ 130,000","£ 6,760,000",LW,28,Starter,"Jun 30, 2023",3-yrs,"£ 23,415,103",Crystal Palace,Premier League,2020-2021
1,Christian Benteke,,"£ 120,000","£ 6,240,000",CF,30,Reserve,"Jun 30, 2023",3-yrs,"£ 21,613,942",Crystal Palace,Premier League,2020-2021
2,Mamadou Sakho,,"£ 100,000","£ 5,200,000",CB,30,Reserve,"Jun 30, 2021",1-yr,"£ 6,003,873",Crystal Palace,Premier League,2020-2021
3,Michy Batshuayi,,"£ 90,000","£ 4,680,000",CF,27,Reserve,"May 31, 2021",1-yr,"£ 5,403,485",Crystal Palace,Premier League,2020-2021
4,Gary Cahill,,"£ 65,000","£ 3,380,000",CB,35,Reserve,"Jun 30, 2021",1-yr,"£ 3,902,517",Crystal Palace,Premier League,2020-2021
5,Cheikhou Kouyaté,,"£ 65,000","£ 3,380,000",DM,31,Starter,"Jun 30, 2022",2-yrs,"£ 7,805,034",Crystal Palace,Premier League,2020-2021
6,Vicente Guaita,,"£ 60,000","£ 3,120,000",GK,34,Starter,"Jun 30, 2023",3-yrs,"£ 10,806,971",Crystal Palace,Premier League,2020-2021
7,Scott Dann,,"£ 60,000","£ 3,120,000",CB,33,Starter,"Jun 30, 2021",1-yr,"£ 3,602,324",Crystal Palace,Premier League,2020-2021
8,Connor Wickham,,"£ 60,000","£ 3,120,000",CF,27,Reserve,"Jun 30, 2021",1-yr,"£ 3,602,324",Crystal Palace,Premier League,2020-2021
9,Jeffrey Schlupp,,"£ 55,962","£ 2,910,000",LM,28,Starter,"Jun 30, 2021",1-yr,"£ 3,359,860",Crystal Palace,Premier League,2020-2021
10,Andros Townsend,,"£ 55,000","£ 2,860,000",RW,29,Starter,"Jun 30, 2021",1-yr,"£ 3,302,130",Crystal Palace,Premier League,2020-2021
11,Jairo Riedewald,,"£ 55,000","£ 2,860,000",DM,24,Reserve,"Jun 30, 2022",2-yrs,"£ 6,604,260",Crystal Palace,Premier League,2020-2021
12,James McArthur,,"£ 55,000","£ 2,860,000",CM,33,Starter,"Jun 30, 2021",1-yr,"£ 3,302,130",Crystal Palace,Premier League,2020-2021
13,Luka Milivojevic,,"£ 55,000","£ 2,860,000",DM,29,Reserve,"Jun 30, 2023",3-yrs,"£ 9,906,390",Crystal Palace,Premier League,2020-2021
14,Nathaniel Clyne,,"£ 55,000","£ 2,860,000",RB,29,Reserve,"Jun 30, 2021",1-yr,"£ 3,302,130",Crystal Palace,Premier League,2020-2021
15,Patrick van Aanholt,,"£ 55,000","£ 2,860,000",LB,30,Reserve,"Jun 30, 2021",1-yr,"£ 3,302,130",Crystal Palace,Premier League,2020-2021
16,James Tomkins,,"£ 50,000","£ 2,600,000",CB,31,Reserve,"Jun 30, 2022",2-yrs,"£ 6,003,873",Crystal Palace,Premier League,2020-2021
17,James McCarthy,,"£ 50,000","£ 2,600,000",CM,30,Starter,"Jun 30, 2021",1-yr,"£ 3,001,936",Crystal Palace,Premier League,2020-2021
18,Jack Butland,,"£ 45,000","£ 2,340,000",GK,27,Reserve,"Jun 30, 2023",3-yrs,"£ 8,105,228",Crystal Palace,Premier League,2020-2021
19,Wayne Hennessey,,"£ 40,000","£ 2,080,000",GK,34,Reserve,"Jun 30, 2021",1-yr,"£ 2,401,549",Crystal Palace,Premier League,2020-2021
20,Joel Ward,,"£ 35,000","£ 1,820,000",RB,31,Starter,"Jun 30, 2021",1-yr,"£ 2,101,355",Crystal Palace,Premier League,2020-2021
21,Jordan Ayew,,"£ 32,500","£ 1,690,000",CF,29,Starter,"Jun 30, 2022",2-yrs,"£ 3,902,517",Crystal Palace,Premier League,2020-2021
22,Jean-Philippe Mateta,,"£ 31,538","£ 1,640,000",CF,23,Reserve,"Jun 30, 2022",2-yrs,"£ 3,787,058",Crystal Palace,Premier League,2020-2021
23,Eberechi Eze,,"£ 30,000","£ 1,560,000",AM,22,Reserve,"Jun 30, 2025",5-yrs,"£ 9,005,809",Crystal Palace,Premier League,2020-2021
24,Tyrick Mitchell,,"£ 28,846","£ 1,500,000",LB,21,Starter,"Jun 30, 2025",5-yrs,"£ 8,659,432",Crystal Palace,Premier League,2020-2021
25,Nathan Ferguson,,"£ 26,500","£ 1,378,000",CB,20,Reserve,"Jun 30, 2023",3-yrs,"£ 4,773,079",Crystal Palace,Premier League,2020-2021
26,Martin Kelly,,"£ 25,000","£ 1,300,000",RB,30,Reserve,"Jun 30, 2021",1-yr,"£ 1,500,968",Crystal Palace,Premier League,2020-2021
27,Stephen Henderson,,"£ 6,923","£ 360,000",GK,32,Reserve,"Jun 30, 2021",1-yr,"£ 415,653",Crystal Palace,Premier League,2020-2021
