,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Pierre-Emerick Aubameyang,,"£ 250,000","£ 13,000,000",CF,31,Starter,"Jun 30, 2023",3-yrs,"£ 45,029,045",Arsenal,Premier League,2020-2021
1,Thomas Partey,,"£ 250,000","£ 13,000,000",DM,27,Reserve,"Jun 30, 2025",5-yrs,"£ 75,048,408",Arsenal,Premier League,2020-2021
2,Alexandre Lacazette,,"£ 182,115","£ 9,470,000",CF,29,Starter,"Jun 30, 2022",2-yrs,"£ 21,867,952",Arsenal,Premier League,2020-2021
3,Willian,,"£ 138,462","£ 7,200,000",RW,32,Starter,"Jun 30, 2023",3-yrs,"£ 24,939,163",Arsenal,Premier League,2020-2021
4,Héctor Bellerín,,"£ 110,000","£ 5,720,000",RB,25,Starter,"Jun 30, 2023",3-yrs,"£ 19,812,780",Arsenal,Premier League,2020-2021
5,David Luiz,,"£ 100,962","£ 5,250,000",CB,33,Reserve,"Jun 30, 2021",1-yr,"£ 6,061,602",Arsenal,Premier League,2020-2021
6,Nicolas Pépé,,"£ 100,000","£ 5,200,000",RW,25,Reserve,"Jun 30, 2024",4-yrs,"£ 24,015,491",Arsenal,Premier League,2020-2021
7,Bernd Leno,,"£ 100,000","£ 5,200,000",GK,28,Starter,"Jun 30, 2023",3-yrs,"£ 18,011,618",Arsenal,Premier League,2020-2021
8,Granit Xhaka,,"£ 100,000","£ 5,200,000",DM,28,Starter,"Jun 30, 2023",3-yrs,"£ 18,011,618",Arsenal,Premier League,2020-2021
9,Gabriel Martinelli,,"£ 90,000","£ 4,680,000",LW,19,Reserve,"Jun 30, 2024",4-yrs,"£ 21,613,942",Arsenal,Premier League,2020-2021
10,Kieran Tierney,,"£ 80,769","£ 4,200,000",LB,23,Starter,"Jun 30, 2026",6-yrs,"£ 29,095,691",Arsenal,Premier League,2020-2021
11,Martin Ødegaard,,"£ 69,423","£ 3,610,000",AM,22,Reserve,"Jun 30, 2021",1-yr,"£ 4,168,073",Arsenal,Premier League,2020-2021
12,Dani Ceballos,,"£ 51,923","£ 2,700,000",CM,24,Reserve,"Jun 30, 2021",1-yr,"£ 3,117,395",Arsenal,Premier League,2020-2021
13,Calum Chambers,,"£ 50,000","£ 2,600,000",CB,26,Reserve,"Jun 30, 2022",2-yrs,"£ 6,003,873",Arsenal,Premier League,2020-2021
14,Mohamed Elneny,,"£ 50,000","£ 2,600,000",DM,28,Reserve,"Jun 30, 2022",2-yrs,"£ 6,003,873",Arsenal,Premier League,2020-2021
15,Mathew Ryan,,"£ 35,000","£ 1,820,000",GK,28,Starter,"Jun 30, 2021",1-yr,"£ 2,101,355",Arsenal,Premier League,2020-2021
16,Gabriel Magalhães,,"£ 27,500","£ 1,430,000",CB,23,Starter,"Jun 30, 2025",5-yrs,"£ 8,255,325",Arsenal,Premier League,2020-2021
17,Cédric Soares,,"£ 26,500","£ 1,378,000",RB,29,Reserve,"Jun 30, 2024",4-yrs,"£ 6,364,105",Arsenal,Premier League,2020-2021
18,Rob Holding,,"£ 25,000","£ 1,300,000",CB,25,Starter,"Jun 30, 2024",4-yrs,"£ 6,003,873",Arsenal,Premier League,2020-2021
19,Pablo Marí,,"£ 16,923","£ 880,000",CB,27,Reserve,"Jun 30, 2024",4-yrs,"£ 4,064,160",Arsenal,Premier League,2020-2021
20,Rúnar Alex Rúnarsson,,"£ 15,000","£ 780,000",GK,25,Reserve,"Jun 30, 2024",4-yrs,"£ 3,602,324",Arsenal,Premier League,2020-2021
21,Emile Smith Rowe,,"£ 15,000","£ 780,000",CM,20,Reserve,"Jun 30, 2023",3-yrs,"£ 2,701,743",Arsenal,Premier League,2020-2021
22,Eddie Nketiah,,"£ 15,000","£ 780,000",CF,21,Reserve,"Jun 30, 2022",2-yrs,"£ 1,801,162",Arsenal,Premier League,2020-2021
23,Reiss Nelson,,"£ 15,000","£ 780,000",RW,21,Reserve,"Jun 30, 2023",3-yrs,"£ 2,701,743",Arsenal,Premier League,2020-2021
24,Bukayo Saka,,"£ 10,000","£ 520,000",LM,19,Starter,"Jun 30, 2024",4-yrs,"£ 2,401,549",Arsenal,Premier League,2020-2021
25,Dejan Iliev,,"£ 5,769","£ 300,000",GK,25,Reserve,"Jun 30, 2022",2-yrs,"£ 692,755",Arsenal,Premier League,2020-2021
