,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Jack Grealish,,"£ 105,000","£ 5,460,000",LW,25,Starter,"Jun 30, 2025",5-yrs,"£ 31,520,332",Aston Villa,Premier League,2020-2021
1,Ross Barkley,,"£ 96,154","£ 5,000,000",CM,27,Starter,"May 31, 2021",1-yr,"£ 5,772,954",Aston Villa,Premier League,2020-2021
2,Ollie Watkins,,"£ 75,000","£ 3,900,000",CF,25,Starter,"Jun 30, 2025",5-yrs,"£ 22,514,523",Aston Villa,Premier League,2020-2021
3,Matty Cash,,"£ 65,000","£ 3,380,000",RB,23,Starter,"Jun 30, 2025",5-yrs,"£ 19,512,586",Aston Villa,Premier League,2020-2021
4,Tyrone Mings,,"£ 65,000","£ 3,380,000",CB,27,Starter,"Jun 30, 2024",4-yrs,"£ 15,610,069",Aston Villa,Premier League,2020-2021
5,Björn Engels,,"£ 55,000","£ 2,860,000",CB,26,Reserve,"Jun 30, 2024",4-yrs,"£ 13,208,520",Aston Villa,Premier League,2020-2021
6,Bertrand Traoré,,"£ 55,000","£ 2,860,000",RW,25,Reserve,"Jun 30, 2024",4-yrs,"£ 13,208,520",Aston Villa,Premier League,2020-2021
7,Trezeguet,,"£ 52,500","£ 2,730,000",LW,26,Starter,"Jun 30, 2023",3-yrs,"£ 9,456,099",Aston Villa,Premier League,2020-2021
8,Morgan Sanson,,"£ 48,077","£ 2,500,000",CM,26,Reserve,"Jun 30, 2025",5-yrs,"£ 14,432,386",Aston Villa,Premier League,2020-2021
9,Emiliano Martínez,,"£ 47,500","£ 2,470,000",GK,28,Starter,"Jun 30, 2024",4-yrs,"£ 11,407,358",Aston Villa,Premier League,2020-2021
10,Tom Heaton,,"£ 41,923","£ 2,180,000",GK,34,Reserve,"Jun 30, 2023",3-yrs,"£ 7,551,024",Aston Villa,Premier League,2020-2021
11,Matt Targett,,"£ 35,000","£ 1,820,000",LB,25,Starter,"Jun 30, 2025",5-yrs,"£ 10,506,777",Aston Villa,Premier League,2020-2021
12,Wesley,,"£ 35,000","£ 1,820,000",CF,24,Reserve,"Jun 30, 2024",4-yrs,"£ 8,405,422",Aston Villa,Premier League,2020-2021
13,Douglas Luiz,,"£ 32,692","£ 1,700,000",DM,22,Starter,"Jun 30, 2023",3-yrs,"£ 5,888,414",Aston Villa,Premier League,2020-2021
14,Marvelous Nakamba,,"£ 32,500","£ 1,690,000",DM,27,Reserve,"Jun 30, 2024",4-yrs,"£ 7,805,034",Aston Villa,Premier League,2020-2021
15,Neil Taylor,,"£ 31,923","£ 1,660,000",LB,31,Reserve,"Jun 30, 2021",1-yr,"£ 1,916,621",Aston Villa,Premier League,2020-2021
16,Anwar El Ghazi,,"£ 30,962","£ 1,610,000",RW,25,Reserve,"Jun 30, 2023",3-yrs,"£ 5,576,674",Aston Villa,Premier League,2020-2021
17,Ahmed Elmohamady,,"£ 25,000","£ 1,300,000",RB,33,Reserve,"Jun 30, 2021",1-yr,"£ 1,500,968",Aston Villa,Premier League,2020-2021
18,John McGinn,,"£ 25,000","£ 1,300,000",CM,26,Starter,"Jun 30, 2025",5-yrs,"£ 7,504,841",Aston Villa,Premier League,2020-2021
19,Kortney Hause,,"£ 8,077","£ 420,000",CB,25,Reserve,"Jun 30, 2022",2-yrs,"£ 969,856",Aston Villa,Premier League,2020-2021
20,Jed Steer,,"£ 8,077","£ 420,000",GK,28,Reserve,"Jun 30, 2023",3-yrs,"£ 1,454,785",Aston Villa,Premier League,2020-2021
21,Ezri Konsa,,"£ 8,000","£ 416,000",CB,23,Starter,"Jun 30, 2026",6-yrs,"£ 2,881,859",Aston Villa,Premier League,2020-2021
22,Keinan Davis,,"£ 7,500","£ 390,000",CF,22,Reserve,"Jun 30, 2024",4-yrs,"£ 1,801,162",Aston Villa,Premier League,2020-2021
23,Jacob Ramsey,,"£ 7,500","£ 390,000",AM,19,Reserve,"Jun 30, 2023",3-yrs,"£ 1,350,871",Aston Villa,Premier League,2020-2021
