,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Gareth Bale,"£ 600,000","£ 31,200,000","£ 31,200,000",F,31,Wales,Tottenham,Premier League,2020-2021
1,Tanguy Ndombélé,"£ 200,000","£ 10,400,000","£ 10,400,000",M,23,France,Tottenham,Premier League,2020-2021
2,Harry Kane,"£ 200,000","£ 10,400,000","£ 10,400,000",F,27,England,Tottenham,Premier League,2020-2021
3,Heung-min Son,"£ 140,000","£ 7,280,000","£ 7,280,000",F,28,South Korea,Tottenham,Premier League,2020-2021
4,Hugo Lloris,"£ 100,000","£ 5,200,000","£ 5,200,000",K,33,France,Tottenham,Premier League,2020-2021
5,Dele Alli,"£ 100,000","£ 5,200,000","£ 5,200,000",F,24,England,Tottenham,Premier League,2020-2021
6,Toby Alderweireld,"£ 80,000","£ 4,160,000","£ 4,160,000",D,31,Belgium,Tottenham,Premier League,2020-2021
7,Erik Lamela,"£ 80,000","£ 4,160,000","£ 4,160,000",F,28,Argentina,Tottenham,Premier League,2020-2021
8,Lucas Moura,"£ 80,000","£ 4,160,000","£ 4,160,000",F,28,Brazil,Tottenham,Premier League,2020-2021
9,Moussa Sissoko,"£ 80,000","£ 4,160,000","£ 4,160,000",M,31,France,Tottenham,Premier League,2020-2021
10,Steven Bergwijn,"£ 75,000","£ 3,900,000","£ 3,900,000",F,23,Netherlands,Tottenham,Premier League,2020-2021
11,Serge Aurier,"£ 70,000","£ 3,640,000","£ 3,640,000",D,27,Cote d'Ivoire,Tottenham,Premier League,2020-2021
12,Giovani Lo Celso,"£ 70,000","£ 3,640,000","£ 3,640,000",M,24,Argentina,Tottenham,Premier League,2020-2021
13,Davinson Sánchez,"£ 65,000","£ 3,380,000","£ 3,380,000",D,24,Colombia,Tottenham,Premier League,2020-2021
14,Ben Davies,"£ 60,000","£ 3,120,000","£ 3,120,000",D,27,Wales,Tottenham,Premier League,2020-2021
15,Danny Rose,"£ 60,000","£ 3,120,000","£ 3,120,000",D,30,England,Tottenham,Premier League,2020-2021
16,Eric Dier,"£ 60,000","£ 3,120,000","£ 3,120,000",D,26,England,Tottenham,Premier League,2020-2021
17,Sergio Reguilón,"£ 53,000","£ 2,756,000","£ 2,756,000",D,23,Spain,Tottenham,Premier League,2020-2021
18,Gedson Fernandes,"£ 50,769","£ 2,640,000","£ 2,640,000",M,21,Portugal,Tottenham,Premier League,2020-2021
19,Pierre-Emile Höjbjerg,"£ 50,000","£ 2,600,000","£ 2,600,000",M,25,Denmark,Tottenham,Premier League,2020-2021
20,Harry Winks,"£ 50,000","£ 2,600,000","£ 2,600,000",M,24,England,Tottenham,Premier League,2020-2021
21,Joe Hart,"£ 45,000","£ 2,340,000","£ 2,340,000",K,33,England,Tottenham,Premier League,2020-2021
22,Japhet Tanganga,"£ 41,538","£ 2,160,000","£ 2,160,000",D,21,England,Tottenham,Premier League,2020-2021
23,Jack Clarke,"£ 25,000","£ 1,300,000","£ 1,300,000",F,19,England,Tottenham,Premier League,2020-2021
24,Paulo Gazzaniga,"£ 20,000","£ 1,040,000","£ 1,040,000",K,28,Argentina,Tottenham,Premier League,2020-2021
25,Matt Doherty,"£ 10,000","£ 520,000","£ 520,000",D,28,Ireland,Tottenham,Premier League,2020-2021
26,Joe Rodon,"£ 9,615","£ 500,000","£ 500,000",D,22,Wales,Tottenham,Premier League,2020-2021
27,Carlos Vinícius,"£ 7,500","£ 390,000","£ 390,000",F,25,Brazil,Tottenham,Premier League,2020-2021
28,Alfie Whiteman,"£ 2,500","£ 130,000","£ 130,000",K,22,England,Tottenham,Premier League,2020-2021
