,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Raphinha,,"£ 63,500","£ 3,302,000",RW,24,Reserve,"Jun 30, 2024",4-yrs,"£ 15,249,837",Leeds,Premier League,2020-2021
1,Rodrigo,,"£ 57,692","£ 3,000,000",CF,29,Reserve,"Jun 30, 2024",4-yrs,"£ 13,855,091",Leeds,Premier League,2020-2021
2,Robin Koch,,"£ 50,000","£ 2,600,000",CB,24,Starter,"Jun 30, 2024",4-yrs,"£ 12,007,745",Leeds,Premier League,2020-2021
3,Patrick Bamford,,"£ 35,000","£ 1,820,000",CF,27,Starter,"Jun 30, 2022",2-yrs,"£ 4,202,711",Leeds,Premier League,2020-2021
4,Hélder Costa,,"£ 32,500","£ 1,690,000",RW,27,Starter,"Jun 30, 2024",4-yrs,"£ 7,805,034",Leeds,Premier League,2020-2021
5,Kiko Casilla,,"£ 32,115","£ 1,670,000",GK,34,Reserve,"Jun 30, 2023",3-yrs,"£ 5,784,500",Leeds,Premier League,2020-2021
6,Diego Llorente,,"£ 22,000","£ 1,144,000",CB,27,Reserve,"Jun 30, 2024",4-yrs,"£ 5,283,408",Leeds,Premier League,2020-2021
7,Illan Meslier,,"£ 21,500","£ 1,118,000",GK,20,Starter,"Jun 30, 2023",3-yrs,"£ 3,872,498",Leeds,Premier League,2020-2021
8,Adam Forshaw,,"£ 20,000","£ 1,040,000",CM,29,Reserve,"Jun 30, 2022",2-yrs,"£ 2,401,549",Leeds,Premier League,2020-2021
9,Pablo Hernández,,"£ 19,000","£ 988,000",AM,35,Starter,"Jun 30, 2022",2-yrs,"£ 2,281,472",Leeds,Premier League,2020-2021
10,Ezgjan Alioski,,"£ 15,000","£ 780,000",LB,28,Reserve,"Jun 30, 2021",1-yr,"£ 900,581",Leeds,Premier League,2020-2021
11,Jack Harrison,,"£ 15,000","£ 780,000",LW,24,Starter,"May 31, 2021",1-yr,"£ 900,581",Leeds,Premier League,2020-2021
12,Gaetano Berardi,,"£ 12,500","£ 650,000",RB,32,Reserve,"Jun 30, 2021",1-yr,"£ 750,484",Leeds,Premier League,2020-2021
13,Ian Poveda,,"£ 8,250","£ 429,000",RW,20,Reserve,"Jun 30, 2024",4-yrs,"£ 1,981,278",Leeds,Premier League,2020-2021
14,Stuart Dallas,,"£ 8,000","£ 416,000",RB,29,Starter,"Jun 30, 2023",3-yrs,"£ 1,440,929",Leeds,Premier League,2020-2021
15,Luke Ayling,,"£ 8,000","£ 416,000",RB,29,Starter,"Jun 30, 2023",3-yrs,"£ 1,440,929",Leeds,Premier League,2020-2021
16,Mateusz Klich,,"£ 7,750","£ 403,000",CM,30,Starter,"Jun 30, 2024",4-yrs,"£ 1,861,201",Leeds,Premier League,2020-2021
17,Liam Cooper,,"£ 6,500","£ 338,000",CB,29,Starter,"Jun 30, 2024",4-yrs,"£ 1,561,007",Leeds,Premier League,2020-2021
18,Kalvin Phillips,,"£ 4,500","£ 234,000",DM,25,Starter,"Jun 30, 2024",4-yrs,"£ 1,080,697",Leeds,Premier League,2020-2021
19,Ouasim Bouy,,"£ 4,000","£ 208,000",DM,27,Reserve,"Jun 30, 2021",1-yr,"£ 240,155",Leeds,Premier League,2020-2021
20,Tyler Roberts,,"£ 3,500","£ 182,000",SS,22,Reserve,"Jun 30, 2024",4-yrs,"£ 840,542",Leeds,Premier League,2020-2021
21,Pascal Struijk,,"£ 2,500","£ 130,000",CB,21,Reserve,"Jun 30, 2024",4-yrs,"£ 600,387",Leeds,Premier League,2020-2021
22,Jamie Shackleton,,"£ 1,500","£ 78,000",CM,21,Reserve,"Jun 30, 2024",4-yrs,"£ 360,232",Leeds,Premier League,2020-2021
23,Oliver Casey,,"£ 1,192","£ 62,000",CB,20,Reserve,"Jun 30, 2023",3-yrs,"£ 214,754",Leeds,Premier League,2020-2021
24,Elia Caprile,,"£ 1,000","£ 52,000",GK,19,Reserve,"Jun 30, 2023",3-yrs,"£ 180,116",Leeds,Premier League,2020-2021
25,Leif Davis,,£ 577,"£ 30,000",LB,21,Reserve,"Jun 30, 2023",3-yrs,"£ 103,913",Leeds,Premier League,2020-2021
