,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Jamie Vardy,,"£ 140,000","£ 7,280,000",CF,34,Starter,"Jun 30, 2023",3-yrs,"£ 25,216,265",Leicester,Premier League,2020-2021
1,Kasper Schmeichel,,"£ 130,000","£ 6,760,000",GK,34,Starter,"Jun 30, 2023",3-yrs,"£ 23,415,103",Leicester,Premier League,2020-2021
2,James Maddison,,"£ 110,000","£ 5,720,000",AM,24,Starter,"Jun 30, 2024",4-yrs,"£ 26,417,040",Leicester,Premier League,2020-2021
3,Jonny Evans,,"£ 80,000","£ 4,160,000",CB,33,Starter,"Jun 30, 2023",3-yrs,"£ 14,409,294",Leicester,Premier League,2020-2021
4,Cengiz Ünder,,"£ 77,500","£ 4,030,000",RW,23,Reserve,"Jun 30, 2021",1-yr,"£ 4,653,001",Leicester,Premier League,2020-2021
5,Dennis Praet,,"£ 75,000","£ 3,900,000",CM,26,Starter,"Jun 30, 2024",4-yrs,"£ 18,011,618",Leicester,Premier League,2020-2021
6,Wilfred Ndidi,,"£ 75,000","£ 3,900,000",DM,24,Reserve,"Jun 30, 2024",4-yrs,"£ 18,011,618",Leicester,Premier League,2020-2021
7,Ricardo Pereira,,"£ 70,000","£ 3,640,000",RB,27,Reserve,"Jun 30, 2023",3-yrs,"£ 12,608,133",Leicester,Premier League,2020-2021
8,Timothy Castagne,,"£ 63,000","£ 3,276,000",RB,25,Reserve,"Jun 30, 2025",5-yrs,"£ 18,912,199",Leicester,Premier League,2020-2021
9,Kelechi Iheanacho,,"£ 60,000","£ 3,120,000",CF,24,Reserve,"Jun 30, 2024",4-yrs,"£ 14,409,294",Leicester,Premier League,2020-2021
10,Wes Morgan,,"£ 60,000","£ 3,120,000",CB,37,Reserve,"Jun 30, 2021",1-yr,"£ 3,602,324",Leicester,Premier League,2020-2021
11,Nampalys Mendy,,"£ 50,000","£ 2,600,000",DM,28,Starter,"Jun 30, 2023",3-yrs,"£ 9,005,809",Leicester,Premier League,2020-2021
12,Christian Fuchs,,"£ 50,000","£ 2,600,000",LB,34,Starter,"Jun 30, 2021",1-yr,"£ 3,001,936",Leicester,Premier League,2020-2021
13,Ayoze Pérez,,"£ 45,000","£ 2,340,000",SS,27,Reserve,"Jun 30, 2023",3-yrs,"£ 8,105,228",Leicester,Premier League,2020-2021
14,Caglar Söyüncü,,"£ 45,000","£ 2,340,000",CB,24,Reserve,"Jun 30, 2023",3-yrs,"£ 8,105,228",Leicester,Premier League,2020-2021
15,Marc Albrighton,,"£ 45,000","£ 2,340,000",RM,31,Starter,"Jun 30, 2022",2-yrs,"£ 5,403,485",Leicester,Premier League,2020-2021
16,Youri Tielemans,,"£ 33,077","£ 1,720,000",CM,23,Starter,"Jun 30, 2023",3-yrs,"£ 5,957,689",Leicester,Premier League,2020-2021
17,James Justin,,"£ 30,000","£ 1,560,000",RB,22,Reserve,"Jun 30, 2024",4-yrs,"£ 7,204,647",Leicester,Premier League,2020-2021
18,Eldin Jakupovic,,"£ 23,077","£ 1,200,000",GK,36,Reserve,"Jun 30, 2021",1-yr,"£ 1,385,509",Leicester,Premier League,2020-2021
19,Daniel Amartey,,"£ 20,962","£ 1,090,000",DM,26,Reserve,"Jun 30, 2022",2-yrs,"£ 2,517,008",Leicester,Premier League,2020-2021
20,Danny Ward,,"£ 20,000","£ 1,040,000",GK,27,Reserve,"Jun 30, 2025",5-yrs,"£ 6,003,873",Leicester,Premier League,2020-2021
21,Luke Thomas,,"£ 11,538","£ 600,000",LB,19,Starter,"Jun 30, 2024",4-yrs,"£ 2,771,018",Leicester,Premier League,2020-2021
22,Harvey Barnes,,"£ 10,000","£ 520,000",LM,23,Reserve,"Jun 30, 2024",4-yrs,"£ 2,401,549",Leicester,Premier League,2020-2021
23,Hamza Choudhury,,"£ 7,500","£ 390,000",DM,23,Reserve,"Jun 30, 2023",3-yrs,"£ 1,350,871",Leicester,Premier League,2020-2021
24,Wesley Fofana,,"£ 5,250","£ 273,000",CB,20,Starter,"Jun 30, 2025",5-yrs,"£ 1,576,017",Leicester,Premier League,2020-2021
