,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Yerry Mina,,"£ 120,000","£ 6,240,000",CB,26,Starter,"Jun 30, 2023",3-yrs,"£ 21,613,942",Everton,Premier League,2020-2021
1,Bernard,,"£ 120,000","£ 6,240,000",LW,28,Reserve,"Jun 30, 2022",2-yrs,"£ 14,409,294",Everton,Premier League,2020-2021
2,Lucas Digne,,"£ 119,000","£ 6,188,000",LB,27,Starter,"Jun 30, 2025",5-yrs,"£ 35,723,042",Everton,Premier League,2020-2021
3,André Gomes,,"£ 112,308","£ 5,840,000",CM,27,Starter,"Jun 30, 2024",4-yrs,"£ 26,971,243",Everton,Premier League,2020-2021
4,Gylfi Sigurdsson,,"£ 100,000","£ 5,200,000",AM,31,Reserve,"Jun 30, 2022",2-yrs,"£ 12,007,745",Everton,Premier League,2020-2021
5,Jordan Pickford,,"£ 100,000","£ 5,200,000",GK,26,Starter,"Jun 30, 2024",4-yrs,"£ 24,015,491",Everton,Premier League,2020-2021
6,Richarlison,,"£ 90,000","£ 4,680,000",LW,23,Starter,"Jun 30, 2024",4-yrs,"£ 21,613,942",Everton,Premier League,2020-2021
7,James Rodríguez,,"£ 90,000","£ 4,680,000",AM,29,Starter,"Jun 30, 2022",2-yrs,"£ 10,806,971",Everton,Premier League,2020-2021
8,Abdoulaye Doucouré,,"£ 82,500","£ 4,290,000",CM,28,Starter,"Jun 30, 2023",3-yrs,"£ 14,859,585",Everton,Premier League,2020-2021
9,Fabian Delph,,"£ 80,000","£ 4,160,000",CM,31,Reserve,"Jun 30, 2022",2-yrs,"£ 9,606,196",Everton,Premier League,2020-2021
10,Jean-Philippe Gbamin,,"£ 75,000","£ 3,900,000",DM,25,Reserve,"Jun 30, 2024",4-yrs,"£ 18,011,618",Everton,Premier League,2020-2021
11,Seamus Coleman,,"£ 70,000","£ 3,640,000",RB,32,Starter,"Jun 30, 2022",2-yrs,"£ 8,405,422",Everton,Premier League,2020-2021
12,Allan,,"£ 70,000","£ 3,640,000",CM,30,Starter,"Jun 30, 2023",3-yrs,"£ 12,608,133",Everton,Premier League,2020-2021
13,Michael Keane,,"£ 65,000","£ 3,380,000",CB,28,Starter,"Jun 30, 2025",5-yrs,"£ 19,512,586",Everton,Premier League,2020-2021
14,Alex Iwobi,,"£ 50,000","£ 2,600,000",LW,24,Reserve,"Jun 30, 2024",4-yrs,"£ 12,007,745",Everton,Premier League,2020-2021
15,Joshua King,,"£ 45,000","£ 2,340,000",SS,29,Reserve,"Jun 30, 2021",1-yr,"£ 2,701,743",Everton,Premier League,2020-2021
16,Mason Holgate,,"£ 25,000","£ 1,300,000",CB,24,Reserve,"Jun 30, 2025",5-yrs,"£ 7,504,841",Everton,Premier League,2020-2021
17,Tom Davies,,"£ 25,000","£ 1,300,000",CM,22,Reserve,"Jun 30, 2023",3-yrs,"£ 4,502,905",Everton,Premier League,2020-2021
18,Dominic Calvert-Lewin,,"£ 20,000","£ 1,040,000",CF,23,Starter,"Jun 30, 2025",5-yrs,"£ 6,003,873",Everton,Premier League,2020-2021
19,Robin Olsen,,"£ 15,250","£ 793,000",GK,31,Reserve,"Jun 30, 2021",1-yr,"£ 915,591",Everton,Premier League,2020-2021
20,Beni Baningime,,"£ 8,077","£ 420,000",CM,22,Reserve,"Jun 30, 2022",2-yrs,"£ 969,856",Everton,Premier League,2020-2021
21,João Virgínia,,"£ 7,500","£ 390,000",GK,21,Reserve,"Jun 30, 2024",4-yrs,"£ 1,801,162",Everton,Premier League,2020-2021
22,Ben Godfrey,,"£ 5,000","£ 260,000",CB,23,Reserve,"Jun 30, 2025",5-yrs,"£ 1,500,968",Everton,Premier League,2020-2021
23,Niels Nkounkou,,"£ 4,500","£ 234,000",LB,20,Reserve,"Jun 30, 2023",3-yrs,"£ 810,523",Everton,Premier League,2020-2021
