,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Kieran Gibbs,,"£ 55,000","£ 2,860,000",LB,31,Reserve,"Jun 30, 2021",1-yr,"£ 3,302,130",West Bromwich,Premier League,2020-2021
1,Jake Livermore,,"£ 46,000","£ 2,392,000",DM,31,Reserve,"Jun 30, 2022",2-yrs,"£ 5,523,563",West Bromwich,Premier League,2020-2021
2,Robert Snodgrass,,"£ 40,000","£ 2,080,000",RW,33,Starter,"Jun 30, 2022",2-yrs,"£ 4,803,098",West Bromwich,Premier League,2020-2021
3,Branislav Ivanovic,,"£ 38,462","£ 2,000,000",CB,36,Reserve,"Jun 30, 2021",1-yr,"£ 2,309,182",West Bromwich,Premier League,2020-2021
4,Ainsley Maitland-Niles,,"£ 35,000","£ 1,820,000",RM,23,Starter,"Jun 30, 2021",1-yr,"£ 2,101,355",West Bromwich,Premier League,2020-2021
5,Sam Johnstone,,"£ 32,500","£ 1,690,000",GK,27,Starter,"Jun 30, 2022",2-yrs,"£ 3,902,517",West Bromwich,Premier League,2020-2021
6,Hal Robson-Kanu,,"£ 30,000","£ 1,560,000",CF,31,Reserve,"Jun 30, 2021",1-yr,"£ 1,801,162",West Bromwich,Premier League,2020-2021
7,Okay Yokuslu,,"£ 29,615","£ 1,540,000",DM,26,Reserve,"Jun 30, 2021",1-yr,"£ 1,778,070",West Bromwich,Premier League,2020-2021
8,Kamil Grosicki,,"£ 25,000","£ 1,300,000",LW,32,Reserve,"Jun 30, 2021",1-yr,"£ 1,500,968",West Bromwich,Premier League,2020-2021
9,Mbaye Diagne,,"£ 22,692","£ 1,180,000",CF,29,Starter,"Jun 30, 2021",1-yr,"£ 1,362,417",West Bromwich,Premier League,2020-2021
10,Kenneth Zohore,,"£ 22,500","£ 1,170,000",CF,27,Reserve,"Jun 30, 2023",3-yrs,"£ 4,052,614",West Bromwich,Premier League,2020-2021
11,Grady Diangana,,"£ 20,350","£ 1,058,200",LW,22,Reserve,"Jun 30, 2025",5-yrs,"£ 6,108,940",West Bromwich,Premier League,2020-2021
12,Karlan Grant,,"£ 20,000","£ 1,040,000",CF,23,Starter,"Jun 30, 2026",6-yrs,"£ 7,204,647",West Bromwich,Premier League,2020-2021
13,Matt Phillips,,"£ 20,000","£ 1,040,000",RW,29,Reserve,"Jun 30, 2022",2-yrs,"£ 2,401,549",West Bromwich,Premier League,2020-2021
14,Darnell Furlong,,"£ 18,500","£ 962,000",RB,25,Reserve,"Jun 30, 2023",3-yrs,"£ 3,332,149",West Bromwich,Premier League,2020-2021
15,Semi Ajayi,,"£ 16,500","£ 858,000",CB,27,Starter,"Jun 30, 2023",3-yrs,"£ 2,971,917",West Bromwich,Premier League,2020-2021
16,Kyle Bartley,,"£ 13,500","£ 702,000",CB,29,Starter,"Jun 30, 2021",1-yr,"£ 810,523",West Bromwich,Premier League,2020-2021
17,Lee Peltier,,"£ 13,500","£ 702,000",RB,34,Starter,"Jun 30, 2021",1-yr,"£ 810,523",West Bromwich,Premier League,2020-2021
18,Romaine Sawyers,,"£ 12,500","£ 650,000",AM,29,Starter,"Jun 30, 2022",2-yrs,"£ 1,500,968",West Bromwich,Premier League,2020-2021
19,Conor Townsend,,"£ 11,500","£ 598,000",LB,27,Starter,"Jun 30, 2021",1-yr,"£ 690,445",West Bromwich,Premier League,2020-2021
20,Callum Robinson,,"£ 7,692","£ 400,000",CF,26,Reserve,"Jun 30, 2025",5-yrs,"£ 2,309,182",West Bromwich,Premier League,2020-2021
21,Matheus Pereira,,"£ 6,000","£ 312,000",RW,24,Reserve,"Jun 30, 2024",4-yrs,"£ 1,440,929",West Bromwich,Premier League,2020-2021
22,Conor Gallagher,,"£ 5,000","£ 260,000",CM,20,Starter,"May 31, 2025",1-yr,"£ 300,194",West Bromwich,Premier League,2020-2021
23,David Button,,"£ 4,385","£ 228,000",GK,31,Reserve,"Jun 30, 2022",2-yrs,"£ 526,493",West Bromwich,Premier League,2020-2021
24,Andy Lonergan,,"£ 4,038","£ 210,000",GK,37,Reserve,"Jun 30, 2021",1-yr,"£ 242,464",West Bromwich,Premier League,2020-2021
25,Dara O'Shea,,"£ 4,000","£ 208,000",CB,21,Reserve,"Jun 30, 2023",3-yrs,"£ 720,465",West Bromwich,Premier League,2020-2021
26,Kyle Edwards,,"£ 1,500","£ 78,000",LM,22,Reserve,"Jun 30, 2021",1-yr,"£ 90,058",West Bromwich,Premier League,2020-2021
