,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Ben Mee,,"£ 55,000","£ 2,860,000",CB,31,Reserve,"Jun 30, 2022",2-yrs,"£ 6,604,260",Burnley,Premier League,2020-2021
1,James Tarkowski,,"£ 50,000","£ 2,600,000",CB,28,Starter,"Jun 30, 2022",2-yrs,"£ 6,003,873",Burnley,Premier League,2020-2021
2,Chris Wood,,"£ 50,000","£ 2,600,000",CF,29,Starter,"Jun 30, 2023",3-yrs,"£ 9,005,809",Burnley,Premier League,2020-2021
3,Josh Brownhill,,"£ 40,000","£ 2,080,000",CM,25,Starter,"Jun 30, 2024",4-yrs,"£ 9,606,196",Burnley,Premier League,2020-2021
4,Ashley Barnes,,"£ 40,000","£ 2,080,000",CF,31,Starter,"Jun 30, 2022",2-yrs,"£ 4,803,098",Burnley,Premier League,2020-2021
5,Jack Cork,,"£ 38,077","£ 1,980,000",DM,31,Reserve,"Jun 30, 2022",2-yrs,"£ 4,572,180",Burnley,Premier League,2020-2021
6,Dale Stephens,,"£ 37,500","£ 1,950,000",CM,31,Reserve,"Jun 30, 2022",2-yrs,"£ 4,502,905",Burnley,Premier League,2020-2021
7,Ashley Westwood,,"£ 36,000","£ 1,872,000",DM,30,Starter,"Jun 30, 2023",3-yrs,"£ 6,484,182",Burnley,Premier League,2020-2021
8,Robbie Brady,,"£ 35,000","£ 1,820,000",LM,29,Starter,"Jun 30, 2021",1-yr,"£ 2,101,355",Burnley,Premier League,2020-2021
9,Nick Pope,,"£ 35,000","£ 1,820,000",GK,28,Starter,"Jun 30, 2023",3-yrs,"£ 6,304,066",Burnley,Premier League,2020-2021
10,Jóhann Berg Gudmundsson,,"£ 30,000","£ 1,560,000",RW,30,Reserve,"Jun 30, 2021",1-yr,"£ 1,801,162",Burnley,Premier League,2020-2021
11,Erik Pieters,,"£ 25,000","£ 1,300,000",LB,32,Reserve,"Jun 30, 2021",1-yr,"£ 1,500,968",Burnley,Premier League,2020-2021
12,Charlie Taylor,,"£ 25,000","£ 1,300,000",LB,27,Starter,"Jun 30, 2024",4-yrs,"£ 6,003,873",Burnley,Premier League,2020-2021
13,Matthew Lowton,,"£ 25,000","£ 1,300,000",RB,31,Starter,"Jun 30, 2021",1-yr,"£ 1,500,968",Burnley,Premier League,2020-2021
14,Phil Bardsley,,"£ 25,000","£ 1,300,000",RB,35,Reserve,"Jun 30, 2021",1-yr,"£ 1,500,968",Burnley,Premier League,2020-2021
15,Kevin Long,,"£ 23,077","£ 1,200,000",CB,30,Starter,"Jun 30, 2021",1-yr,"£ 1,385,509",Burnley,Premier League,2020-2021
16,Bailey Peacock-Farrell,,"£ 22,500","£ 1,170,000",GK,24,Reserve,"Jun 30, 2024",4-yrs,"£ 5,403,485",Burnley,Premier League,2020-2021
17,Will Norris,,"£ 16,500","£ 858,000",GK,27,Reserve,"Jun 30, 2023",3-yrs,"£ 2,971,917",Burnley,Premier League,2020-2021
18,Dwight McNeil,,"£ 5,000","£ 260,000",LW,21,Starter,"Jun 30, 2024",4-yrs,"£ 1,200,775",Burnley,Premier League,2020-2021
19,Mace Goodridge,,"£ 4,500","£ 234,000",CM,21,Reserve,"Jun 30, 2021",1-yr,"£ 270,174",Burnley,Premier League,2020-2021
20,Jimmy Dunne,,"£ 3,000","£ 156,000",CB,23,Reserve,"Jun 30, 2021",1-yr,"£ 180,116",Burnley,Premier League,2020-2021
21,Lukas Jensen,,"£ 1,250","£ 65,000",GK,21,Reserve,"May 31, 2021",1-yr,"£ 75,048",Burnley,Premier League,2020-2021
22,Richard Nartey,,"£ 1,250","£ 65,000",CB,22,Reserve,"Jun 30, 2021",1-yr,"£ 75,048",Burnley,Premier League,2020-2021
