,Player,,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN GBP),Team,League,Season
0,Thiago,,"£ 200,000","£ 10,400,000",CM,29,Reserve,"Jun 30, 2024",4-yrs,"£ 48,030,981",Liverpool,Premier League,2020-2021
1,Mohamed Salah,,"£ 200,000","£ 10,400,000",RW,28,Starter,"Jun 30, 2023",3-yrs,"£ 36,023,236",Liverpool,Premier League,2020-2021
2,Roberto Firmino,,"£ 180,000","£ 9,360,000",CF,29,Starter,"Jun 30, 2023",3-yrs,"£ 32,420,912",Liverpool,Premier League,2020-2021
3,Virgil van Dijk,,"£ 180,000","£ 9,360,000",CB,29,Starter,"Jun 30, 2023",3-yrs,"£ 32,420,912",Liverpool,Premier League,2020-2021
4,Jordan Henderson,,"£ 140,000","£ 7,280,000",CM,30,Starter,"Jun 30, 2023",3-yrs,"£ 25,216,265",Liverpool,Premier League,2020-2021
5,James Milner,,"£ 140,000","£ 7,280,000",CM,35,Reserve,"Jun 30, 2022",2-yrs,"£ 16,810,844",Liverpool,Premier League,2020-2021
6,Alex Oxlade-Chamberlain,,"£ 120,000","£ 6,240,000",CM,27,Reserve,"Jun 30, 2023",3-yrs,"£ 21,613,942",Liverpool,Premier League,2020-2021
7,Naby Keïta,,"£ 120,000","£ 6,240,000",CM,25,Starter,"Jun 30, 2023",3-yrs,"£ 21,613,942",Liverpool,Premier League,2020-2021
8,Fabinho,,"£ 100,000","£ 5,200,000",DM,27,Reserve,"Jun 30, 2023",3-yrs,"£ 18,011,618",Liverpool,Premier League,2020-2021
9,Joel Matip,,"£ 100,000","£ 5,200,000",CB,29,Reserve,"Jun 30, 2024",4-yrs,"£ 24,015,491",Liverpool,Premier League,2020-2021
10,Sadio Mané,,"£ 100,000","£ 5,200,000",LW,28,Starter,"Jun 30, 2023",3-yrs,"£ 18,011,618",Liverpool,Premier League,2020-2021
11,Alisson,,"£ 90,000","£ 4,680,000",GK,28,Starter,"Jun 30, 2024",4-yrs,"£ 21,613,942",Liverpool,Premier League,2020-2021
12,Diogo Jota,,"£ 90,000","£ 4,680,000",LW,24,Reserve,"Jun 30, 2025",5-yrs,"£ 27,017,427",Liverpool,Premier League,2020-2021
13,Xherdan Shaqiri,,"£ 80,000","£ 4,160,000",RW,29,Reserve,"Jun 30, 2023",3-yrs,"£ 14,409,294",Liverpool,Premier League,2020-2021
14,Georginio Wijnaldum,,"£ 75,000","£ 3,900,000",CM,30,Starter,"Jun 30, 2021",1-yr,"£ 4,502,905",Liverpool,Premier League,2020-2021
15,Ozan Kabak,,"£ 65,000","£ 3,380,000",CB,20,Reserve,"Jun 30, 2021",1-yr,"£ 3,902,517",Liverpool,Premier League,2020-2021
16,Nathaniel Phillips,,"£ 64,615","£ 3,360,000",CB,23,Reserve,"Jun 30, 2021",1-yr,"£ 3,879,425",Liverpool,Premier League,2020-2021
17,Ben Davies,,"£ 60,000","£ 3,120,000",CB,25,Reserve,"Jun 30, 2021",1-yr,"£ 3,602,324",Liverpool,Premier League,2020-2021
18,Konstantinos Tsimikas,,"£ 60,000","£ 3,120,000",LB,24,Reserve,"Jun 30, 2025",5-yrs,"£ 18,011,618",Liverpool,Premier League,2020-2021
19,Adrián,,"£ 55,000","£ 2,860,000",GK,34,Reserve,"Jun 30, 2022",2-yrs,"£ 6,604,260",Liverpool,Premier League,2020-2021
20,Andrew Robertson,,"£ 50,000","£ 2,600,000",LB,26,Starter,"Jun 30, 2024",4-yrs,"£ 12,007,745",Liverpool,Premier League,2020-2021
21,Trent Alexander-Arnold,,"£ 40,000","£ 2,080,000",RB,22,Starter,"Jun 30, 2024",4-yrs,"£ 9,606,196",Liverpool,Premier League,2020-2021
22,Joe Gomez,,"£ 28,077","£ 1,460,000",CB,23,Starter,"Jun 30, 2024",4-yrs,"£ 6,742,811",Liverpool,Premier League,2020-2021
23,Neco Williams,,"£ 25,000","£ 1,300,000",RB,19,Reserve,"Jun 30, 2025",5-yrs,"£ 7,504,841",Liverpool,Premier League,2020-2021
24,Ben Woodburn,,"£ 11,923","£ 620,000",AM,21,Reserve,"Jun 30, 2022",2-yrs,"£ 1,431,693",Liverpool,Premier League,2020-2021
25,Curtis Jones,,"£ 7,500","£ 390,000",CM,20,Reserve,"Jun 30, 2025",5-yrs,"£ 2,251,452",Liverpool,Premier League,2020-2021
26,Caoimhin Kelleher,,"£ 5,962","£ 310,000",GK,22,Reserve,"Jun 30, 2026",6-yrs,"£ 2,147,539",Liverpool,Premier League,2020-2021
27,Rhys Williams,,"£ 1,538","£ 80,000",CB,19,Reserve,"Jun 30, 2021",1-yr,"£ 92,367",Liverpool,Premier League,2020-2021
