Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,25,2184,24.3,5,1,5,0,0,7,0,0.21,0.04,0.25,0.21,0.25,3.4,3.4,1.8,5.2,0.14,0.07,0.21,0.14,0.21,Matches,33,11,33.3,1.36,0.45,0.15,0.45,22.3,4,0.10,+1.6,+1.6,886,1156,76.6,15726,7219,400,437,91.5,389,489,79.6,81,179,45.3,-0.8,17,66,25,6,97,885,271,1,120,28,42,11,2,7,0,664,232,260,731,163,23,233,4,3,18,35,32,41,1.69,22,11,5,1,1,3,0.12,2,0,1,0,0,0,55,35,39,14,2,27,58.7,19,90,34.1,138,95,31,0,30,100,69,2,1430,98,36,63.6,23,0,774,9,20,19,781,706,90.4,48,78,63.9,,21,3,,8,1.21,31,38,-7,-0.29,-0.07,32.4,35.2,-2.7,-0.11,-0.71,0,18,0,0,0,213,7,10,41.2,Big-5-European-Leagues,Big5,2017-2018
2,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,it Serie A,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.04,0.04,0.08,0.04,0.08,Matches,3,0,0.0,0.52,0.00,0.00,,15.7,0,0.07,-0.2,-0.2,81,115,70.4,1095,304,50,63,79.4,22,34,64.7,3,8,37.5,-0.2,3,5,6,1,9,106,9,0,32,4,6,0,0,0,0,76,19,20,79,26,2,2,0,0,9,1,7,3,0.52,3,0,0,0,0,0,0.00,0,0,0,0,0,0,5,4,3,1,1,2,50.0,2,9,23.1,15,16,8,0,3,7,0,0,173,2,7,50.0,11,0,136,1,10,15,212,126,59.4,31,47,15.1,,1,5,,4,0.55,2,12,-10,-1.74,-0.56,2.8,11.7,-8.9,-1.54,-0.53,0,8,0,0,0,22,7,15,31.8,Big-5-European-Leagues,Big5,2017-2018
3,Rolando Aarons,eng ENG,"FW,MF",Newcastle Utd,eng Premier League,21,1995,4,1,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.10,0.00,0.10,0.10,0.10,Matches,2,0,0.0,1.29,0.00,0.00,,20.6,0,0.08,-0.2,-0.2,30,43,69.8,411,98,22,26,84.6,6,9,66.7,2,4,50.0,0.0,0,0,1,1,0,42,1,0,9,2,3,0,0,0,0,31,11,1,28,10,3,0,0,1,1,2,3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,12,9,4,5,3,1,20.0,4,32,27.4,23,60,34,0,4,13,0,0,67,0,5,75.0,3,1,45,0,5,5,62,39,62.9,4,35,4.1,,0,3,,7,0.25,1,2,-1,-0.65,-0.46,0.5,2.6,-2.2,-1.39,-1.23,0,1,0,0,0,13,2,3,40.0,Big-5-European-Leagues,Big5,2017-2018
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,17,11,1057,11.7,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.6,0.9,0.02,0.05,0.07,0.02,0.07,Matches,4,2,50.0,0.34,0.17,0.25,0.50,17.9,0,0.07,+0.7,+0.7,625,774,80.7,11501,4742,255,280,91.1,294,337,87.2,69,133,51.9,-0.6,11,58,20,8,62,659,115,0,122,16,26,2,0,0,1,466,119,189,65,584,16,104,0,4,14,9,26,26,2.21,22,2,0,0,0,4,0.34,3,0,0,1,0,0,21,15,12,8,1,11,61.1,7,46,32.6,53,58,30,0,27,25,17,0,870,40,12,20.0,2,0,552,1,3,6,605,565,93.4,22,62,30.9,,7,6,,15,1.71,17,10,+7,+0.60,+0.33,14.2,11.3,+2.9,+0.24,-0.21,0,11,0,0,0,106,5,4,55.6,Big-5-European-Leagues,Big5,2017-2018
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,6,500,5.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,2,1,50.0,0.36,0.18,0.00,0.00,11.3,0,0.04,-0.1,-0.1,304,336,90.5,6306,1794,90,99,90.9,166,174,95.4,45,56,80.4,0.0,0,11,0,0,7,335,1,0,38,9,0,0,0,0,0,285,24,27,294,20,17,0,2,1,6,2,4,1,0.18,1,0,0,0,0,0,0.00,0,0,0,0,0,0,6,6,5,1,0,4,57.1,3,8,34.8,17,6,0,0,3,8,8,1,359,34,2,100.0,1,0,269,0,0,0,267,259,97.0,0,63,14.6,,4,2,,18,2.38,10,4,+6,+1.08,+0.25,11.1,4.2,+6.9,+1.24,+0.54,0,7,0,0,0,57,3,0,100.0,Big-5-European-Leagues,Big5,2017-2018
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,1,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.20,0.20,0.00,0.20,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,29,38,76.3,521,188,15,16,93.8,10,11,90.9,4,9,44.4,-0.2,2,0,2,1,2,31,7,0,1,0,2,0,0,0,0,20,10,8,20,10,1,7,0,0,1,1,2,3,3.51,3,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,1,2,0,1,100.0,0,4,44.4,7,2,0,0,2,4,2,0,46,3,0,,0,0,25,0,1,0,21,20,95.2,1,76,2.2,,0,0,,1,0.00,0,3,-3,-3.55,-3.26,0.6,1.3,-0.7,-0.78,-0.31,0,1,0,0,0,8,0,2,0.0,Big-5-European-Leagues,Big5,2017-2018
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,14,1176,13.1,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,1.0,1.0,0.2,1.2,0.08,0.02,0.09,0.08,0.09,Matches,21,6,28.6,1.61,0.46,0.00,0.00,24.7,2,0.05,-1.0,-1.0,519,611,84.9,10250,2390,177,196,90.3,250,281,89.0,81,109,74.3,+0.8,6,48,2,0,47,598,13,0,78,20,7,1,0,0,0,494,45,72,47,520,36,4,1,1,16,15,10,15,1.15,11,1,0,0,1,1,0.08,1,0,0,0,0,0,21,14,11,9,1,4,17.4,19,68,33.0,63,120,23,0,19,36,14,0,762,30,16,50.0,13,1,551,1,14,17,537,493,91.8,29,62,34.4,,9,5,,1,1.58,18,25,-7,-0.54,-0.09,14.2,22.4,-8.2,-0.63,+0.10,0,27,0,0,0,142,3,5,37.5,Big-5-European-Leagues,Big5,2017-2018
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,27,2302,25.6,0,2,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.4,0.8,0.02,0.01,0.03,0.02,0.03,Matches,12,1,8.3,0.47,0.04,0.00,0.00,13.6,0,0.04,-0.5,-0.5,1081,1313,82.3,25128,7959,241,275,87.6,588,655,89.8,243,369,65.9,+1.6,6,66,3,2,91,1274,39,1,147,68,6,0,0,0,0,823,165,325,208,923,135,7,2,4,29,10,10,16,0.63,12,1,0,0,0,2,0.08,1,0,0,1,0,0,43,28,31,11,1,24,58.5,17,74,33.5,148,66,7,0,23,66,130,1,1561,151,13,92.9,13,0,955,0,5,6,903,890,98.6,6,85,75.2,,25,0,,1,1.41,30,31,-1,-0.04,-0.16,31.7,29.4,+2.4,+0.09,+0.22,0,11,0,0,1,378,62,26,70.5,Big-5-European-Leagues,Big5,2017-2018
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,31,15,1726,19.2,5,1,5,0,0,0,0,0.26,0.05,0.31,0.26,0.31,6.7,6.7,1.0,7.7,0.35,0.05,0.40,0.35,0.40,Matches,42,13,31.0,2.19,0.68,0.12,0.38,12.3,0,0.16,-1.7,-1.7,217,305,71.1,3217,700,122,154,79.2,63,91,69.2,18,30,60.0,0.0,9,14,10,5,22,275,30,1,117,5,14,0,0,0,0,198,68,39,26,223,13,1,8,0,6,13,11,35,1.83,17,0,11,3,1,2,0.10,1,0,0,1,0,0,14,6,2,8,4,2,16.7,10,72,28.7,15,114,122,0,8,19,10,0,557,12,72,50.0,32,1,370,5,58,45,833,406,48.7,128,56,50.5,,9,16,,2,0.81,15,31,-16,-0.83,-0.20,15.8,31.9,-16.0,-0.84,-0.14,0,15,0,0,0,67,53,87,37.9,Big-5-European-Leagues,Big5,2017-2018
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,11,850,9.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.02,0.06,0.08,0.02,0.08,Matches,5,0,0.0,0.53,0.00,0.00,,20.9,0,0.04,-0.2,-0.2,260,335,77.6,4482,1183,124,157,79.0,104,124,83.9,26,42,61.9,-0.5,4,20,4,1,30,329,6,0,85,9,4,0,0,0,0,205,52,78,18,272,28,1,1,0,9,8,8,12,1.27,10,0,0,2,0,1,0.11,1,0,0,0,0,0,37,26,14,22,1,11,52.4,10,57,26.5,71,118,26,0,15,48,19,2,471,28,9,45.5,7,0,277,1,9,14,266,230,86.5,19,71,27.8,,8,1,,3,1.00,8,11,-3,-0.32,+0.54,7.4,11.0,-3.6,-0.38,-0.15,0,20,0,0,0,137,21,19,52.5,Big-5-European-Leagues,Big5,2017-2018
