player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,2.0,1.0,90.0,2.0,2.0,7.0,5.0,0.714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1,0.3,0.1,0.12,4.0,16.0,25.0,14.0,3.0,57.1,40.9,10.0,80.0,55.4,9.0,0.0,0.0,0.0,0.0,15.3
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,23,1995,25.0,25.0,2250.0,44.0,1.76,96.0,55.0,0.563,7.0,5.0,13.0,5.0,20.0,2.0,2.0,0.0,0.0,25.0,2.0,5.0,0.0,34.7,0.34,-8.3,-0.33,185.0,415.0,44.6,628.0,105.0,41.7,37.8,203.0,75.4,56.3,201.0,17.0,8.5,19.0,0.76,15.4
Alisson,br BRA,GK,Liverpool,25,1992,38.0,38.0,3420.0,22.0,0.58,96.0,74.0,0.771,30.0,7.0,1.0,21.0,55.3,1.0,0.0,0.0,1.0,38.0,0.0,5.0,0.0,26.8,0.28,4.8,0.13,196.0,394.0,49.7,1054.0,197.0,27.0,32.4,208.0,52.4,46.3,278.0,22.0,7.9,37.0,0.97,16.6
Bobby Allain,fr FRA,GK,Dijon,26,1991,13.0,13.0,1170.0,17.0,1.31,74.0,58.0,0.784,2.0,2.0,9.0,1.0,7.7,1.0,1.0,0.0,0.0,13.0,0.0,2.0,1.0,19.1,0.26,3.1,0.24,140.0,302.0,46.4,340.0,70.0,58.2,44.9,126.0,82.5,57.7,143.0,24.0,16.8,11.0,0.85,15.8
Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13.0,13.0,1170.0,22.0,1.69,57.0,38.0,0.649,3.0,5.0,5.0,2.0,15.4,2.0,2.0,0.0,0.0,13.0,1.0,2.0,1.0,18.2,0.29,-2.8,-0.22,102.0,248.0,41.1,320.0,43.0,48.8,40.3,124.0,74.2,55.1,146.0,10.0,6.8,4.0,0.31,12.2
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11.0,11.0,990.0,11.0,1.0,33.0,22.0,0.667,3.0,2.0,6.0,2.0,18.2,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,10.1,0.31,-0.9,-0.08,84.0,150.0,56.0,285.0,33.0,35.1,34.3,77.0,64.9,46.5,122.0,13.0,10.7,12.0,1.09,17.6
Alphonse Areola,fr FRA,GK,Paris S-G,25,1993,21.0,21.0,1890.0,17.0,0.81,63.0,51.0,0.794,16.0,3.0,2.0,11.0,52.4,4.0,4.0,0.0,0.0,21.0,0.0,1.0,1.0,19.8,0.26,3.8,0.18,70.0,127.0,55.1,374.0,95.0,22.7,28.3,134.0,31.3,35.2,172.0,6.0,3.5,14.0,0.67,13.2
Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36.0,36.0,3240.0,39.0,1.08,117.0,78.0,0.675,20.0,8.0,8.0,14.0,38.9,2.0,1.0,1.0,0.0,36.0,0.0,6.0,0.0,37.6,0.31,-1.4,-0.04,175.0,313.0,55.9,888.0,164.0,22.4,29.0,248.0,46.0,41.4,250.0,19.0,7.6,23.0,0.64,15.9
Sergio Asenjo,es ESP,GK,Villarreal,29,1989,32.0,32.0,2880.0,45.0,1.41,164.0,124.0,0.738,7.0,12.0,13.0,9.0,28.1,4.0,2.0,1.0,1.0,32.0,2.0,4.0,3.0,46.2,0.27,4.2,0.13,187.0,460.0,40.7,554.0,128.0,50.9,42.7,251.0,70.9,55.4,388.0,39.0,10.1,21.0,0.66,14.7
Emil Audero,it ITA,GK,Sampdoria,21,1997,36.0,36.0,3240.0,51.0,1.42,142.0,98.0,0.69,14.0,7.0,15.0,11.0,30.6,8.0,7.0,1.0,0.0,36.0,2.0,6.0,1.0,51.3,0.32,1.3,0.04,144.0,428.0,33.6,863.0,186.0,32.1,31.8,295.0,51.2,41.9,389.0,33.0,8.5,25.0,0.69,15.0
