club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Bayern Munich,Valérien Ismaël,29,Centre-Back,Werder Bremen,£7.65m,in,Summer,7.65,1 Bundesliga,2005,2005/2006
Bayern Munich,Ali Karimi,26,Attacking Midfield,Al-Ahli (UAE),Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Bayern Munich,Andreas Ottl,20,Defensive Midfield,FC Bayern II,-,in,Summer,0,1 Bundesliga,2005,2005/2006
Bayern Munich,Bernd Dreher,38,Goalkeeper,Career break,-,in,Summer,0,1 Bundesliga,2005,2005/2006
Bayern Munich,Philipp Lahm,21,Right-Back,VfB Stuttgart,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Bayern Munich,Torsten Frings,28,Defensive Midfield,Werder Bremen,£4.50m,out,Summer,4.5,1 Bundesliga,2005,2005/2006
Bayern Munich,Vahid Hashemian,28,Centre-Forward,Hannover 96,£1.17m,out,Summer,1.17,1 Bundesliga,2005,2005/2006
Bayern Munich,Tobias Rau,23,Left-Back,Arm. Bielefeld,£675Th.,out,Summer,0.675,1 Bundesliga,2005,2005/2006
Bayern Munich,Alexander Zickler,31,Centre-Forward,RB Salzburg,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Bayern Munich,Thomas Linke,35,Centre-Back,RB Salzburg,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Bayern Munich,Samuel Kuffour,28,Centre-Back,AS Roma,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Bayern Munich,Robert Kovac,31,Centre-Back,Juventus,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Ebi Smolarek,24,Centre-Forward,Feyenoord,£675Th.,in,Summer,0.675,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Delron Buckley,27,Left Winger,Arm. Bielefeld,£383Th.,in,Summer,0.383,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Dennis Gentenaar,29,Goalkeeper,NEC Nijmegen,£135Th.,in,Summer,0.135,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Philipp Degen,22,Right-Back,FC Basel,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Bernd Meier,33,Goalkeeper,LR Ahlen,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Cedric van der Gun,26,Centre-Forward,ADO Den Haag,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Nuri Sahin,16,Defensive Midfield,B. Dortmund U17,-,in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Nizamettin Caliskan,18,Central Midfield,B. Dortmund II,-,in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Sebastian Tyrala,17,Central Midfield,B. Dortmund U17,-,in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Sahr Senesie,20,Centre-Forward,Grasshoppers,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Ewerthon,24,Centre-Forward,Real Zaragoza,£3.15m,out,Summer,3.15,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Niclas Jensen,30,Left-Back,Fulham,£675Th.,out,Summer,0.675,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Guillaume Warmuz,35,Goalkeeper,Monaco,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Juan Fernández,25,Right-Back,San Lorenzo,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Malte Metzelder,23,Defensive Midfield,VfR Aalen,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Ahmed Madouni,24,Centre-Back,Bay. Leverkusen,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Otto Addo,30,Attacking Midfield,1.FSV Mainz 05,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Evanilson,29,Right-Back,Atlético-MG,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Guy Demel,24,Right-Back,Hamburger SV,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,André Bergdölmo,33,Centre-Back,FC Copenhagen,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Sunday Oliseh,30,Defensive Midfield,KRC Genk,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Sahr Senesie,20,Centre-Forward,TSG Hoffenheim,Loan,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Ebi Smolarek,24,Centre-Forward,Feyenoord,"End of loanJun 30, 2005",out,Summer,0,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Athirson,28,Left-Back,Cruzeiro,£738Th.,in,Summer,0.738,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Simon Rolfes,23,Defensive Midfield,Alem. Aachen,£675Th.,in,Summer,0.675,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Josip Tadic,17,Centre-Forward,NK Osijek,£315Th.,in,Summer,0.315,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Ahmed Madouni,24,Centre-Back,Bor. Dortmund,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Danko Lazovic,22,Second Striker,Feyenoord,Loan fee:£23Th.,in,Summer,0.023,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Pirmin Schwegler,18,Defensive Midfield,FC Luzern,?,in,Summer,NA,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Tranquillo Barnetta,20,Attacking Midfield,Hannover 96,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Du-ri Cha,24,Right-Back,E. Frankfurt,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Emanuel Pogatetz,22,Centre-Back,Grazer AK,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Jermaine Jones,23,Defensive Midfield,E. Frankfurt,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Emanuel Pogatetz,22,Centre-Back,Middlesbrough,£2.44m,out,Summer,2.44,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,França,29,Centre-Forward,Kashiwa Reysol,£2.25m,out,Summer,2.25,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Daniel Bierofka,26,Left Midfield,VfB Stuttgart,£540Th.,out,Summer,0.54,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Du-ri Cha,24,Right-Back,E. Frankfurt,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Jermaine Jones,23,Defensive Midfield,E. Frankfurt,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Diego Placente,28,Left-Back,Celta de Vigo,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Robson Ponté,28,Attacking Midfield,Urawa Reds,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Sezer Öztürk,19,Attacking Midfield,Germ. Beerschot,Loan,out,Summer,0,1 Bundesliga,2005,2005/2006
Bayer 04 Leverkusen,Pirmin Schwegler,18,Defensive Midfield,BSC Young Boys,Loan,out,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Kevin Kuranyi,23,Centre-Forward,VfB Stuttgart,£6.21m,in,Summer,6.21,1 Bundesliga,2005,2005/2006
FC Schalke 04,Rafinha,19,Right-Back,Coritiba FC,£4.50m,in,Summer,4.5,1 Bundesliga,2005,2005/2006
FC Schalke 04,Sören Larsen,23,Centre-Forward,Djurgarden,£2.07m,in,Summer,2.07,1 Bundesliga,2005,2005/2006
FC Schalke 04,Fabian Ernst,26,Defensive Midfield,Werder Bremen,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Zlatan Bajramovic,25,Defensive Midfield,SC Freiburg,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Manuel Neuer,19,Goalkeeper,Schalke 04 U19,-,in,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Niko Bungert,18,Centre-Back,Schalke 04 U19,-,in,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Simon Cziommer,24,Central Midfield,Twente FC,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Sérgio da Silva Pinto,24,Central Midfield,Alem. Aachen,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Mike Hanke,21,Centre-Forward,VfL Wolfsburg,£3.60m,out,Summer,3.6,1 Bundesliga,2005,2005/2006
FC Schalke 04,Aílton,32,Centre-Forward,Besiktas,£3.15m,out,Summer,3.15,1 Bundesliga,2005,2005/2006
FC Schalke 04,Sven Vermant,32,Central Midfield,Club Brugge,£225Th.,out,Summer,0.225,1 Bundesliga,2005,2005/2006
FC Schalke 04,Sérgio da Silva Pinto,24,Central Midfield,Alem. Aachen,£113Th.,out,Summer,0.113,1 Bundesliga,2005,2005/2006
FC Schalke 04,Michael Delura,20,Right Winger,Hannover 96,Loan fee:£90Th.,out,Summer,0.09,1 Bundesliga,2005,2005/2006
FC Schalke 04,Volkan Ünlü,22,Goalkeeper,Besiktas,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Kai Hesse,20,Centre-Forward,VfB Lübeck,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Niels Oude Kamphuis,27,Defensive Midfield,Bor. M'gladbach,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Fabian Lamotte,22,Right-Back,1860 Munich,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Sven Kmetsch,34,Defensive Midfield,Retired,-,out,Summer,0,1 Bundesliga,2005,2005/2006
FC Schalke 04,Christian Petereit,21,Centre-Back,Schalke 04 II,-,out,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Giannis Amanatidis,23,Centre-Forward,1.FC K'lautern,£1.62m,in,Summer,1.62,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Benjamin Huggel,27,Defensive Midfield,FC Basel,£720Th.,in,Summer,0.72,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Alexander Meier,22,Second Striker,Hamburger SV,£585Th.,in,Summer,0.585,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Christoph Preuß,23,Defensive Midfield,VfL Bochum,£450Th.,in,Summer,0.45,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Christoph Spycher,27,Left-Back,Grasshoppers,£248Th.,in,Summer,0.248,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Du-ri Cha,24,Right-Back,Bay. Leverkusen,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Marko Rehmer,33,Right-Back,Hertha BSC,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Francisco Copado,30,Second Striker,Unterhaching,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Jermaine Jones,23,Defensive Midfield,Bay. Leverkusen,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Mounir Chaftar,19,Left-Back,Frankfurt U19,-,in,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Jan Zimmermann,20,Goalkeeper,E. Frankfurt II,-,in,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Nico Frommer,27,Centre-Forward,RW Oberhausen,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Torben Hoffmann,30,Centre-Back,1860 Munich,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Markus Beierle,33,Centre-Forward,SV Darmstadt 98,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Mehmet Dragusha,27,Left Midfield,SC Paderborn,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Andreas Menger,32,Goalkeeper,Retired,-,out,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Jens Keller,34,Centre-Back,Career break,-,out,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Alexander Meier,22,Second Striker,Hamburger SV,"End of loanJun 30, 2005",out,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Du-ri Cha,24,Right-Back,Bay. Leverkusen,"End of loanJun 30, 2005",out,Summer,0,1 Bundesliga,2005,2005/2006
Eintracht Frankfurt,Jermaine Jones,23,Defensive Midfield,Bay. Leverkusen,"End of loanJun 30, 2005",out,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Rafael van der Vaart,22,Attacking Midfield,Ajax,£4.59m,in,Summer,4.59,1 Bundesliga,2005,2005/2006
Hamburger SV,Thimothée Atouba,23,Left-Back,Spurs,£2.25m,in,Summer,2.25,1 Bundesliga,2005,2005/2006
Hamburger SV,Mario Fillinger,20,Left Midfield,Chemnitzer FC,£90Th.,in,Summer,0.09,1 Bundesliga,2005,2005/2006
Hamburger SV,Reto Ziegler,19,Centre-Back,Spurs,Loan fee:£90Th.,in,Summer,0.09,1 Bundesliga,2005,2005/2006
Hamburger SV,Daniel Ziebig,22,Left-Back,Dynamo Dresden,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Guy Demel,24,Right-Back,Bor. Dortmund,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Markus Karl,19,Defensive Midfield,Greuther Fürth,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Cristian Ledesma,26,Central Midfield,River Plate,"End of loanJul 5, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Charles Takyi,20,Attacking Midfield,Hamburger SV II,-,in,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Alexander Meier,22,Second Striker,E. Frankfurt,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Bernardo Romeo,27,Centre-Forward,RCD Mallorca,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Besart Berisha,19,Centre-Forward,Aalborg BK,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Bernardo Romeo,27,Centre-Forward,CA Osasuna,£900Th.,out,Summer,0.9,1 Bundesliga,2005,2005/2006
Hamburger SV,Alexander Meier,22,Second Striker,E. Frankfurt,£585Th.,out,Summer,0.585,1 Bundesliga,2005,2005/2006
Hamburger SV,Björn Schlicke,24,Centre-Back,1. FC Köln,£585Th.,out,Summer,0.585,1 Bundesliga,2005,2005/2006
Hamburger SV,Eren Sen,20,Centre-Forward,FC Thun,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Martin Pieckenhagen,33,Goalkeeper,Heracles Almelo,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Besart Berisha,20,Centre-Forward,AC Horsens,Loan,out,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Miso Brecko,21,Right-Back,Hansa Rostock,Loan,out,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Cristian Ledesma,26,Central Midfield,Racing Club,Loan,out,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Jean Carlos,21,Left-Back,Feyenoord,"End of loanJun 30, 2005",out,Summer,0,1 Bundesliga,2005,2005/2006
Hamburger SV,Almami Moreira,27,Attacking Midfield,Standard Liège,"End of loanJun 30, 2005",out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Wesley Sonck,26,Centre-Forward,Ajax,£2.25m,in,Summer,2.25,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Kahê,22,Centre-Forward,Palmeiras,£1.08m,in,Summer,1.08,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Kasper Bögelund,24,Right-Back,PSV Eindhoven,£900Th.,in,Summer,0.9,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Thomas Helveg,34,Right-Back,Norwich,£180Th.,in,Summer,0.18,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Krisztián Lisztes,28,Attacking Midfield,Werder Bremen,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Niels Oude Kamphuis,27,Defensive Midfield,FC Schalke 04,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Zé António,28,Centre-Back,Coimbra,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Hassan El Fakiri,28,Left-Back,Monaco,Free transfer,in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Marvin Compper,20,Centre-Back,M'gladbach II,-,in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Daniel Felgenhauer,29,Right Midfield,LR Ahlen,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Jan Schlaudraff,21,Second Striker,Alem. Aachen,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Enrico Gaede,23,Defensive Midfield,RW Essen,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Lawrence Aidoo,23,Centre-Back,1.FC Nuremberg,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Marek Heinz,28,Centre-Forward,Galatasaray,£2.03m,out,Summer,2.03,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Joris Van Hout,28,Centre-Back,VfL Bochum,£90Th.,out,Summer,0.09,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Nico Van Kerckhoven,34,Left-Back,KVC Westerlo,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Markus Hausweiler,29,Defensive Midfield,MSV Duisburg,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Igor Demo,29,Central Midfield,Grazer AK,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Bernd Korzynietz,25,Right-Back,Arm. Bielefeld,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Craig Moore,29,Centre-Back,Newcastle,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Daniel Felgenhauer,29,Right Midfield,Greuther Fürth,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Lawrence Aidoo,23,Centre-Back,Energie Cottbus,Free transfer,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Ivo Ulich,30,Central Midfield,Vissel Kobe,Loan,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Sead Ramovic,26,Goalkeeper,K. Offenbach,Loan,out,Summer,0,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Enrico Gaede,23,Defensive Midfield,Hansa Rostock,£45Th.,out,Summer,0.045,1 Bundesliga,2005,2005/2006
Borussia Mönchengladbach,Jan Schlaudraff,21,Second Striker,Alem. Aachen,?,out,Summer,NA,1 Bundesliga,2005,2005/2006
