season,competition_id,competition,player_id,name,team_id,team,age,nationality,height,weight,preferred_foot,position,detailed_position,goals,assists,position_am_perc,position_cb_perc,position_cf_perc,position_cm_perc,position_dm_perc,position_gk_perc,position_lb_perc,position_lw_perc,position_rb_perc,position_rw_perc,play_time,ball_in_play_time,shots,shots_open_play,shots_open_play_box,shots_op_left_foot,shots_op_right_foot,shots_op_head,crosses,crosses_open_play,crosses_op_successful,crosses_op_left,crosses_op_right,passes,passes_open_play,passes_op_successful,passes_op_head,passes_op_head_successful,passes_op_final_third,passes_op_final_third_successful,passes_op_box,passes_op_box_successful,launches,launches_successful,carries,carries_box,carry_distance,dribbles,dribbles_successful,dribbles_box,recoveries,tackles,interceptions,blocks,clearances,saves,aerial_duels_att,aerial_duels_att_won,ground_duels_att,ground_duels_att_won,aerial_duels_def,aerial_duels_def_won,ground_duels_def,ground_duels_def_won,name_lower,firstname_lower,lastname_lower,firstinitial_lower
2018/2019,70,Championship,172649,Dean Henderson,49,Sheffield United,23.0,England,188.0,85.0,right,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4443.750184,2539.950357,0,0,0,0,0,0,0,0,0,0,0,486,429,370,0,0,0,0,6,0,740,395,805,0,4806.7549770000005,0,0,0,34,0,35,0,21,115,5,4,7,7,18,1,0,0,dean henderson,dean,henderson,d
2018/2019,70,Championship,39790,Kiko Casilla,2,Leeds United,33.0,Spain,190.0,86.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1866.366308,1022.083441,0,0,0,0,0,0,0,0,0,0,0,495,420,389,3,3,0,0,0,0,140,73,494,0,1816.979766,1,1,0,66,1,7,0,20,38,0,0,2,2,6,1,2,2,kiko casilla,kiko,casilla,k
2019/2020,70,Championship,39790,Kiko Casilla,2,Leeds United,33.0,Spain,190.0,86.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3496.899668,1914.5835140000002,0,0,0,0,0,0,0,0,0,0,0,1030,834,777,0,0,0,0,3,0,211,106,949,0,3194.727966,3,3,0,74,0,33,0,35,71,2,2,4,4,14,1,0,0,kiko casilla,kiko,casilla,k
2018/2019,70,Championship,101982,Sam Johnstone,35,West Bromwich Albion,27.0,England,193.0,85.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4707.2171880000005,2682.133394,0,0,0,0,0,0,0,0,0,0,0,1167,944,823,0,0,0,0,2,0,590,294,1286,0,5913.905171,4,4,0,117,1,22,1,46,163,2,2,5,4,12,1,0,0,sam johnstone,sam,johnstone,s
2019/2020,70,Championship,101982,Sam Johnstone,35,West Bromwich Albion,27.0,England,193.0,85.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4487.21665,2453.233502,0,0,0,0,0,0,0,0,0,0,0,951,756,632,1,1,0,0,6,0,527,290,1050,1,5934.1384100000005,3,2,0,84,0,11,1,45,114,3,3,0,0,11,1,1,1,sam johnstone,sam,johnstone,s
2018/2019,70,Championship,154561,David Raya,5,Blackburn Rovers,24.0,Spain,183.0,80.0,right,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3981.3666409999996,2272.616388,0,0,0,0,0,0,0,0,0,0,0,603,541,420,2,2,0,0,6,0,787,390,945,0,5485.206899,1,1,0,54,0,36,0,41,125,4,2,3,3,24,1,1,1,david raya,david,raya,d
2019/2020,70,Championship,154561,David Raya,94,Brentford,24.0,Spain,183.0,80.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4709.216232,2730.183376,1,1,1,0,0,1,0,0,0,0,0,1575,1298,1159,3,2,1,0,8,0,431,199,1629,0,8284.615356999999,1,1,0,85,3,48,0,47,113,3,3,11,11,30,2,2,1,david raya,david,raya,d
2019/2020,70,Championship,102836,Brice Samba,17,Nottingham Forest,26.0,France,186.0,79.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3815.9334200000003,2117.583134,0,0,0,0,0,0,0,0,0,0,0,748,608,509,0,0,0,0,9,0,520,266,841,0,4462.232134000001,2,1,0,42,0,36,1,32,109,2,2,4,4,18,2,0,0,brice samba,brice,samba,b
2018/2019,70,Championship,20480,Tim Krul,45,Norwich City,32.0,Netherlands,188.0,84.0,left,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4499.300075,2597.350496,0,0,0,0,0,0,0,0,0,0,0,1066,860,797,0,0,0,0,5,0,713,361,1315,0,5869.003438000001,0,0,0,61,3,25,0,32,138,1,0,4,4,15,2,3,2,tim krul,tim,krul,t
2018/2019,70,Championship,50264,Declan Rudd,107,Preston North End,29.0,England,191.0,85.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3495.833318,1890.6332920000002,0,0,0,0,0,0,0,0,0,0,0,578,440,403,1,1,0,0,0,0,619,366,720,0,3443.993538,0,0,0,51,0,14,1,41,105,1,1,3,3,14,0,0,0,declan rudd,declan,rudd,d
2019/2020,70,Championship,50264,Declan Rudd,107,Preston North End,29.0,England,191.0,85.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4401.883028,2337.483178,1,1,1,0,0,1,0,0,0,0,0,627,495,426,1,1,0,0,3,0,928,558,1001,0,5019.601693,1,1,0,74,1,28,0,27,108,7,7,9,7,17,3,3,2,declan rudd,declan,rudd,d
2019/2020,70,Championship,155503,Freddie Woodman,80,Swansea City,23.0,England,188.0,83.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3992.9329049999997,2294.250112,0,0,0,0,0,0,0,0,0,0,0,983,756,704,1,1,0,0,0,0,408,235,997,0,4089.0584479999998,0,0,0,57,0,22,0,26,107,1,1,3,3,9,0,0,0,freddie woodman,freddie,woodman,f
2018/2019,70,Championship,79602,Daniel Bentley,94,Brentford,27.0,England,188.0,72.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3228.533206,1801.317127,0,0,0,0,0,0,0,0,0,0,0,860,709,647,0,0,0,0,0,0,498,254,1003,0,5368.48219,1,1,0,64,1,16,0,56,76,1,1,1,1,26,4,0,0,daniel bentley,daniel,bentley,d
2019/2020,70,Championship,79602,Daniel Bentley,113,Bristol City,27.0,England,188.0,72.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4117.3667,2313.533252,0,0,0,0,0,0,0,0,0,0,0,873,690,615,1,1,0,0,3,0,689,408,1082,0,5402.392618,0,0,0,70,2,26,0,53,133,1,0,6,6,14,2,0,0,daniel bentley,daniel,bentley,d
