,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Felipe Gutiérrez,"$ 31,731","$ 1,650,000","$ 1,650,000",M,29,Chile,Sporting Kc,Mls,2020
1,Johnny Russell,"$ 27,885","$ 1,450,000","$ 1,450,000",F,29,Scotland,Sporting Kc,Mls,2020
2,Andreu Fontàs,"$ 20,192","$ 1,050,000","$ 1,050,000",D,30,Spain,Sporting Kc,Mls,2020
3,Alan Pulido,"$ 20,000","$ 1,040,000","$ 1,040,000",F,28,Mexico,Sporting Kc,Mls,2020
4,Ilie Sánchez,"$ 17,308","$ 900,000","$ 900,000",M,29,Spain,Sporting Kc,Mls,2020
5,Róger Espinoza,"$ 15,385","$ 800,000","$ 800,000",M,33,Honduras,Sporting Kc,Mls,2020
6,Graham Zusi,"$ 12,019","$ 625,000","$ 625,000",D,33,United States,Sporting Kc,Mls,2020
7,Matt Besler,"$ 11,058","$ 574,998","$ 574,998",D,32,United States,Sporting Kc,Mls,2020
8,Gerso,"$ 10,577","$ 550,000","$ 550,000",F,28,Guinea-Bissau,Sporting Kc,Mls,2020
9,Roberto Puncec,"$ 8,000","$ 416,000","$ 416,000",D,28,Croatia,Sporting Kc,Mls,2020
10,Tim Melia,"$ 6,250","$ 325,008","$ 325,008",K,33,United States,Sporting Kc,Mls,2020
11,Gadi Kinda,"$ 5,942","$ 309,000","$ 309,000",F,25,Israel,Sporting Kc,Mls,2020
12,Botond Baráth,"$ 4,808","$ 250,000","$ 250,000",D,27,Hungary,Sporting Kc,Mls,2020
13,Luís Martins,"$ 4,615","$ 240,000","$ 240,000",D,27,Portugal,Sporting Kc,Mls,2020
14,Khiry Shelton,"$ 4,000","$ 208,000","$ 208,000",F,26,United States,Sporting Kc,Mls,2020
15,Erik Hurtado,"$ 3,365","$ 175,000","$ 175,000",F,29,United States,Sporting Kc,Mls,2020
16,Richard Sánchez,"$ 2,942","$ 153,000","$ 153,000",K,25,Mexico,Sporting Kc,Mls,2020
17,Dániel Sallói,"$ 2,769","$ 144,000","$ 144,000",F,23,Hungary,Sporting Kc,Mls,2020
18,Gianluca Busio,"$ 1,731","$ 90,000","$ 90,000",M,17,United States,Sporting Kc,Mls,2020
19,Jaylin Lindsey,"$ 1,442","$ 75,000","$ 75,000",D,19,United States,Sporting Kc,Mls,2020
20,Wan Kuzain,"$ 1,363","$ 70,875","$ 70,875",M,21,Malaysia,Sporting Kc,Mls,2020
21,Eric Dick,"$ 1,351","$ 70,250","$ 70,250",K,25,United States,Sporting Kc,Mls,2020
22,Tyler Freeman,"$ 1,351","$ 70,250","$ 70,250",F,17,United States,Sporting Kc,Mls,2020
23,Felipe Hernández,"$ 1,346","$ 70,000","$ 70,000",M,21,Colombia,Sporting Kc,Mls,2020
24,Amadou Dia,"$ 1,346","$ 70,000","$ 70,000",D,26,United States,Sporting Kc,Mls,2020
25,Graham Smith,"$ 1,100","$ 57,225","$ 57,225",D,24,United States,Sporting Kc,Mls,2020
26,Cameron Duke,"$ 1,082","$ 56,250","$ 56,250",D,18,United States,Sporting Kc,Mls,2020
