,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Darwin Quintero,"$ 33,654","$ 1,750,000","$ 1,750,000",F,32,Colombia,Houston Dynamo,Mls,2020
1,Mauro Manotas,"$ 21,155","$ 1,100,050","$ 1,100,050",F,24,Colombia,Houston Dynamo,Mls,2020
2,Aljaz Struna,"$ 21,154","$ 1,100,000","$ 1,100,000",D,29,Slovenia,Houston Dynamo,Mls,2020
3,Alberth Elis,"$ 12,507","$ 650,340","$ 650,340",F,23,Honduras,Houston Dynamo,Mls,2020
4,Christian Ramirez,"$ 11,538","$ 600,000","$ 600,000",F,28,United States,Houston Dynamo,Mls,2020
5,Tomás Martínez,"$ 7,442","$ 387,000","$ 387,000",F,24,Argentina,Houston Dynamo,Mls,2020
6,Darwin Cerén,"$ 6,712","$ 349,000","$ 349,000",M,30,El Salvador,Houston Dynamo,Mls,2020
7,Marko Maric,"$ 6,500","$ 338,000","$ 338,000",K,24,Croatia,Houston Dynamo,Mls,2020
8,Adam Lundqvist,"$ 5,846","$ 304,000","$ 304,000",D,25,Sweden,Houston Dynamo,Mls,2020
9,Víctor Cabrera,"$ 5,769","$ 300,000","$ 300,000",D,26,Argentina,Houston Dynamo,Mls,2020
10,José Bizama,"$ 5,577","$ 290,000","$ 290,000",D,25,Chile,Houston Dynamo,Mls,2020
11,Ronaldo Peña,"$ 4,808","$ 250,000","$ 250,000",F,22,Venezuela,Houston Dynamo,Mls,2020
12,Matías Vera,"$ 4,442","$ 231,000","$ 231,000",M,24,Argentina,Houston Dynamo,Mls,2020
13,Boniek García,"$ 3,519","$ 183,000","$ 183,000",M,35,Honduras,Houston Dynamo,Mls,2020
14,Tommy McNamara,"$ 3,173","$ 165,000","$ 165,000",F,28,United States,Houston Dynamo,Mls,2020
15,Zarek Valentin,"$ 3,077","$ 160,000","$ 160,000",D,28,Puerto Rico,Houston Dynamo,Mls,2020
16,Alejandro Fuenmayor,"$ 2,789","$ 145,008","$ 145,008",D,23,Venezuela,Houston Dynamo,Mls,2020
17,Memo Rodríguez,"$ 1,587","$ 82,500","$ 82,500",M,24,United States,Houston Dynamo,Mls,2020
18,Cody Cropper,"$ 1,491","$ 77,520","$ 77,520",K,26,United States,Houston Dynamo,Mls,2020
19,Niko Hansen,"$ 1,378","$ 71,663","$ 71,663",F,25,Denmark,Houston Dynamo,Mls,2020
20,Michael Salazar,"$ 1,351","$ 70,250","$ 70,250",F,27,Belize,Houston Dynamo,Mls,2020
21,Maynor Figueroa,"$ 1,351","$ 70,250","$ 70,250",D,36,Honduras,Houston Dynamo,Mls,2020
22,Michael Nelson,"$ 1,100","$ 57,225","$ 57,225",K,24,United States,Houston Dynamo,Mls,2020
23,Sam Junqua,"$ 1,082","$ 56,250","$ 56,250",D,23,United States,Houston Dynamo,Mls,2020
24,Erik McCue,"$ 1,082","$ 56,250","$ 56,250",D,19,United States,Houston Dynamo,Mls,2020
25,Luka Prpa,"$ 1,077","$ 56,000","$ 56,000",M,22,United States,Houston Dynamo,Mls,2020
26,Marcelo Palomino,"$ 1,077","$ 56,000","$ 56,000",F,18,United States,Houston Dynamo,Mls,2020
27,Kyle Adams,"$ 1,077","$ 56,000","$ 56,000",D,23,New Zealand,Houston Dynamo,Mls,2020
28,Garrett McLaughlin,$ 962,"$ 50,000","$ 50,000",F,22,United States,Houston Dynamo,Mls,2020
