,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Alejandro Romero Gamarra,"$ 15,385","$ 800,000","$ 800,000",F,25,Paraguay,Ny Red Bulls,Mls,2020
1,Aaron Long,"$ 14,808","$ 770,000","$ 770,000",D,27,United States,Ny Red Bulls,Mls,2020
2,Tim Parker,"$ 14,196","$ 738,200","$ 738,200",D,26,United States,Ny Red Bulls,Mls,2020
3,Daniel Royer,"$ 13,462","$ 700,000","$ 700,000",F,29,Austria,Ny Red Bulls,Mls,2020
4,Josh Sims,"$ 13,384","$ 695,968","$ 695,968",F,22,England,Ny Red Bulls,Mls,2020
5,David Jensen,"$ 9,000","$ 468,000","$ 468,000",K,27,Denmark,Ny Red Bulls,Mls,2020
6,Mathias Jörgensen,"$ 5,885","$ 306,000","$ 306,000",F,19,Denmark,Ny Red Bulls,Mls,2020
7,Marc Rzatkowski,"$ 5,769","$ 300,000","$ 300,000",M,29,Germany,Ny Red Bulls,Mls,2020
8,Sean Davis,"$ 5,769","$ 300,000","$ 300,000",M,26,United States,Ny Red Bulls,Mls,2020
9,Amro Tarek,"$ 2,885","$ 150,000","$ 150,000",D,27,Egypt,Ny Red Bulls,Mls,2020
10,Ryan Meara,"$ 2,538","$ 132,000","$ 132,000",K,29,Ireland,Ny Red Bulls,Mls,2020
11,Alex Muyl,"$ 2,380","$ 123,750","$ 123,750",F,24,United States,Ny Red Bulls,Mls,2020
12,Cristhian Cásseres Jr,"$ 2,288","$ 119,000","$ 119,000",M,20,Venezuela,Ny Red Bulls,Mls,2020
13,Omir Fernandez,"$ 1,538","$ 80,000","$ 80,000",F,20,United States,Ny Red Bulls,Mls,2020
14,Florian Valot,"$ 1,363","$ 70,872","$ 70,872",F,26,France,Ny Red Bulls,Mls,2020
15,Kendall McIntosh,"$ 1,351","$ 70,250","$ 70,250",K,26,United States,Ny Red Bulls,Mls,2020
16,Kyle Duncan,"$ 1,351","$ 70,250","$ 70,250",D,22,United States,Ny Red Bulls,Mls,2020
17,Mandela Egbo,"$ 1,346","$ 70,000","$ 70,000",D,22,England,Ny Red Bulls,Mls,2020
18,Ben Mines,"$ 1,101","$ 57,229","$ 57,229",F,19,United States,Ny Red Bulls,Mls,2020
19,Brian White,"$ 1,100","$ 57,225","$ 57,225",F,24,United States,Ny Red Bulls,Mls,2020
20,Rece Buckmaster,"$ 1,082","$ 56,250","$ 56,250",D,23,United States,Ny Red Bulls,Mls,2020
21,Tom Barlow,"$ 1,082","$ 56,250","$ 56,250",F,24,United States,Ny Red Bulls,Mls,2020
22,Sean Nealis,"$ 1,082","$ 56,250","$ 56,250",D,23,United States,Ny Red Bulls,Mls,2020
23,Deri Corfe,"$ 1,077","$ 56,000","$ 56,000",F,21,England,Ny Red Bulls,Mls,2020
24,Chris Lema,"$ 1,077","$ 56,000","$ 56,000",M,23,United States,Ny Red Bulls,Mls,2020
25,Cherif Dieye,"$ 1,077","$ 56,000","$ 56,000",M,22,Senegal,Ny Red Bulls,Mls,2020
26,John Tolkin,"$ 1,077","$ 56,000","$ 56,000",D,17,United States,Ny Red Bulls,Mls,2020
27,Wallis Lapsley,"$ 1,077","$ 56,000","$ 56,000",K,22,United States,Ny Red Bulls,Mls,2020
28,Jared Stroud,"$ 1,077","$ 56,000","$ 56,000",F,23,United States,Ny Red Bulls,Mls,2020
29,Patrick Seagrist,"$ 1,077","$ 56,000","$ 56,000",D,21,United States,Ny Red Bulls,Mls,2020
