,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Robin Lod,"$ 16,346","$ 849,996","$ 849,996",M,26,Finland,Minnesota United,Mls,2020
1,Jan Gregus,"$ 14,423","$ 750,000","$ 750,000",M,29,Slovakia,Minnesota United,Mls,2020
2,Osvaldo Alonso,"$ 12,500","$ 650,000","$ 650,000",M,34,Cuba,Minnesota United,Mls,2020
3,Kevin Molino,"$ 9,615","$ 500,004","$ 500,004",F,29,Trinidad and Tobago,Minnesota United,Mls,2020
4,Romain Métanire,"$ 7,923","$ 412,000","$ 412,000",D,29,Madagascar,Minnesota United,Mls,2020
5,Ethan Finlay,"$ 7,692","$ 400,008","$ 400,008",F,29,United States,Minnesota United,Mls,2020
6,Ike Opara,"$ 6,731","$ 350,000","$ 350,000",D,30,United States,Minnesota United,Mls,2020
7,Thomás Chacón,"$ 6,481","$ 337,000","$ 337,000",F,19,Uruguay,Minnesota United,Mls,2020
8,Michael Boxall,"$ 5,769","$ 300,000","$ 300,000",D,31,New Zealand,Minnesota United,Mls,2020
9,Luis Amarilla,"$ 4,327","$ 225,000","$ 225,000",F,24,Paraguay,Minnesota United,Mls,2020
10,Marlon Hairston,"$ 2,981","$ 155,004","$ 155,004",F,25,United States,Minnesota United,Mls,2020
11,Mason Toye,"$ 2,596","$ 135,000","$ 135,000",F,21,United States,Minnesota United,Mls,2020
12,Brent Kallman,"$ 2,269","$ 118,000","$ 118,000",D,29,United States,Minnesota United,Mls,2020
13,Tyler Miller,"$ 1,492","$ 77,565","$ 77,565",K,26,United States,Minnesota United,Mls,2020
14,Dayne St Clair,"$ 1,481","$ 77,000","$ 77,000",K,22,Canada,Minnesota United,Mls,2020
15,Jacori Hayes,"$ 1,378","$ 71,663","$ 71,663",M,24,United States,Minnesota United,Mls,2020
16,James Musa,"$ 1,346","$ 70,000","$ 70,000",M,27,New Zealand,Minnesota United,Mls,2020
17,Greg Ranjitsingh,"$ 1,346","$ 70,000","$ 70,000",K,26,Trinidad and Tobago,Minnesota United,Mls,2020
18,Fred Emmings,"$ 1,346","$ 70,000","$ 70,000",K,15,Luxembourg,Minnesota United,Mls,2020
19,Wyatt Omsberg,"$ 1,100","$ 57,225","$ 57,225",D,24,United States,Minnesota United,Mls,2020
20,Hassani Dotson,"$ 1,082","$ 56,250","$ 56,250",D,22,United States,Minnesota United,Mls,2020
21,Chase Gasper,"$ 1,082","$ 56,250","$ 56,250",D,24,United States,Minnesota United,Mls,2020
22,Noah Billingsley,"$ 1,077","$ 56,000","$ 56,000",F,22,New Zealand,Minnesota United,Mls,2020
23,Andrew Booth,$ 577,"$ 30,000","$ 30,000",D,22,Jamaica,Minnesota United,Mls,2020
