,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Valeri Qazaishvili,"$ 28,365","$ 1,475,004","$ 1,475,004",F,27,Georgia,San Jose Earthquakes,Mls,2020
1,Chris Wondolowski,"$ 15,385","$ 800,000","$ 800,000",F,37,United States,San Jose Earthquakes,Mls,2020
2,Andrés Ríos,"$ 14,019","$ 729,000","$ 729,000",F,30,Argentina,San Jose Earthquakes,Mls,2020
3,Carlos Fierro,"$ 12,692","$ 660,000","$ 660,000",F,25,Mexico,San Jose Earthquakes,Mls,2020
4,Guram Kashia,"$ 11,346","$ 590,000","$ 590,000",D,32,Georgia,San Jose Earthquakes,Mls,2020
5,Florian Jungwirth,"$ 10,577","$ 550,008","$ 550,008",D,31,Germany,San Jose Earthquakes,Mls,2020
6,Cristian Espinoza,"$ 9,615","$ 500,000","$ 500,000",F,24,Argentina,San Jose Earthquakes,Mls,2020
7,Danny Hoesen,"$ 9,615","$ 500,000","$ 500,000",F,29,Netherlands,San Jose Earthquakes,Mls,2020
8,Magnus Eriksson,"$ 8,654","$ 450,000","$ 450,000",F,29,Sweden,San Jose Earthquakes,Mls,2020
9,Marcos López,"$ 7,462","$ 388,000","$ 388,000",D,20,Peru,San Jose Earthquakes,Mls,2020
10,Judson,"$ 5,769","$ 300,000","$ 300,000",M,26,Brazil,San Jose Earthquakes,Mls,2020
11,Shea Salinas,"$ 4,808","$ 250,000","$ 250,000",F,33,United States,San Jose Earthquakes,Mls,2020
12,Andrew Tarbell,"$ 3,846","$ 200,000","$ 200,000",K,26,United States,San Jose Earthquakes,Mls,2020
13,Daniel Vega,"$ 3,846","$ 200,000","$ 200,000",K,35,Argentina,San Jose Earthquakes,Mls,2020
14,Nick Lima,"$ 3,846","$ 200,000","$ 200,000",D,25,United States,San Jose Earthquakes,Mls,2020
15,Tommy Thompson,"$ 3,365","$ 175,000","$ 175,000",D,24,United States,San Jose Earthquakes,Mls,2020
16,Jackson Yueill,"$ 2,788","$ 145,000","$ 145,000",M,22,United States,San Jose Earthquakes,Mls,2020
17,JT Marcinkowski,"$ 2,596","$ 135,000","$ 135,000",K,22,United States,San Jose Earthquakes,Mls,2020
18,Eric Calvillo,"$ 2,308","$ 120,000","$ 120,000",M,22,United States,San Jose Earthquakes,Mls,2020
19,Gilbert Fuentes,"$ 1,538","$ 80,000","$ 80,000",F,17,United States,San Jose Earthquakes,Mls,2020
20,Siad Haji,"$ 1,442","$ 75,000","$ 75,000",F,20,United States,San Jose Earthquakes,Mls,2020
21,Matt Bersano,"$ 1,378","$ 71,667","$ 71,667",K,27,United States,San Jose Earthquakes,Mls,2020
22,Luis Felipe,"$ 1,363","$ 70,875","$ 70,875",M,24,United States,San Jose Earthquakes,Mls,2020
23,Jack Skahan,"$ 1,346","$ 70,000","$ 70,000",M,21,United States,San Jose Earthquakes,Mls,2020
24,Oswaldo Alanís,"$ 1,346","$ 70,000","$ 70,000",D,30,Mexico,San Jose Earthquakes,Mls,2020
25,Jacob Akanyirige,"$ 1,197","$ 62,225","$ 62,225",D,18,United States,San Jose Earthquakes,Mls,2020
26,Cade Cowell,"$ 1,100","$ 57,225","$ 57,225",F,16,United States,San Jose Earthquakes,Mls,2020
27,Paul Marie,"$ 1,100","$ 57,225","$ 57,225",D,24,France,San Jose Earthquakes,Mls,2020
28,Jon Bell,"$ 1,077","$ 56,000","$ 56,000",D,22,United States,San Jose Earthquakes,Mls,2020
29,Tanner Beason,"$ 1,077","$ 56,000","$ 56,000",D,22,United States,San Jose Earthquakes,Mls,2020
30,Casey Walls,"$ 1,077","$ 56,000","$ 56,000",D,16,United States,San Jose Earthquakes,Mls,2020
31,Emmanuel Ochoa,$ 0,$ 0,$ 0,K,14,United States,San Jose Earthquakes,Mls,2020
