,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Sebastián Blanco,"$ 54,885","$ 2,854,000","$ 2,854,000",F,31,Argentina,Portland Timbers,Mls,2020
1,Diego Váleri,"$ 46,538","$ 2,420,000","$ 2,420,000",F,33,Argentina,Portland Timbers,Mls,2020
2,Yimmi Chará,"$ 15,000","$ 780,000","$ 780,000",F,28,Colombia,Portland Timbers,Mls,2020
3,Jaroslaw Niezgoda,"$ 15,000","$ 780,000","$ 780,000",F,24,Poland,Portland Timbers,Mls,2020
4,Larrys Mabiala,"$ 14,423","$ 750,000","$ 750,000",D,32,Democratic Republic of the Congo,Portland Timbers,Mls,2020
5,Jorge Villafaña,"$ 11,538","$ 600,000","$ 600,000",D,30,United States,Portland Timbers,Mls,2020
6,Diego Chará,"$ 11,000","$ 572,000","$ 572,000",M,33,Colombia,Portland Timbers,Mls,2020
7,Jorge Moreira,"$ 10,490","$ 545,455","$ 545,455",D,30,Paraguay,Portland Timbers,Mls,2020
8,Dario Zuparic,"$ 8,000","$ 416,000","$ 416,000",D,27,Croatia,Portland Timbers,Mls,2020
9,Tomás Conechny,"$ 7,769","$ 404,000","$ 404,000",F,21,Argentina,Portland Timbers,Mls,2020
10,Dairon Asprilla,"$ 3,846","$ 200,000","$ 200,000",F,27,Colombia,Portland Timbers,Mls,2020
11,Jeremy Ebobisse,"$ 3,365","$ 175,000","$ 175,000",F,22,United States,Portland Timbers,Mls,2020
12,Jeff Attinella,"$ 3,365","$ 175,000","$ 175,000",K,31,United States,Portland Timbers,Mls,2020
13,Julio Cascante,"$ 3,269","$ 170,004","$ 170,004",D,26,Costa Rica,Portland Timbers,Mls,2020
14,Andy Polo,"$ 2,885","$ 150,000","$ 150,000",F,25,Peru,Portland Timbers,Mls,2020
15,Aljaz Ivacic,"$ 2,885","$ 150,000","$ 150,000",K,26,Slovenia,Portland Timbers,Mls,2020
16,Steve Clark,"$ 2,692","$ 140,000","$ 140,000",K,33,United States,Portland Timbers,Mls,2020
17,Eryk Williamson,"$ 2,308","$ 120,000","$ 120,000",M,22,United States,Portland Timbers,Mls,2020
18,Bill Tuiloma,"$ 1,923","$ 100,008","$ 100,008",D,24,New Zealand,Portland Timbers,Mls,2020
19,Chris Duvall,"$ 1,731","$ 90,000","$ 90,000",D,28,United States,Portland Timbers,Mls,2020
20,Marco Farfan,"$ 1,543","$ 80,250","$ 80,250",D,21,United States,Portland Timbers,Mls,2020
21,Renzo Zambrano,"$ 1,351","$ 70,250","$ 70,250",M,25,Venezuela,Portland Timbers,Mls,2020
22,Felipe Mora,"$ 1,346","$ 70,000","$ 70,000",F,26,Chile,Portland Timbers,Mls,2020
23,Andrés Flores,"$ 1,346","$ 70,000","$ 70,000",F,29,El Salvador,Portland Timbers,Mls,2020
24,Marvin Loría,"$ 1,082","$ 56,250","$ 56,250",F,22,Costa Rica,Portland Timbers,Mls,2020
25,Blake Bodily,"$ 1,077","$ 56,000","$ 56,000",M,22,United States,Portland Timbers,Mls,2020
26,Aaron Molloy,"$ 1,077","$ 56,000","$ 56,000",M,23,Ireland,Portland Timbers,Mls,2020
