club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Borussia Dortmund,Neven Subotic,19,Centre-Back,1.FSV Mainz 05,£4.05m,in,Summer,4.05,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Mohamed Zidan,26,Second Striker,Hamburger SV,£2.52m,in,Summer,2.52,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Patrick Owomoyela,28,Right-Back,Werder Bremen,£2.25m,in,Summer,2.25,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Felipe Santana,22,Centre-Back,Figueirense FC,£1.89m,in,Summer,1.89,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Tamás Hajnal,27,Attacking Midfield,Karlsruher SC,£1.13m,in,Summer,1.13,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Young-pyo Lee,31,Left-Back,Spurs,£450Th.,in,Summer,0.45,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Lukas Kruse,24,Goalkeeper,SC Paderborn,Free transfer,in,Summer,0,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Bajram Sadrijaj,21,Centre-Forward,Thannhausen,Free transfer,in,Summer,0,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Marcel Schmelzer,20,Left-Back,B. Dortmund II,-,in,Summer,0,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Nuri Sahin,19,Defensive Midfield,Feyenoord,"End of loanJun 30, 2008",in,Summer,0,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Steven Pienaar,26,Left Winger,Everton,"End of loanJun 30, 2008",in,Summer,0,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Mladen Petric,27,Centre-Forward,Hamburger SV,£6.57m,out,Summer,6.57,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Steven Pienaar,26,Left Winger,Everton,£2.48m,out,Summer,2.48,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Martin Amedick,25,Centre-Back,1.FC K'lautern,£405Th.,out,Summer,0.405,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Markus Brzenska,24,Centre-Back,MSV Duisburg,Loan fee:£90Th.,out,Summer,0.09,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Philipp Degen,25,Right-Back,Liverpool,Free transfer,out,Summer,0,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Alexander Bade,37,Goalkeeper,Without Club,-,out,Summer,0,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Christian Wörns,36,Centre-Back,Retired,-,out,Summer,0,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Sebastian Tyrala,20,Central Midfield,B. Dortmund II,-,out,Summer,0,1 Bundesliga,2008,2008/2009
Borussia Dortmund,David Vrzogic,18,Left-Back,B. Dortmund II,-,out,Summer,0,1 Bundesliga,2008,2008/2009
Borussia Dortmund,Daniel Gordon,23,Centre-Back,B. Dortmund II,-,out,Summer,0,1 Bundesliga,2008,2008/2009
Bayern Munich,Tim Borowski,28,Central Midfield,Werder Bremen,Free transfer,in,Summer,0,1 Bundesliga,2008,2008/2009
Bayern Munich,Hans Jörg Butt,34,Goalkeeper,Benfica,Free transfer,in,Summer,0,1 Bundesliga,2008,2008/2009
Bayern Munich,Massimo Oddo,32,Right-Back,AC Milan,Loan,in,Summer,0,1 Bundesliga,2008,2008/2009
Bayern Munich,Thomas Kraft,19,Goalkeeper,FC Bayern II,-,in,Summer,0,1 Bundesliga,2008,2008/2009
Bayern Munich,Markus Steinhöfer,22,Right-Back,FC Bayern II,-,in,Summer,0,1 Bundesliga,2008,2008/2009
Bayern Munich,Julio dos Santos,25,Central Midfield,Grêmio,"End of loanJun 30, 2008",in,Summer,0,1 Bundesliga,2008,2008/2009
Bayern Munich,Marcell Jansen,22,Left-Back,Hamburger SV,£7.20m,out,Summer,7.2,1 Bundesliga,2008,2008/2009
Bayern Munich,Jan Schlaudraff,24,Second Striker,Hannover 96,£1.80m,out,Summer,1.8,1 Bundesliga,2008,2008/2009
Bayern Munich,Markus Steinhöfer,22,Right-Back,E. Frankfurt,£810Th.,out,Summer,0.81,1 Bundesliga,2008,2008/2009
Bayern Munich,Sandro Wagner,20,Centre-Forward,MSV Duisburg,Free transfer,out,Summer,0,1 Bundesliga,2008,2008/2009
Bayern Munich,Julio dos Santos,25,Central Midfield,Atlético-PR,Free transfer,out,Summer,0,1 Bundesliga,2008,2008/2009
Bayern Munich,Oliver Kahn,39,Goalkeeper,Retired,-,out,Summer,0,1 Bundesliga,2008,2008/2009
Bayern Munich,Bernd Dreher,41,Goalkeeper,Retired,-,out,Summer,0,1 Bundesliga,2008,2008/2009
Bayern Munich,Stephan Fürstner,20,Defensive Midfield,FC Bayern II,-,out,Summer,0,1 Bundesliga,2008,2008/2009
FC Schalke 04,Jefferson Farfán,23,Right Winger,PSV Eindhoven,£9.00m,in,Summer,9,1 Bundesliga,2008,2008/2009
FC Schalke 04,Orlando Engelaar,28,Defensive Midfield,Twente FC,£4.95m,in,Summer,4.95,1 Bundesliga,2008,2008/2009
