formationNo,formationId,formationName,period,startMinuteExpanded,endMinuteExpanded,jerseyNumbers,formationSlots,playerIds,formationPositions,matchId,homeTeamId,homeTeamName
1,3,41212,16,0,14,"[22, 14, 31, 5, 21, 13, 8, 7, 32, 30, 10, 4, 6, 15, 20, 23, 24, 27]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[44089, 10368, 2632, 9931, 17950, 44643, 14070, 9731, 25079, 34135, 10233, 14127, 9924, 16170, 2832, 30918, 2139, 10608]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 5.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.5}, {'vertical': 2.5, 'horizontal': 6.5}, {'vertical': 5.0, 'horizontal': 2.0}, {'vertical': 7.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 5.0, 'horizontal': 8.0}]",348044,78,Cagliari
2,3,41212,1,14,34,"[22, 14, 31, 5, 21, 13, 8, 7, 30, 32, 10, 4, 6, 15, 20, 23, 24, 27]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[44089, 10368, 2632, 9931, 17950, 44643, 14070, 9731, 34135, 25079, 10233, 14127, 9924, 16170, 2832, 30918, 2139, 10608]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 5.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.5}, {'vertical': 2.5, 'horizontal': 6.5}, {'vertical': 5.0, 'horizontal': 2.0}, {'vertical': 7.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 5.0, 'horizontal': 8.0}]",348044,78,Cagliari
3,3,41212,1,34,44,"[22, 14, 31, 5, 21, 13, 8, 7, 32, 30, 10, 4, 6, 15, 20, 23, 24, 27]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[44089, 10368, 2632, 9931, 17950, 44643, 14070, 9731, 25079, 34135, 10233, 14127, 9924, 16170, 2832, 30918, 2139, 10608]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 5.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.5}, {'vertical': 2.5, 'horizontal': 6.5}, {'vertical': 5.0, 'horizontal': 2.0}, {'vertical': 7.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 5.0, 'horizontal': 8.0}]",348044,78,Cagliari
4,3,41212,1,44,52,"[22, 14, 31, 5, 21, 13, 8, 7, 30, 32, 10, 4, 6, 15, 20, 23, 24, 27]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[44089, 10368, 2632, 9931, 17950, 44643, 14070, 9731, 34135, 25079, 10233, 14127, 9924, 16170, 2832, 30918, 2139, 10608]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 5.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.5}, {'vertical': 2.5, 'horizontal': 6.5}, {'vertical': 5.0, 'horizontal': 2.0}, {'vertical': 7.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 5.0, 'horizontal': 8.0}]",348044,78,Cagliari
5,3,41212,2,52,64,"[22, 14, 31, 5, 21, 13, 8, 7, 32, 30, 10, 4, 6, 15, 20, 23, 24, 27]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[44089, 10368, 2632, 9931, 17950, 44643, 14070, 9731, 25079, 34135, 10233, 14127, 9924, 16170, 2832, 30918, 2139, 10608]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 5.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.5}, {'vertical': 2.5, 'horizontal': 6.5}, {'vertical': 5.0, 'horizontal': 2.0}, {'vertical': 7.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 5.0, 'horizontal': 8.0}]",348044,78,Cagliari
6,3,41212,2,64,74,"[22, 14, 31, 5, 21, 13, 8, 7, 30, 32, 10, 4, 6, 15, 20, 23, 24, 27]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[44089, 10368, 2632, 9931, 17950, 44643, 14070, 9731, 34135, 25079, 10233, 14127, 9924, 16170, 2832, 30918, 2139, 10608]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 5.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.5}, {'vertical': 2.5, 'horizontal': 6.5}, {'vertical': 5.0, 'horizontal': 2.0}, {'vertical': 7.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 5.0, 'horizontal': 8.0}]",348044,78,Cagliari
7,3,41212,2,64,64,"[22, 14, 31, 5, 21, 13, 4, 7, 30, 32, 8, 6, 15, 20, 23, 24, 27]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0]","[44089, 10368, 2632, 9931, 17950, 44643, 14127, 9731, 34135, 25079, 14070, 9924, 16170, 2832, 30918, 2139, 10608]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 5.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.5}, {'vertical': 2.5, 'horizontal': 6.5}, {'vertical': 5.0, 'horizontal': 2.0}, {'vertical': 7.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 5.0, 'horizontal': 8.0}]",348044,78,Cagliari
8,3,41212,2,74,84,"[22, 14, 31, 5, 21, 13, 8, 7, 27, 32, 10, 4, 6, 15, 20, 23, 24, 30]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[44089, 10368, 2632, 9931, 17950, 44643, 14070, 9731, 10608, 25079, 10233, 14127, 9924, 16170, 2832, 30918, 2139, 34135]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 5.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.5}, {'vertical': 2.5, 'horizontal': 6.5}, {'vertical': 5.0, 'horizontal': 2.0}, {'vertical': 7.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 5.0, 'horizontal': 8.0}]",348044,78,Cagliari
9,15,4222,2,84,90,"[22, 14, 31, 5, 21, 13, 27, 4, 23, 32, 7, 6, 15, 20, 24]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0]","[44089, 10368, 2632, 9931, 17950, 44643, 10608, 14127, 30918, 25079, 9731, 9924, 16170, 2832, 2139]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.0, 'horizontal': 1.0}, {'vertical': 2.0, 'horizontal': 9.0}, {'vertical': 4.5, 'horizontal': 3.5}, {'vertical': 2.0, 'horizontal': 3.5}, {'vertical': 2.0, 'horizontal': 6.5}, {'vertical': 6.5, 'horizontal': 3.5}, {'vertical': 4.5, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 6.5, 'horizontal': 6.5}]",348044,78,Cagliari
10,15,4222,2,90,94,"[22, 14, 31, 4, 21, 13, 27, 5, 23, 32, 7, 6, 15, 20, 24]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0]","[44089, 10368, 2632, 14127, 17950, 44643, 10608, 9931, 30918, 25079, 9731, 9924, 16170, 2832, 2139]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.0, 'horizontal': 1.0}, {'vertical': 2.0, 'horizontal': 9.0}, {'vertical': 4.5, 'horizontal': 3.5}, {'vertical': 2.0, 'horizontal': 3.5}, {'vertical': 2.0, 'horizontal': 6.5}, {'vertical': 6.5, 'horizontal': 3.5}, {'vertical': 4.5, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 6.5, 'horizontal': 6.5}]",348044,78,Cagliari
