formationNo,formationId,formationName,period,startMinuteExpanded,endMinuteExpanded,jerseyNumbers,formationSlots,playerIds,formationPositions,matchId,awayTeamId,awayTeamName
1,10,532,16,0,65,"[83, 5, 7, 6, 2, 15, 10, 4, 86, 23, 14, 1, 8, 9, 17, 19, 20, 24]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[17949, 2796, 2619, 2689, 1044, 9837, 14831, 2555, 6149, 1136, 13718, 9967, 33138, 30836, 20068, 1575, 41237, 9984]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 2.5, 'horizontal': 7.0}, {'vertical': 2.5, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.0}, {'vertical': 6.0, 'horizontal': 2.0}, {'vertical': 6.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 6.0, 'horizontal': 8.0}]",347496,82,Parma Calcio 1913
2,10,532,16,65,72,"[83, 5, 7, 6, 2, 15, 10, 4, 9, 23, 14, 1, 8, 86, 17, 19, 20, 24]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[17949, 2796, 2619, 2689, 1044, 9837, 14831, 2555, 30836, 1136, 13718, 9967, 33138, 6149, 20068, 1575, 41237, 9984]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 2.5, 'horizontal': 7.0}, {'vertical': 2.5, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.0}, {'vertical': 6.0, 'horizontal': 2.0}, {'vertical': 6.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 6.0, 'horizontal': 8.0}]",347496,82,Parma Calcio 1913
3,10,532,16,72,86,"[83, 5, 7, 6, 2, 15, 10, 4, 9, 23, 8, 1, 14, 86, 17, 19, 20, 24]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[17949, 2796, 2619, 2689, 1044, 9837, 14831, 2555, 30836, 1136, 33138, 9967, 13718, 6149, 20068, 1575, 41237, 9984]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 2.5, 'horizontal': 7.0}, {'vertical': 2.5, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.0}, {'vertical': 6.0, 'horizontal': 2.0}, {'vertical': 6.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 6.0, 'horizontal': 8.0}]",347496,82,Parma Calcio 1913
4,10,532,16,86,95,"[83, 5, 7, 6, 2, 15, 10, 4, 9, 17, 8, 1, 14, 86, 23, 19, 20, 24]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]","[17949, 2796, 2619, 2689, 1044, 9837, 14831, 2555, 30836, 20068, 33138, 9967, 13718, 6149, 1136, 1575, 41237, 9984]","[{'vertical': 0.0, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 1.0}, {'vertical': 2.5, 'horizontal': 9.0}, {'vertical': 2.5, 'horizontal': 7.0}, {'vertical': 2.5, 'horizontal': 5.0}, {'vertical': 2.5, 'horizontal': 3.0}, {'vertical': 6.0, 'horizontal': 2.0}, {'vertical': 6.0, 'horizontal': 5.0}, {'vertical': 9.0, 'horizontal': 6.5}, {'vertical': 9.0, 'horizontal': 3.5}, {'vertical': 6.0, 'horizontal': 8.0}]",347496,82,Parma Calcio 1913
