,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Gianluigi Donnarumma,,"€ 213,654","€ 11,110,000",GK,21,Starter,"Jun 30, 2021",1-yr,"€ 11,110,000",AC Milan,Serie A,2020-2021
1,Zlatan Ibrahimovic,,"€ 172,500","€ 8,970,000",CF,39,Starter,"Jun 30, 2022",2-yrs,"€ 17,940,000",AC Milan,Serie A,2020-2021
2,Alessio Romagnoli,,"€ 124,615","€ 6,480,000",CB,26,Starter,"Jun 30, 2022",2-yrs,"€ 12,960,000",AC Milan,Serie A,2020-2021
3,Hakan Calhanoglu,,"€ 89,038","€ 4,630,000",AM,26,Starter,"Jun 30, 2021",1-yr,"€ 4,630,000",AC Milan,Serie A,2020-2021
4,Ante Rebic,,"€ 86,346","€ 4,490,000",LW,27,Reserve,"Jun 30, 2025",5-yrs,"€ 22,450,000",AC Milan,Serie A,2020-2021
5,Franck Kessié,,"€ 78,269","€ 4,070,000",CM,24,Starter,"Jun 30, 2022",2-yrs,"€ 8,140,000",AC Milan,Serie A,2020-2021
6,Mario Mandzukic,,"€ 64,038","€ 3,330,000",CF,34,Reserve,"Jun 30, 2021",1-yr,"€ 3,330,000",AC Milan,Serie A,2020-2021
7,Sandro Tonali,,"€ 56,923","€ 2,960,000",DM,20,Reserve,"Jun 30, 2021",1-yr,"€ 2,960,000",AC Milan,Serie A,2020-2021
8,Soualiho Meïté,,"€ 56,923","€ 2,960,000",CM,26,Reserve,"Jun 30, 2021",1-yr,"€ 2,960,000",AC Milan,Serie A,2020-2021
9,Samu Castillejo,,"€ 53,462","€ 2,780,000",RW,26,Reserve,"Jun 30, 2023",3-yrs,"€ 8,340,000",AC Milan,Serie A,2020-2021
10,Ismaël Bennacer,,"€ 53,462","€ 2,780,000",DM,23,Starter,"Jun 30, 2024",4-yrs,"€ 11,120,000",AC Milan,Serie A,2020-2021
11,Rade Krunic,,"€ 39,231","€ 2,040,000",CM,27,Reserve,"Jun 30, 2024",4-yrs,"€ 8,160,000",AC Milan,Serie A,2020-2021
12,Theo Hernández,,"€ 36,923","€ 1,920,000",LB,23,Starter,"Jun 30, 2024",4-yrs,"€ 7,680,000",AC Milan,Serie A,2020-2021
13,Davide Calabria,,"€ 35,577","€ 1,850,000",RB,24,Starter,"Jun 30, 2022",2-yrs,"€ 3,700,000",AC Milan,Serie A,2020-2021
14,Antonio Donnarumma,,"€ 35,577","€ 1,850,000",GK,30,Reserve,"Jun 30, 2021",1-yr,"€ 1,850,000",AC Milan,Serie A,2020-2021
15,Rafael Leão,,"€ 34,423","€ 1,790,000",CF,21,Reserve,"Jun 30, 2024",4-yrs,"€ 7,160,000",AC Milan,Serie A,2020-2021
16,Ciprian Tatarusanu,,"€ 29,615","€ 1,540,000",GK,34,Reserve,"Jun 30, 2023",3-yrs,"€ 4,620,000",AC Milan,Serie A,2020-2021
17,Simon Kjaer,,"€ 29,615","€ 1,540,000",CB,31,Starter,"Jun 30, 2022",2-yrs,"€ 3,080,000",AC Milan,Serie A,2020-2021
18,Alexis Saelemaekers,,"€ 24,615","€ 1,280,000",RW,21,Starter,"Jun 30, 2024",4-yrs,"€ 5,120,000",AC Milan,Serie A,2020-2021
19,Diogo Dalot,,"€ 24,615","€ 1,280,000",RB,21,Reserve,"Jun 30, 2021",1-yr,"€ 1,280,000",AC Milan,Serie A,2020-2021
20,Jens Petter Hauge,,"€ 24,615","€ 1,280,000",LW,21,Reserve,"Jun 30, 2025",5-yrs,"€ 6,400,000",AC Milan,Serie A,2020-2021
21,Matteo Gabbia,,"€ 21,346","€ 1,110,000",CB,21,Reserve,"Jun 30, 2024",4-yrs,"€ 4,440,000",AC Milan,Serie A,2020-2021
22,Fikayo Tomori,,"€ 20,962","€ 1,090,000",CB,23,Reserve,"Jun 30, 2021",1-yr,"€ 1,090,000",AC Milan,Serie A,2020-2021
23,Pierre Kalulu,,"€ 14,808","€ 770,000",CB,20,Reserve,"Jun 30, 2025",5-yrs,"€ 3,850,000",AC Milan,Serie A,2020-2021
24,Brahim Díaz,,"€ 12,308","€ 640,000",AM,21,Starter,"Jun 30, 2021",1-yr,"€ 640,000",AC Milan,Serie A,2020-2021
25,Daniel Maldini,,"€ 10,769","€ 560,000",AM,19,Reserve,"Jun 30, 2024",4-yrs,"€ 2,240,000",AC Milan,Serie A,2020-2021
