,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Andrea Conti,,"€ 71,154","€ 3,700,000",RB,26,Reserve,"Jun 30, 2021",1-yr,"€ 3,700,000",Parma,Serie A,2020-2021
1,Roberto Inglese,,"€ 49,808","€ 2,590,000",CF,29,Reserve,"Jun 30, 2024",4-yrs,"€ 10,360,000",Parma,Serie A,2020-2021
2,Gervinho,,"€ 46,346","€ 2,410,000",LW,33,Starter,"Jun 30, 2022",2-yrs,"€ 4,820,000",Parma,Serie A,2020-2021
3,Yann Karamoh,,"€ 42,692","€ 2,220,000",RW,22,Starter,"Jun 30, 2023",3-yrs,"€ 6,660,000",Parma,Serie A,2020-2021
4,Andreas Cornelius,,"€ 35,577","€ 1,850,000",CF,27,Reserve,"Jun 30, 2021",1-yr,"€ 1,850,000",Parma,Serie A,2020-2021
5,Jasmin Kurtic,,"€ 35,577","€ 1,850,000",CM,32,Starter,"Jun 30, 2023",3-yrs,"€ 5,550,000",Parma,Serie A,2020-2021
6,Luigi Sepe,,"€ 32,115","€ 1,670,000",GK,29,Starter,"Jun 30, 2024",4-yrs,"€ 6,680,000",Parma,Serie A,2020-2021
7,Alberto Grassi,,"€ 32,115","€ 1,670,000",CM,25,Reserve,"Jun 30, 2024",4-yrs,"€ 6,680,000",Parma,Serie A,2020-2021
8,Joshua Zirkzee,,"€ 32,115","€ 1,670,000",CF,19,Reserve,"Jun 30, 2021",1-yr,"€ 1,670,000",Parma,Serie A,2020-2021
9,Juraj Kucka,,"€ 29,615","€ 1,540,000",CM,33,Starter,"Jun 30, 2022",2-yrs,"€ 3,080,000",Parma,Serie A,2020-2021
10,Hernani,,"€ 29,615","€ 1,540,000",DM,26,Reserve,"Jun 30, 2023",3-yrs,"€ 4,620,000",Parma,Serie A,2020-2021
11,Mattia Bani,,"€ 25,000","€ 1,300,000",CB,27,Reserve,"Jun 30, 2021",1-yr,"€ 1,300,000",Parma,Serie A,2020-2021
12,Graziano Pellè,,"€ 24,615","€ 1,280,000",CF,35,Starter,"Jun 30, 2021",1-yr,"€ 1,280,000",Parma,Serie A,2020-2021
13,Dennis Man,,"€ 22,115","€ 1,150,000",RW,22,Reserve,"Jun 30, 2025",5-yrs,"€ 5,750,000",Parma,Serie A,2020-2021
14,Bruno Alves,,"€ 21,346","€ 1,110,000",CB,39,Starter,"Jun 30, 2021",1-yr,"€ 1,110,000",Parma,Serie A,2020-2021
15,Wylan Cyprien,,"€ 17,308","€ 900,000",CM,26,Reserve,"Jun 30, 2021",1-yr,"€ 900,000",Parma,Serie A,2020-2021
16,Vincent Laurini,,"€ 17,115","€ 890,000",RB,31,Starter,"Jun 30, 2022",2-yrs,"€ 1,780,000",Parma,Serie A,2020-2021
17,Giuseppe Pezzella,,"€ 15,962","€ 830,000",LB,23,Starter,"Jun 30, 2024",4-yrs,"€ 3,320,000",Parma,Serie A,2020-2021
18,Mattia Sprocati,,"€ 15,962","€ 830,000",RW,27,Reserve,"Jun 30, 2023",3-yrs,"€ 2,490,000",Parma,Serie A,2020-2021
19,Riccardo Gagliolo,,"€ 15,962","€ 830,000",LB,30,Reserve,"Jun 30, 2022",2-yrs,"€ 1,660,000",Parma,Serie A,2020-2021
20,Maxime Busi,,"€ 14,808","€ 770,000",RB,21,Reserve,"Jun 30, 2025",5-yrs,"€ 3,850,000",Parma,Serie A,2020-2021
21,Yordan Osorio,,"€ 13,654","€ 710,000",CB,26,Reserve,"Jun 30, 2024",4-yrs,"€ 2,840,000",Parma,Serie A,2020-2021
22,Juan Brunetta,,"€ 12,308","€ 640,000",AM,23,Reserve,"Jun 30, 2022",2-yrs,"€ 1,280,000",Parma,Serie A,2020-2021
23,Lautaro Valenti,,"€ 12,308","€ 640,000",CB,22,Reserve,"Jun 30, 2025",5-yrs,"€ 3,200,000",Parma,Serie A,2020-2021
24,Gastón Brugman,,"€ 12,115","€ 630,000",DM,28,Starter,"Jun 30, 2023",3-yrs,"€ 1,890,000",Parma,Serie A,2020-2021
25,Simone Iacoponi,,"€ 11,346","€ 590,000",CB,33,Starter,"Jun 30, 2022",2-yrs,"€ 1,180,000",Parma,Serie A,2020-2021
26,Valentin Mihăilă,,"€ 11,154","€ 580,000",LW,21,Reserve,"Jun 30, 2025",5-yrs,"€ 2,900,000",Parma,Serie A,2020-2021
27,Hans Nicolussi Caviglia,,"€ 10,769","€ 560,000",CM,20,Reserve,"Jun 30, 2021",1-yr,"€ 560,000",Parma,Serie A,2020-2021
28,Simon Sohm,,"€ 9,808","€ 510,000",DM,19,Reserve,"Jun 30, 2025",5-yrs,"€ 2,550,000",Parma,Serie A,2020-2021
29,Vasilios Zagaritis,,"€ 9,808","€ 510,000",LB,19,Reserve,"Jun 30, 2024",4-yrs,"€ 2,040,000",Parma,Serie A,2020-2021
30,Simone Colombi,,"€ 7,115","€ 370,000",GK,29,Reserve,"Jun 30, 2022",2-yrs,"€ 740,000",Parma,Serie A,2020-2021
31,Filippo Rinaldi,,"€ 2,885","€ 150,000",GK,18,Reserve,"Jun 30, 2023",3-yrs,"€ 450,000",Parma,Serie A,2020-2021
32,Botond Balogh,,€ 769,"€ 40,000",CB,18,Reserve,"Jun 30, 2025",5-yrs,"€ 200,000",Parma,Serie A,2020-2021
33,Daan Dierckx,,€ 769,"€ 40,000",CB,18,Reserve,"Jun 30, 2025",5-yrs,"€ 200,000",Parma,Serie A,2020-2021
