,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Domenico Berardi,,"€ 64,038","€ 3,330,000",RW,26,Starter,"Jun 30, 2024",4-yrs,"€ 13,320,000",Sassuolo,Serie A,2020-2021
1,Andrea Consigli,,"€ 35,577","€ 1,850,000",GK,34,Starter,"Jun 30, 2022",2-yrs,"€ 3,700,000",Sassuolo,Serie A,2020-2021
2,Grégoire Defrel,,"€ 30,192","€ 1,570,000",CF,29,Starter,"Jun 30, 2024",4-yrs,"€ 6,280,000",Sassuolo,Serie A,2020-2021
3,Vlad Chiricheș,,"€ 28,462","€ 1,480,000",CB,31,Starter,"Jun 30, 2023",3-yrs,"€ 4,440,000",Sassuolo,Serie A,2020-2021
4,Francesco Caputo,,"€ 28,462","€ 1,480,000",CF,33,Starter,"Jun 30, 2023",3-yrs,"€ 4,440,000",Sassuolo,Serie A,2020-2021
5,Manuel Locatelli,,"€ 25,000","€ 1,300,000",DM,23,Starter,"Jun 30, 2023",3-yrs,"€ 3,900,000",Sassuolo,Serie A,2020-2021
6,Filip Djuricic,,"€ 25,000","€ 1,300,000",AM,29,Starter,"Jun 30, 2022",2-yrs,"€ 2,600,000",Sassuolo,Serie A,2020-2021
7,Francesco Magnanelli,,"€ 25,000","€ 1,300,000",DM,36,Reserve,"Jun 30, 2022",2-yrs,"€ 2,600,000",Sassuolo,Serie A,2020-2021
8,Rogério,,"€ 25,000","€ 1,300,000",LB,23,Reserve,"Jun 30, 2023",3-yrs,"€ 3,900,000",Sassuolo,Serie A,2020-2021
9,Marlon,,"€ 21,346","€ 1,110,000",CB,25,Reserve,"Jun 30, 2023",3-yrs,"€ 3,330,000",Sassuolo,Serie A,2020-2021
10,Gian Marco Ferrari,,"€ 21,346","€ 1,110,000",CB,28,Starter,"Jun 30, 2023",3-yrs,"€ 3,330,000",Sassuolo,Serie A,2020-2021
11,Federico Peluso,,"€ 21,346","€ 1,110,000",CB,37,Reserve,"Jun 30, 2022",2-yrs,"€ 2,220,000",Sassuolo,Serie A,2020-2021
12,Jérémie Boga,,"€ 21,346","€ 1,110,000",LW,24,Reserve,"Jun 30, 2022",2-yrs,"€ 2,220,000",Sassuolo,Serie A,2020-2021
13,Mehdi Bourabia,,"€ 21,346","€ 1,110,000",CM,29,Starter,"Jun 30, 2021",1-yr,"€ 1,110,000",Sassuolo,Serie A,2020-2021
14,Pedro Obiang,,"€ 20,962","€ 1,090,000",CM,28,Reserve,"Jun 30, 2023",3-yrs,"€ 3,270,000",Sassuolo,Serie A,2020-2021
15,Gianluca Pegolo,,"€ 17,885","€ 930,000",GK,39,Reserve,"Jun 30, 2022",2-yrs,"€ 1,860,000",Sassuolo,Serie A,2020-2021
16,Hamed Junior Traorè,,"€ 17,885","€ 930,000",AM,20,Reserve,"Jun 30, 2021",1-yr,"€ 930,000",Sassuolo,Serie A,2020-2021
17,Jeremy Toljan,,"€ 17,308","€ 900,000",RB,26,Starter,"Jun 30, 2021",1-yr,"€ 900,000",Sassuolo,Serie A,2020-2021
18,Kaan Ayhan,,"€ 14,808","€ 770,000",CB,26,Reserve,"Jun 30, 2024",4-yrs,"€ 3,080,000",Sassuolo,Serie A,2020-2021
19,Maxime López,,"€ 14,808","€ 770,000",CM,23,Reserve,"Jun 30, 2025",5-yrs,"€ 3,850,000",Sassuolo,Serie A,2020-2021
20,Filippo Romagna,,"€ 14,231","€ 740,000",CB,23,Reserve,"Jun 30, 2021",1-yr,"€ 740,000",Sassuolo,Serie A,2020-2021
21,Lukas Haraslin,,"€ 9,808","€ 510,000",LW,24,Reserve,"Jun 30, 2022",2-yrs,"€ 1,020,000",Sassuolo,Serie A,2020-2021
22,Mert Müldür,,"€ 9,808","€ 510,000",RB,21,Starter,"Jun 30, 2024",4-yrs,"€ 2,040,000",Sassuolo,Serie A,2020-2021
23,Georgios Kyriakopoulos,,"€ 9,808","€ 510,000",LB,24,Reserve,"Jun 30, 2024",4-yrs,"€ 2,040,000",Sassuolo,Serie A,2020-2021
24,Stefano Turati,,"€ 5,385","€ 280,000",GK,19,Reserve,"Jun 30, 2025",5-yrs,"€ 1,400,000",Sassuolo,Serie A,2020-2021
25,Nicolás Schiappacasse,,"€ 5,000","€ 260,000",LW,22,Reserve,"Jun 30, 2021",1-yr,"€ 260,000",Sassuolo,Serie A,2020-2021
26,Giacomo Raspadori,,"€ 3,654","€ 190,000",CF,20,Reserve,"Jun 30, 2024",4-yrs,"€ 760,000",Sassuolo,Serie A,2020-2021
27,Brian Oddei,,"€ 3,654","€ 190,000",RW,18,Reserve,"Jun 30, 2024",4-yrs,"€ 760,000",Sassuolo,Serie A,2020-2021
