,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Antonio Candreva,,"€ 46,346","€ 2,410,000",RM,33,Starter,"Jun 30, 2021",1-yr,"€ 2,410,000",Sampdoria,Serie A,2020-2021
1,Fabio Quagliarella,,"€ 42,692","€ 2,220,000",CF,38,Starter,"Jun 30, 2022",2-yrs,"€ 4,440,000",Sampdoria,Serie A,2020-2021
2,Albin Ekdal,,"€ 39,231","€ 2,040,000",DM,31,Starter,"Jun 30, 2022",2-yrs,"€ 4,080,000",Sampdoria,Serie A,2020-2021
3,Gastón Ramírez,,"€ 39,231","€ 2,040,000",AM,30,Starter,"Jun 30, 2021",1-yr,"€ 2,040,000",Sampdoria,Serie A,2020-2021
4,Lorenzo Tonelli,,"€ 35,577","€ 1,850,000",CB,31,Starter,"Jun 30, 2022",2-yrs,"€ 3,700,000",Sampdoria,Serie A,2020-2021
5,Omar Colley,,"€ 33,846","€ 1,760,000",CB,28,Reserve,"Jun 30, 2025",5-yrs,"€ 8,800,000",Sampdoria,Serie A,2020-2021
6,Emil Audero,,"€ 28,462","€ 1,480,000",GK,24,Starter,"Jun 30, 2026",6-yrs,"€ 8,880,000",Sampdoria,Serie A,2020-2021
7,Ernesto Torregrossa,,"€ 28,462","€ 1,480,000",CF,28,Reserve,"Jun 30, 2021",1-yr,"€ 1,480,000",Sampdoria,Serie A,2020-2021
8,Jakub Jankto,,"€ 28,462","€ 1,480,000",CM,25,Reserve,"Jun 30, 2023",3-yrs,"€ 4,440,000",Sampdoria,Serie A,2020-2021
9,Manolo Gabbiadini,,"€ 27,115","€ 1,410,000",CF,29,Reserve,"Jun 30, 2026",6-yrs,"€ 8,460,000",Sampdoria,Serie A,2020-2021
10,Adrien Silva,,"€ 27,115","€ 1,410,000",CM,31,Reserve,"Jun 30, 2022",2-yrs,"€ 2,820,000",Sampdoria,Serie A,2020-2021
11,Valerio Verre,,"€ 25,000","€ 1,300,000",CM,27,Reserve,"Jun 30, 2025",5-yrs,"€ 6,500,000",Sampdoria,Serie A,2020-2021
12,Keita Baldé,,"€ 24,615","€ 1,280,000",LW,25,Reserve,"Jun 30, 2021",1-yr,"€ 1,280,000",Sampdoria,Serie A,2020-2021
13,Maya Yoshida,,"€ 24,615","€ 1,280,000",CB,32,Starter,"Jun 30, 2022",2-yrs,"€ 2,560,000",Sampdoria,Serie A,2020-2021
14,Vasco Regini,,"€ 17,885","€ 930,000",LB,30,Reserve,"Jun 30, 2021",1-yr,"€ 930,000",Sampdoria,Serie A,2020-2021
15,Bartosz Bereszynski,,"€ 15,962","€ 830,000",RB,28,Starter,"Jun 30, 2023",3-yrs,"€ 2,490,000",Sampdoria,Serie A,2020-2021
16,Antonino La Gumina,,"€ 14,231","€ 740,000",CF,24,Reserve,"Jun 30, 2024",4-yrs,"€ 2,960,000",Sampdoria,Serie A,2020-2021
17,Alex Ferrari,,"€ 14,231","€ 740,000",CB,26,Reserve,"Jun 30, 2025",5-yrs,"€ 3,700,000",Sampdoria,Serie A,2020-2021
18,Morten Thorsby,,"€ 12,308","€ 640,000",CM,24,Starter,"Jun 30, 2023",3-yrs,"€ 1,920,000",Sampdoria,Serie A,2020-2021
19,Mehdi Léris,,"€ 10,000","€ 520,000",CM,22,Reserve,"Jun 30, 2024",4-yrs,"€ 2,080,000",Sampdoria,Serie A,2020-2021
20,Tommaso Augello,,"€ 8,846","€ 460,000",LB,26,Starter,"Jun 30, 2025",5-yrs,"€ 2,300,000",Sampdoria,Serie A,2020-2021
21,Karlo Letica,,"€ 5,000","€ 260,000",GK,23,Reserve,"Jun 30, 2021",1-yr,"€ 260,000",Sampdoria,Serie A,2020-2021
22,Kaique Rocha,,"€ 5,000","€ 260,000",RB,19,Reserve,"Jun 30, 2024",4-yrs,"€ 1,040,000",Sampdoria,Serie A,2020-2021
23,Nicola Ravaglia,,"€ 3,654","€ 190,000",GK,32,Reserve,"Jun 30, 2022",2-yrs,"€ 380,000",Sampdoria,Serie A,2020-2021
24,Mikkel Damsgaard,,"€ 2,500","€ 130,000",LW,20,Starter,"Jun 30, 2024",4-yrs,"€ 520,000",Sampdoria,Serie A,2020-2021
25,Kristoffer Askildsen,,"€ 2,500","€ 130,000",CM,20,Reserve,"Jun 30, 2024",4-yrs,"€ 520,000",Sampdoria,Serie A,2020-2021
