,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Radja Nainggolan,,"€ 160,192","€ 8,330,000",AM,32,Reserve,"Jun 30, 2021",1-yr,"€ 8,330,000",Cagliari,Serie A,2020-2021
1,Daniele Rugani,,"€ 124,615","€ 6,480,000",CB,26,Reserve,"Jun 30, 2021",1-yr,"€ 6,480,000",Cagliari,Serie A,2020-2021
2,Diego Godín,,"€ 74,038","€ 3,850,000",CB,34,Starter,"Jun 30, 2023",3-yrs,"€ 11,550,000",Cagliari,Serie A,2020-2021
3,Marko Rog,,"€ 53,462","€ 2,780,000",CM,25,Starter,"Jun 30, 2024",4-yrs,"€ 11,120,000",Cagliari,Serie A,2020-2021
4,Giovanni Simeone,,"€ 53,462","€ 2,780,000",CF,25,Starter,"Jun 30, 2024",4-yrs,"€ 11,120,000",Cagliari,Serie A,2020-2021
5,Leonardo Pavoletti,,"€ 49,808","€ 2,590,000",CF,32,Reserve,"Jun 30, 2022",2-yrs,"€ 5,180,000",Cagliari,Serie A,2020-2021
6,João Pedro,,"€ 49,808","€ 2,590,000",AM,28,Starter,"Jun 30, 2023",3-yrs,"€ 7,770,000",Cagliari,Serie A,2020-2021
7,Alfred Duncan,,"€ 46,346","€ 2,410,000",CM,27,Reserve,"Jun 30, 2021",1-yr,"€ 2,410,000",Cagliari,Serie A,2020-2021
8,Nahitan Nández,,"€ 39,423","€ 2,050,000",CM,25,Starter,"Jun 30, 2024",4-yrs,"€ 8,200,000",Cagliari,Serie A,2020-2021
9,Alberto Cerri,,"€ 35,577","€ 1,850,000",CF,24,Reserve,"Jun 30, 2024",4-yrs,"€ 7,400,000",Cagliari,Serie A,2020-2021
10,Alessio Cragno,,"€ 35,577","€ 1,850,000",GK,26,Starter,"Jun 30, 2024",4-yrs,"€ 7,400,000",Cagliari,Serie A,2020-2021
11,Ragnar Klavan,,"€ 35,577","€ 1,850,000",CB,35,Reserve,"Jun 30, 2021",1-yr,"€ 1,850,000",Cagliari,Serie A,2020-2021
12,Luca Ceppitelli,,"€ 35,577","€ 1,850,000",CB,31,Reserve,"Jun 30, 2021",1-yr,"€ 1,850,000",Cagliari,Serie A,2020-2021
13,Gastón Pereiro,,"€ 34,423","€ 1,790,000",AM,25,Reserve,"Jun 30, 2024",4-yrs,"€ 7,160,000",Cagliari,Serie A,2020-2021
14,Răzvan Marin,,"€ 24,615","€ 1,280,000",CM,24,Starter,"Jun 30, 2021",1-yr,"€ 1,280,000",Cagliari,Serie A,2020-2021
15,Charalampos Lykogiannis,,"€ 17,885","€ 930,000",LB,27,Starter,"Jun 30, 2022",2-yrs,"€ 1,860,000",Cagliari,Serie A,2020-2021
16,Riccardo Sottil,,"€ 17,885","€ 930,000",LW,21,Starter,"Jun 30, 2021",1-yr,"€ 930,000",Cagliari,Serie A,2020-2021
17,Andrea Carboni,,"€ 11,731","€ 610,000",CB,19,Reserve,"Jun 30, 2025",5-yrs,"€ 3,050,000",Cagliari,Serie A,2020-2021
18,Guglielmo Vicario,,"€ 10,769","€ 560,000",GK,24,Reserve,"Jun 30, 2024",4-yrs,"€ 2,240,000",Cagliari,Serie A,2020-2021
19,Alessandro Deiola,,"€ 10,769","€ 560,000",CM,25,Reserve,"Jun 30, 2022",2-yrs,"€ 1,120,000",Cagliari,Serie A,2020-2021
20,Alessandro Tripaldelli,,"€ 10,769","€ 560,000",LB,21,Reserve,"Jun 30, 2023",3-yrs,"€ 1,680,000",Cagliari,Serie A,2020-2021
21,Gabriele Zappa,,"€ 10,769","€ 560,000",RB,21,Starter,"Jun 30, 2025",5-yrs,"€ 2,800,000",Cagliari,Serie A,2020-2021
22,Arturo Calabresi,,"€ 8,846","€ 460,000",CB,24,Reserve,"Jun 30, 2021",1-yr,"€ 460,000",Cagliari,Serie A,2020-2021
23,Zito Luvumbo,,"€ 8,846","€ 460,000",RW,18,Reserve,"Jun 30, 2025",5-yrs,"€ 2,300,000",Cagliari,Serie A,2020-2021
24,Sebastian Walukiewicz,,"€ 7,308","€ 380,000",CB,20,Starter,"Jun 30, 2024",4-yrs,"€ 1,520,000",Cagliari,Serie A,2020-2021
25,Simone Aresti,,"€ 5,385","€ 280,000",GK,34,Reserve,"Jun 30, 2021",1-yr,"€ 280,000",Cagliari,Serie A,2020-2021
26,Matteo Tramoni,,"€ 3,654","€ 190,000",LW,21,Reserve,"Jun 30, 2025",5-yrs,"€ 950,000",Cagliari,Serie A,2020-2021
